;Crude_oil;Natural_gas;Coking_coal;Bituminous_coal;Coke;Other_coal;Gasoline;LPG;Jetfuel;Fuel;Fuel_oil;Heavy_fuel_oil;Other_fuel_prod;Electricty;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Buildings_constr;ChemicalPharma;Paper;Mining;TranspEquipment;Transport_serv;Agri_Forestry;Fishing;Food_industry;Composite;C;G;I;X;Tot_uses;Y;M
Crude_oil;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3508209922990000;436.3508209922990000;436.3508209922990000;436.3508209922990000;436.3508209922990000;436.3508209922990000;436.3508209922990000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;436.3681946685000000;458.1683620419140000;436.3680085928770000;180.0169908503490000;444.9600000000000000
Natural_gas;329.0000000000000000;438.8319055697340000;438.8319055697340000;438.8319055697340000;329.0000000000000000;329.0000000000000000;329.0000000000000000;329.0000000000000000;329.0000000000000000;329.0000000000000000;329.0000000000000000;329.0000000000000000;329.0000000000000000;329.0000000000000000;329.0000000000000000;329.0000000000000000;329.0000000000000000;329.0000000000000000;329.0000000000000000;476.0000000000000000;329.0000000000000000;329.0000000000000000;408.0000000000000000;408.0000000000000000;408.0000000000000000;476.0000000000000000;476.0000000000000000;408.0000000000000000;408.0000000000000000;724.9170000000000000;529.9277381518640000;529.9277381518640000;200.7951887662800000;481.3622106651150000;12404.8421301741000000;233.9230000000000000
Coking_coal;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;237.7960000000000000;0.0000000001000000;237.7960000000000000
Bituminous_coal;145.5195923626720000;145.5195923626720000;145.5195923626720000;145.5195923626720000;145.5195923626720000;145.5195923626720000;145.5195923626720000;145.5195923626720000;145.5195923626720000;145.5195923626720000;145.5195923626720000;145.5195923626720000;145.5195923626720000;131.6380000000000000;171.8840000000000000;171.8840000000000000;171.8840000000000000;171.8840000000000000;171.8840000000000000;145.5195923626720000;171.8840000000000000;171.8840000000000000;145.5195923626720000;145.5195923626720000;145.5195923626720000;145.5195923626720000;145.5195923626720000;171.8840000000000000;171.8840000000010000;171.8840000000000000;186.9343622994450000;186.9343622994450000;131.6960000000000000;147.4554809810580000;48.9942495566753000;131.6960000000000000
Coke;385.8249115455470000;385.8249115455470000;385.8249115455470000;385.8249115455470000;385.8249115455470000;385.8249115455470000;385.8249115455470000;385.8249115455470000;385.8249115455470000;385.8249115455470000;385.8249115455470000;385.8249115455470000;385.8249115455470000;385.8249115455470000;385.8249115455470000;385.7788333004590000;385.8249115455470000;385.8249115455470000;385.7788333004590000;385.8249115455470000;385.7788333004590000;385.8249115455470000;385.8249115455470000;385.7788333004590000;385.8249115455470000;385.8249115455470000;385.8249115455470000;385.7788333004590000;385.7788333004580000;385.8249115455470000;385.8249115455470000;385.8249115455470000;385.7788333004590000;385.7788333004590000;352.2662320831070000;385.7788333004590000
Other_coal;348.9301543942480000;348.9301543942480000;348.9301543942480000;348.9301543942480000;329.0000000000000000;329.0000000000000000;348.9301543942480000;348.9301543942480000;348.9301543942480000;348.9301543942480000;348.9301543942480000;348.9301543942480000;348.9301543942480000;329.0000000000000000;348.9301543942480000;329.0000000000000000;348.9301543942480000;348.9301543942480000;348.9301543942480000;348.9301543942480000;348.9301543942480000;348.9301543942480000;348.9301543942480000;348.9301543942480000;348.9301543942480000;348.9301543942480000;348.9301543942480000;348.9301543942480000;112.3861181320440000;779.4851939868100000;382.5929804310450000;382.5929804310450000;386.7899910773990000;353.1901876742130000;328.0890606933060000;368.7178600819790000
Gasoline;1098.7317223842100000;1098.7317223842100000;1098.7317223842100000;1098.7317223842100000;1098.7317223842100000;1098.7317223842100000;1098.7317223842100000;1098.7317223842100000;1098.7317223842100000;1098.7317223842100000;1098.7317223842100000;1098.7317223842100000;1098.7317223842100000;1098.7317223842100000;1098.7317223842100000;1430.3976688573000000;1430.3976688573000000;1430.3976688573000000;1430.3976688573000000;1430.3976688573000000;1430.3976688573000000;1430.3976688573000000;1430.3976688573000000;1430.3976688573000000;1430.3976688573000000;1430.3976688573000000;663.3930165375010000;1430.3976688573000000;1430.3976688573000000;1710.7556119533200000;1796.1502367095500000;1796.1502367095500000;663.3930165375010000;1236.7570373938100000;561.6995050958470000;663.3930165375010000
LPG;879.2065331297380000;879.2065331297380000;879.2065331297380000;879.2065331297380000;879.2065331297380000;879.2065331297380000;879.2065331297380000;879.2065331297380000;879.2065331297380000;879.2065331297380000;879.2065331297380000;879.2065331297380000;879.2065331297380000;879.2065331297380000;879.2065331297380000;1075.6426396368900000;1075.6426396368900000;1075.6426396368900000;1075.6426396368900000;879.2065331297380000;1075.6426396368900000;1075.6426396368900000;1075.6426396368900000;1075.6426396368900000;916.5290000000000000;1075.6426396368900000;879.2065331297380000;1075.6426396368900000;1075.6426396368900000;1425.2992688995500000;1462.8012698575000000;1462.8012698575000000;468.5354319339490000;1032.6782396216300000;792.0569779884530000;468.5354319339480000
Jetfuel;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;532.4868479093080000;531.8609791244740000;532.4868479093080000;532.4868479093080000;532.4868479093080000;531.8609791245140000;532.4868479093080000;532.4868479093080000;532.4868479093080000;531.8609791244740000;531.8609791244740000;561.1103247868940000;487.1700000000000000
Fuel;1015.8865069193500000;1015.8865069193500000;1015.8865069193500000;1015.8865069193500000;1015.8865069193500000;1015.8865069193500000;1015.8865069193500000;1015.8865069193500000;1015.8865069193500000;1015.8865069193500000;1015.8865069193500000;1015.8865069193500000;1015.8865069193500000;1015.8865069193500000;1015.8865069193500000;1134.6500168213600000;1134.6500168213600000;1134.6500168213600000;1134.6500168213600000;1134.6500168213600000;1134.6500168213600000;1134.6500168213600000;1134.6500168213600000;1134.6500168213600000;1099.2396821833900000;697.9225562864880000;627.1018870105630000;1134.6500168213600000;1134.6500168213600000;1357.0414201183400000;1385.2921014789600000;1385.2921014789600000;512.4908698378520000;1143.5751258511600000;659.6624520505100000;512.4908698378520000
Fuel_oil;641.6457626988590000;641.6457626988590000;641.6457626988590000;641.6457626988590000;641.6457626988590000;641.6457626988590000;641.6457626988590000;641.6457626988590000;641.6457626988590000;641.6457626988590000;641.6457626988590000;641.6457626988590000;641.6457626988590000;596.1919000000000000;596.1919000000000000;596.1919000000000000;596.1919000000000000;596.1919000000000000;596.1919000000000000;596.1919000000000000;596.1919000000000000;596.1919000000000000;596.1919000000000000;596.1919000000000000;596.1919000000000000;603.8663186046510000;596.1919000000000000;596.1919000000000000;596.1919000000000000;835.3128000000000000;776.3914432872270000;776.3914432872270000;589.6269079407090000;711.0410151884070000;592.5582859850770000;421.2664678570630000
