Aggregation_type;-;-;-;-;-;AGG_MetMin;AGG_IndEner;AGG_MetMinEn;AGG_Ener1;AGG_Ener2;AGG_4Sec;AGG_3Sec;AGG_EnComp
Row;Crude_oil;Commodities;EnerSect;HybridCommod;PrimEnerSect;Crude_oil;Crude_oil;Crude_oil;Crude_oil;Crude_oil;PrimEnergy;PrimEnergy;AllEnergy
Row;Natural_gas;Commodities;EnerSect;HybridCommod;PrimEnerSect;Natural_gas;Natural_gas;Natural_gas;Natural_gas;Natural_gas;PrimEnergy;PrimEnergy;AllEnergy
Row;Coking_coal;Commodities;EnerSect;HybridCommod;PrimEnerSect;Coking_coal;Coal;Coal;Coal;Coal;PrimEnergy;PrimEnergy;AllEnergy
Row;Bituminous_coal;Commodities;EnerSect;HybridCommod;FinEnerSect;Bituminous_coal;Coal;Coal;Coal;Coal;PrimEnergy;PrimEnergy;AllEnergy
Row;Coke;Commodities;EnerSect;HybridCommod;PrimEnerSect;Coke;Coal;Coal;Coal;Coal;PrimEnergy;PrimEnergy;AllEnergy
Row;Other_coal;Commodities;EnerSect;HybridCommod;FinEnerSect;Other_coal;Coal;Coal;Coal;Coal;PrimEnergy;PrimEnergy;AllEnergy
Row;Gasoline;Commodities;EnerSect;HybridCommod;FinEnerSect;Gasoline;FuelProd;FuelProd;Gasoline;FuelProd;FinEnergy;FinEnergy;AllEnergy
Row;LPG;Commodities;EnerSect;HybridCommod;FinEnerSect;LPG;FuelProd;FuelProd;OthFuelProd;FuelProd;FinEnergy;FinEnergy;AllEnergy
Row;Jetfuel;Commodities;EnerSect;HybridCommod;PrimEnerSect;Jetfuel;FuelProd;FuelProd;OthFuelProd;FuelProd;FinEnergy;FinEnergy;AllEnergy
Row;Fuel;Commodities;EnerSect;HybridCommod;FinEnerSect;Fuel;FuelProd;FuelProd;Fuel;FuelProd;FinEnergy;FinEnergy;AllEnergy
Row;Fuel_oil;Commodities;EnerSect;HybridCommod;FinEnerSect;Fuel_oil;FuelProd;FuelProd;OthFuelProd;FuelProd;FinEnergy;FinEnergy;AllEnergy
Row;Heavy_fuel_oil;Commodities;EnerSect;HybridCommod;FinEnerSect;Heavy_fuel_oil;FuelProd;FuelProd;OthFuelProd;FuelProd;FinEnergy;FinEnergy;AllEnergy
Row;Other_fuel_prod;Commodities;EnerSect;HybridCommod;FinEnerSect;Other_fuel_prod;FuelProd;FuelProd;OthFuelProd;FuelProd;FinEnergy;FinEnergy;AllEnergy
Row;Electricty;Commodities;EnerSect;HybridCommod;FinEnerSect;Electricty;Electricty;Electricty;Electricty;Electricty;FinEnergy;FinEnergy;AllEnergy
Row;HeatGeoSol_Th;Commodities;EnerSect;HybridCommod;FinEnerSect;HeatGeoSol_Th;HeatGeoSol_Th;HeatGeoSol_Th;HeatGeoSol_Th;HeatGeoSol_Th;FinEnergy;FinEnergy;AllEnergy
Row;Steel_Iron;Commodities;NonEnerSect;HybridCommod;-;Metals;Steel_Iron;Metals;Steel_Iron;Steel_Iron;AllIndus;AllComp;AllComp
Row;NonFerrousMetals;Commodities;NonEnerSect;NonHybridCommod;-;Metals;NonFerrousMetals;Metals;NonFerrousMetals;NonFerrousMetals;AllIndus;AllComp;AllComp
Row;Cement;Commodities;NonEnerSect;HybridCommod;-;Minerals;Cement;Minerals;Cement;Cement;AllIndus;AllComp;AllComp
Row;OthMin;Commodities;NonEnerSect;NonHybridCommod;-;Minerals;OthMin;Minerals;OthMin;OthMin;AllIndus;AllComp;AllComp
