Quantities;Crude_oil;Gas;Fossil_fuels;Biofuels;Elec;Renew;Agri;Cattle;Cement;IronSteel;RestHeavIndus;FoodBevarage;RestManufIndus;TransRoadFreight;TransRoadPass;RestTrans;CommerceServ;Construction;Composite;C;G;I;X;Tot_uses;Y;M
Crude_oil;101.9646398;0;25339.75196;0;533.83034;0;0;0;0;1313.512458;0;0;0;0;0;0;0;0;0;0;0;0;2726.944691;30016.00409;28626.90022;1389.103869
Gas;0;5251.8834;2912.05001;0;13688.89982;0;0;0;1214.226033;1079.31203;1281.683035;1888.796052;1146.769031;0;693.460269;0;1260.83362;0;357.4140542;10721.97212;0;0;89.8626;41587.16207;34594.47635;6992.685722
Fossil_fuels;0;0;1856.698084;0;4834.823289;0;2930.026293;732.5065733;17.38758007;12.41970005;109.2933605;62.09850026;47.1948602;6752.625109;1775.749292;761.7937918;341.8502936;124.1970005;184.5235229;5400.204081;0;0;4026.583769;29969.9751;25994.00863;3975.966471
Biofuels;0;0;0;0;34.94407;0;0;0;0;0;0;0;0;691.298072;103.6947108;0;0;0;0;69.1298072;0;0;1373.35366;2272.42032;2272.42032;0
Elec;0;0;0;0;398.8683224;0;89.7615976;0;217.279626;1216.765906;825.6625789;695.2948033;869.1185041;0;0;52.8475891;2090.631606;478.0151772;412.3909145;3230.496632;0;0;43.478676;10620.61193;10022.61026;598.0016761
Renew;0;0;0;2495.185886;707.238196;0;0;0;57.76674023;0;214.562178;552.910228;0;0;0;0;122.0022303;0;21.52980534;236.4794112;0;0;0;4407.674675;4407.674675;0
Agri;0;0;0;3561.067897;0;29.22341101;22311.48547;11716.38773;889.9141015;5947.40077;18254.05271;35288.15482;34050.98269;0;0;0;90.49065463;20.56048888;3141.164256;2643.24897;0;2455.396749;54378.78402;194778.3147;189035.0407;5743.274011
Cattle;0;0;0;0;0;0;15961.09698;9030.614625;685.9171514;4584.065123;14069.6364;27198.97414;26245.40168;0;0;0;69.74728454;15.84736318;5308.514458;2735.073257;0;2540.695206;3140.631699;111586.2154;110036.4634;1549.752
Cement;197.9574948;8.106023593;39.21925467;0;9.135638771;0;145.1041568;82.09834961;21.61648749;144.4655323;443.4006622;857.1680747;827.116505;74.73756648;95.46030662;114.9614939;143.4075788;808.4614249;1292.624119;4610.345807;0;983.9812776;205.0344885;11104.40224;10516.79024;587.612
IronSteel;67.63070516;12.49668763;0.203749082;0;0.957759641;0;758.1547386;428.9556839;112.9439899;754.8179894;2316.724212;4478.617651;4321.601198;390.4963266;498.7705758;600.6623334;749.2902881;4224.130266;8001.853937;22790.74032;0;4864.20384;15471.32415;70844.5764;56888.7914;13955.785
RestHeavIndus;3334.390917;276.0427173;729.0743021;236.1897756;110.9940945;21.06722969;2505.950553;1417.839497;373.3170019;2494.9215;7657.534832;14803.30308;14284.3121;1290.718682;1648.600657;1985.386399;2476.650631;13962.13864;22009.68429;79746.88095;0;17020.29329;36586.7882;224972.0794;178403.8284;46568.251
FoodBevarage;5.024800197;0.60575549;0.028120777;329.3769265;0.00181096;21.65910997;3478.604729;1968.156624;518.215448;3463.294884;10629.71368;20549.02482;19828.59382;1791.695414;2288.484916;2755.989941;3437.932399;19381.37266;36730.79693;74598.33768;0;15921.44509;112179.5924;329877.948;317684.999;12192.949
RestManufIndus;1089.93563;620.2345466;5781.972548;202.8056662;3738.500651;8.35887979;4183.189935;2366.80325;623.1790661;4164.779108;12782.7433;24711.19328;23844.84026;2154.600136;2752.013469;3314.210806;4134.279497;23307.03525;33157.69142;121726.1969;0;25979.89474;95503.26076;396147.7192;322549.3162;73598.403
TransRoadFreight;1603.857342;200.6176836;321.0954025;71.7256121;206.7321944;4.675708421;6192.995546;3503.929349;273.993542;1831.131117;5620.196993;10864.78629;10483.8763;3953.292901;5049.435916;6080.964089;8353.045779;3314.179713;35711.91641;30044.34531;0;959.4233401;5861.546885;140507.7634;139669.2554;838.508
TransRoadPass;1198.263143;149.8841385;239.8946441;53.58715836;154.4523709;3.493283923;4626.869306;2617.8322;204.7042179;1368.062402;4198.923892;8117.22628;7832.643362;2953.557684;3772.500703;4543.169114;6240.671552;2476.067724;26680.84753;23227.87203;0;741.7489826;2421.325505;103823.5972;102222.8092;1600.788
RestTrans;2108.296639;1199.739116;11184.25065;0;6743.177926;0;5039.568378;2851.332835;222.9630524;1490.088344;4573.451868;8841.251865;8531.285238;3217.00375;4108.993359;4948.402449;6797.315621;2696.923509;9785.302832;27355.06812;0;873.5451065;4644.439278;117212.3999;105282.7179;11929.682
CommerceServ;802.3910171;456.6055231;4256.584246;0;3733.292044;0;2760.21232;1561.698032;235.5268881;1574.053938;4831.163168;9339.451164;9012.018101;1939.311107;2477.030516;2983.052734;4569.632921;9331.749844;17440.90021;210541.7962;0;32826.3124;12533;333205.7824;323970.7824;9235
Construction;1208.925286;89.9459364;431.1168267;0;206.8250284;0;24.41358025;13.81293749;12.42467736;83.03558238;254.856862;492.6811896;475.4082141;872.8966494;1114.927682;1342.691602;813.2864515;0;6816.718277;0;0;207580.2671;0;221834.2339;214468.2339;7366
Composite;5690.680446;3238.316564;30188.34984;4426.909767;27832.10147;322.8161568;11669.77352;2913.599043;767.988899;490.9929217;23253.55879;49648.29328;47773.96534;14442.32875;18446.80253;19613.48366;30843.38976;20879.22898;80948.70851;488160.9398;357481.3467;25646.27994;42250.89202;1306930.747;1294262.645;12668.10152
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
