;Crude Oil;Gas;Fossil fuels;Biofuels;Electricity;Renewables;Agriculture;Cattle;Cement;Iron and Steel;Rest of heavy industries;Food and Beverage;Rest of manufacturing industries;Transport road freight;Transport road passenger;Rest of Transport;Commerces and services;Construction;Composite
Crude Oil;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fossil fuels;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Biofuels;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Electricity;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Renewables;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agriculture;0;0;0;0;0;0;0.638529894;0.213523759;0;0;0;0.147946347;0;0;0;0;0;0;0
Cattle;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Cement;0.077188438;0.047715058;0.10447912;0.014457181;0.015022691;0.003755673;0.103521914;0.013260881;0.000741046;0.047891221;0.119598298;0.02357024;0.011549666;0.058662811;0.039409205;0.014665703;0.099612939;0.045358524;0.159539391
Iron and Steel;0.077188438;0.047715058;0.10447912;0.014457181;0.015022691;0.003755673;0.103521914;0.013260881;0.000741046;0.047891221;0.119598298;0.02357024;0.011549666;0.058662811;0.039409205;0.014665703;0.099612939;0.045358524;0.159539391
Rest of heavy industries;0.077188438;0.047715058;0.10447912;0.014457181;0.015022691;0.003755673;0.103521914;0.013260881;0.000741046;0.047891221;0.119598298;0.02357024;0.011549666;0.058662811;0.039409205;0.014665703;0.099612939;0.045358524;0.159539391
Food and Beverage;0;0;0;0;0;0;0.638529894;0.213523759;0;0;0;0.147946347;0;0;0;0;0;0;0
Rest of manufacturing industries;0.077188438;0.047715058;0.10447912;0.014457181;0.015022691;0.003755673;0.103521914;0.013260881;0.000741046;0.047891221;0.119598298;0.02357024;0.011549666;0.058662811;0.039409205;0.014665703;0.099612939;0.045358524;0.159539391
Transport road freight;0.039869433;0;0.01550478;0.009209606;0;0;0.042667288;0.009559338;0.000349732;0.026463045;0.018652367;0.222662625;0.065283283;0.031592446;0.016320821;0;0.347283749;0.154581488;0
Transport road passenger;0.039869433;0;0.01550478;0.009209606;0;0;0.042667288;0.009559338;0.000349732;0.026463045;0.018652367;0.222662625;0.065283283;0.031592446;0.016320821;0;0.347283749;0.154581488;0
Rest of Transport;0.039869433;0;0.01550478;0.009209606;0;0;0.042667288;0.009559338;0.000349732;0.026463045;0.018652367;0.222662625;0.065283283;0.031592446;0.016320821;0;0.347283749;0.154581488;0
Commerces and services;0.110794305;0.080738597;0.20116501;0.030502903;0.03794686;0.009486715;0.164152859;0.023306694;0.001254235;0.048449629;0.089515638;0.0388083;0.010843777;0.016466294;0.011061924;0.004116573;0.038262159;0.007919199;0.075208328
Construction;0.001569562;0.002426785;0.002389588;0.000193116;0.00831254;0.002078135;0.031971872;0.0005922;0.00055832;0.011501314;0.061860587;0.007919528;0.004077982;0.010091831;0.006779611;0.002522958;0.120283864;0.538668939;0.186201269
Composite;0.110794305;0.080738597;0.20116501;0.030502903;0.03794686;0.009486715;0.164152859;0.023306694;0.001254235;0.048449629;0.089515638;0.0388083;0.010843777;0.016466294;0.011061924;0.004116573;0.038262159;0.007919199;0.075208328
