;Corporations;Government;Households;RestOfWorld
Trade_Balance;0.0;0.0;0.0;-78812433
GOS_byAgent;609983831.721398;36265658.7596053;182579964.021064;0.0
NetCompWages_byAgent;0.0;0.0;805149533.782651;0.0
InsuranceContrib_byAgent;5261061.898639;174238080.3994;0.0;0.0
Production_Tax_byAgent;0.0;25274669.429771;0.0;0.0
Energ_Tax_byAgent;0.0;0.0;0.0;0.0
Carbon_Tax_byAgent;0.0;0.0;0.0;0.0
OtherIndirTax_byAgent;0.0;0.0;0.0;0.0
VA_Tax_byAgent;0.0;0.0;0.0;0.0
Cons_Tax_byAgent;0.0;304079632.916004;0.0;0.0
Property_income;-117190000;-92905000;147977000;62118000
Gov_social_transfers;0.0;-437919999.941;437919999.941;0.0
Corp_social_transfers;-25205000.00148;0.0;25205000.00148;0.0
ClimPolicyCompens;0.0;0.0;0.0;0.0
Other_Transfers;-89180893.6217162;381958.39652576;98264036.0566407;-9465100.84855795
Income_Tax;0.0;74654999.998;-74654999.998;0.0
Corporate_Tax;-127787000;127787000;0.0;0.0
Gov_Direct_Tax;0.0;50269999.9956999;-50269999.9956999;0.0
Corp_Direct_Tax;38004000.003159;0.0;-38004000.003159;0.0
Disposable_Income;293886000;262126999.954006;1534166533.80267;-26159533.7826509
FC_byAgent;0.0;286081999.954006;1435701000.02332;0.0
GFCF_byAgent;216281999.999999;37490000;88465000;0.0
Tot_FC_byAgent;216281999.999999;323571999.954006;1524166000.02332;0.0
NetLending;77604000;-61445000;10000533.7826509;-26159533.7826509
NetFinancialDebt;2175734669.59602;1105701535.39425;-2747322204.99028;-534114000.000001
Thousand of reais;0.0;0.0;0.0;0.0
