Households_Gourps;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Coal;0;0;0;0;0;0;0;0;0;0
CrudeOil;0;0;0;0;0;0;0;0;0;0
NaturalGaz;0.076814248;0.096405236;0.099429679;0.10063344;0.100992464;0.100733125;0.098647959;0.100337023;0.106635779;0.119371047
OthFossFuel;0.085665818;0.097964377;0.100084818;0.10178117;0.102205259;0.104749788;0.105173876;0.105597964;0.105173876;0.091603053
OthBiofuel;0.274394765;0.182928322;0.145543586;0.091002455;0.091838851;0.070018585;0.056210168;0.042004709;0.029028027;0.017030534
Diesel;0.013616682;0.021398589;0.026750859;0.03667296;0.050960571;0.066485758;0.098912563;0.130647571;0.203957247;0.350597197
Biodiesel;0.013616682;0.021398589;0.026750859;0.03667296;0.050960571;0.066485758;0.098912563;0.130647571;0.203957247;0.350597197
Gasoline;0.013616682;0.021398589;0.026750859;0.03667296;0.050960571;0.066485758;0.098912563;0.130647571;0.203957247;0.350597197
Ethanol;0.0064426;0.015729863;0.015755357;0.018635439;0.028770243;0.045463766;0.067781561;0.149222572;0.206913162;0.445285437
Electricity;0.040792277;0.054191138;0.065742779;0.073299316;0.083168837;0.093662964;0.106509881;0.126429561;0.151336993;0.204866255
PlantedForest;0;0;0;0;0;0;0;0;0;0
SugarCane;0.042831218;0.063722914;0.072511888;0.072898727;0.086432067;0.096151134;0.107926566;0.120279553;0.140412421;0.196833512
Soy;0.042831218;0.063722914;0.072511888;0.072898727;0.086432067;0.096151134;0.107926566;0.120279553;0.140412421;0.196833512
RestAgri;0.042831218;0.063722914;0.072511888;0.072898727;0.086432067;0.096151134;0.107926566;0.120279553;0.140412421;0.196833512
Cattle;0.0560828;0.072382487;0.076355561;0.080411217;0.093202351;0.098072957;0.106940555;0.126877293;0.138317371;0.151357408
RestLivestoock;0.067304138;0.083243827;0.084914755;0.08456948;0.093751285;0.096455397;0.102457119;0.111865507;0.128186055;0.147252437
Cement;0;0;0;0;0;0;0;0;0;0
IronSteel;0.027239187;0.028076644;0.034256044;0.036334795;0.044452366;0.064131001;0.07384474;0.103391373;0.171683411;0.416590439
MiningPellet;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0.027239187;0.028076644;0.034256044;0.036334795;0.044452366;0.064131001;0.07384474;0.103391373;0.171683411;0.416590439
Chemical;0.039111651;0.053967279;0.064383089;0.07115505;0.08401334;0.090582828;0.10333621;0.118384755;0.1447109;0.230354897
BovineMeat;0.0560828;0.072382487;0.076355561;0.080411217;0.093202351;0.098072957;0.106940555;0.126877293;0.138317371;0.151357408
RestFoodBeve;0.067764836;0.080938099;0.082225041;0.078479328;0.091511812;0.092373873;0.10012653;0.110592511;0.129977131;0.16601084
Textiles;0.03599383;0.048000246;0.055649472;0.060922654;0.070563888;0.085085746;0.099396134;0.121541974;0.155128044;0.267718011
PaperPulp;0.013627845;0.020728081;0.024256774;0.024868984;0.03900712;0.050371005;0.08440189;0.11553865;0.224756004;0.402443647
Ceramics;0.027239187;0.028076644;0.034256044;0.036334795;0.044452366;0.064131001;0.07384474;0.103391373;0.171683411;0.416590439
Construction;0.027239187;0.028076644;0.034256044;0.036334795;0.044452366;0.064131001;0.07384474;0.103391373;0.171683411;0.416590439
OthIndustry;0.020282206;0.028182483;0.035281627;0.038738761;0.050365802;0.064179239;0.08165755;0.115294463;0.167962935;0.398054933
FreightRoad;0.020101872;0.030015805;0.035082996;0.038781243;0.053378143;0.063374826;0.083808554;0.110292465;0.167575437;0.39758866
FreightRail;0.020101872;0.030015805;0.035082996;0.038781243;0.053378143;0.063374826;0.083808554;0.110292465;0.167575437;0.39758866
FreightAir;0;0;0;0;0;0;0;0;0;0
FreightWater;0;0;0;0;0;0;0;0;0;0
PassRoad;0.048296313;0.070595032;0.083183103;0.08547328;0.098834255;0.116989895;0.11933704;0.124005041;0.134884301;0.118401742
PassRail;0.048296313;0.070595032;0.083183103;0.08547328;0.098834255;0.116989895;0.11933704;0.124005041;0.134884301;0.118401742
PassAir;0.048296313;0.070595032;0.083183103;0.08547328;0.098834255;0.116989895;0.11933704;0.124005041;0.134884301;0.118401742
PassWater;0.048296313;0.070595032;0.083183103;0.08547328;0.098834255;0.116989895;0.11933704;0.124005041;0.134884301;0.118401742
WaterSewage;0.04550419;0.059467716;0.075682236;0.081022936;0.092193259;0.105714544;0.114680708;0.132898035;0.132588586;0.16024779
Education;0.010964774;0.017940821;0.021674625;0.02276071;0.034755601;0.04755301;0.077818763;0.108082614;0.21989273;0.438556352
Health;0.01038789;0.013395046;0.020348161;0.02477629;0.034527161;0.05712096;0.071828315;0.115341973;0.204604613;0.447669591
Composite;0.026304308;0.037218681;0.045337206;0.051028839;0.063590652;0.076194416;0.093191033;0.118705727;0.163549457;0.32487968
