Households_Gourps;H1;H2;H3
GOS_byAgent;0.018335269;0.092782794;0.888881937
NetCompWages_byAgent;0.071685676;0.24339623;0.684918092
Property_income;0.010843327;0.099632631;0.889524043
Gov_social_transfers;0.098786953;0.272791436;0.62842161
Corp_social_transfers;0.001852222;0.021809311;0.976338468
ClimPolicyCompens;0;0;0
Other_Transfers;0.121555919;0.298474865;0.579969216
Income_Tax;0.062300607;0.196726279;0.740973113
Gov_Direct_Tax;0.038040173;0.153874724;0.808085102
Corp_Direct_Tax;0.003257867;0.044311453;0.952430682
FC_byAgent;0.119629812;0.284830495;0.595539693
GFCF_byAgent;0.042202832;0.133619831;0.824177338
NetFinancialDebt;0.018335269;0.092782794;0.888881937
