Households_Gourps;H1;H2;H3
Coal;0;0;0
CrudeOil;0;0;0
NaturalGas;0.076814248;0.096405236;0.099429679
OthFossFuel;0.085665818;0.097964377;0.100084818
OthBiofuel;0.274394765;0.182928322;0.145543586
Diesel;0.013616682;0.021398589;0.026750859
Biodiesel;0.013616682;0.021398589;0.026750859
Gasoline;0.013616682;0.021398589;0.026750859
Ethanol;0.0064426;0.015729863;0.015755357
Electricity;0.040792277;0.054191138;0.065742779
PlantedForest;0;0;0
SugarCane;0.042831218;0.063722914;0.072511888
Soy;0.042831218;0.063722914;0.072511888
RestAgri;0.042831218;0.063722914;0.072511888
Cattle;0.0560828;0.072382487;0.076355561
RestLivestoock;0.067304138;0.083243827;0.084914755
Cement;0;0;0
IronSteel;0.027239187;0.028076644;0.034256044
MiningPellet;0;0;0
NonFerrousMetals;0.027239187;0.028076644;0.034256044
Chemical;0.039111651;0.053967279;0.064383089
BovineMeat;0.0560828;0.072382487;0.076355561
RestFoodBeve;0.067764836;0.080938099;0.082225041
Textiles;0.03599383;0.048000246;0.055649472
PaperPulp;0.013627845;0.020728081;0.024256774
Ceramics;0.027239187;0.028076644;0.034256044
Construction;0.027239187;0.028076644;0.034256044
OthIndustry;0.020282206;0.028182483;0.035281627
FreightRoad;0.020101872;0.030015805;0.035082996
FreightRail;0.020101872;0.030015805;0.035082996
FreightAir;0;0;0
FreightWater;0;0;0
PassRoad;0.048296313;0.070595032;0.083183103
PassRail;0.048296313;0.070595032;0.083183103
PassAir;0.048296313;0.070595032;0.083183103
PassWater;0.048296313;0.070595032;0.083183103
WaterSewage;0.04550419;0.059467716;0.075682236
Education;0.010964774;0.017940821;0.021674625
Health;0.01038789;0.013395046;0.020348161
Composite;0.026304308;0.037218681;0.045337206
