Households_Gourps;H1;H2;H3;H4
Coal;0;0;0;0
CrudeOil;0;0;0;0
NaturalGas;0.173219484;0.401788708;0.305620761;0.119371047
OthFossFuel;0.183630195;0.408821035;0.315945716;0.091603053
OthBiofuel;0.457323087;0.398403477;0.127242904;0.017030534
Diesel;0.035015271;0.180870148;0.433517381;0.350597197
Biodiesel;0.035015271;0.180870148;0.433517381;0.350597197
Gasoline;0.035015271;0.180870148;0.433517381;0.350597197
Ethanol;0.022172463;0.108624805;0.423917295;0.445285437
Electricity;0.094983415;0.315873896;0.384276435;0.204866255
PlantedForest;0;0;0;0
SugarCane;0.106554132;0.327993816;0.36861854;0.196833512
Soy;0.106554132;0.327993816;0.36861854;0.196833512
RestAgri;0.106554132;0.327993816;0.36861854;0.196833512
Cattle;0.128465287;0.348042086;0.372135219;0.151357408
RestLivestoock;0.150547965;0.359690917;0.342508681;0.147252437
Cement;0;0;0;0
IronSteel;0.055315831;0.179174206;0.348919524;0.416590439
MiningPellet;0;0;0;0
NonFerrousMetals;0.055315831;0.179174206;0.348919524;0.416590439
Chemical;0.09307893;0.310134307;0.366431865;0.230354897
BovineMeat;0.128465287;0.348042086;0.372135219;0.151357408
RestFoodBeve;0.148702935;0.344590054;0.340696172;0.16601084
Textiles;0.083994076;0.27222176;0.376066152;0.267718011
PaperPulp;0.034355926;0.138503883;0.424696544;0.402443647
Ceramics;0.055315831;0.179174206;0.348919524;0.416590439
Construction;0.055315831;0.179174206;0.348919524;0.416590439
OthIndustry;0.048464689;0.188565429;0.364914948;0.398054933
FreightRoad;0.050117677;0.190617208;0.361676456;0.39758866
FreightRail;0.050117677;0.190617208;0.361676456;0.39758866
FreightAir;0;0;0;0
FreightWater;0;0;0;0
PassRoad;0.118891345;0.384480533;0.378226382;0.118401742
PassRail;0.118891345;0.384480533;0.378226382;0.118401742
PassAir;0.118891345;0.384480533;0.378226382;0.118401742
PassWater;0.118891345;0.384480533;0.378226382;0.118401742
WaterSewage;0.104971906;0.354612975;0.380167329;0.16024779
Education;0.028905595;0.126743946;0.405794107;0.438556352
Health;0.023782936;0.136772572;0.391774901;0.447669591
Composite;0.063522989;0.236151113;0.375446217;0.32487968
