Aggregation_type;-;-;-;-;-;AGG_EnComp;AGG_PMR19;AGG_BIICS19
Row;Coal;Commodities;EnerSect;HybridCommod;PrimEnerSect;AllEnergy;Coal;Coal
Row;CrudeOil;Commodities;EnerSect;HybridCommod;PrimEnerSect;AllEnergy;COilFFuelExDies;CrudeOil
Row;NaturalGas;Commodities;EnerSect;HybridCommod;PrimEnerSect;AllEnergy;NaturalGas;NaturalGas
Row;OthFossFuel;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy;COilFFuelExDies;FossilFuels
Row;OthBiofuel;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy;Allbiofuel;BioFuels
Row;Diesel;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy;Diesel;FossilFuels
Row;Biodiesel;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy;Allbiofuel;BioFuels
Row;Gasoline;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy;COilFFuelExDies;FossilFuels
Row;Ethanol;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy;Allbiofuel;BioFuels
Row;Electricity;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy;Electricity;Electricity
Row;PlantedForest;Commodities;NonEnerSect;HybridCommod;-;AllComp;PlantedForest;PlantedForest
Row;SugarCane;Commodities;NonEnerSect;HybridCommod;-;AllComp;RestAgri;RestAgri
Row;Soy;Commodities;NonEnerSect;HybridCommod;-;AllComp;RestAgri;RestAgri
Row;RestAgri;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;RestAgri;RestAgri
Row;Cattle;Commodities;NonEnerSect;HybridCommod;-;AllComp;Cattle;Cattle
Row;RestLivestoock;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;RestAgri;RestAgri
Row;Cement;Commodities;NonEnerSect;HybridCommod;-;AllComp;Cement;Cement
Row;IronSteel;Commodities;NonEnerSect;HybridCommod;-;AllComp;IronSteel;IronSteel
Row;MiningPellet;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;RestIndus;RestIndus
Row;NonFerrousMetals;Commodities;NonEnerSect;HybridCommod;-;AllComp;NonFerrousMetals;NonFerrousMetals
Row;Chemical;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Chemical;Chemical
Row;BovineMeat;Commodities;NonEnerSect;HybridCommod;-;AllComp;BovineMeat;FoodBeve
Row;RestFoodBeve;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;RestFoodBeve;FoodBeve
Row;Textiles;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;RestIndus;RestIndus
