;Biomass;Coal;Crude_oil;Natural_gas;FuelProd;Electricity;Buildings_constr;Load_Transport;Pass_Transport;Livestock;Agriculture;Paper;Cement;Steel;NonFerrousMetals;ChemicalPharma;Mining;OthIndus;Composite;C;G;I;X
Biomass;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  ;    0.0012876  
Coal;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  ;    0.8728783  
Crude_oil;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  ;    0.1988375  
Natural_gas;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  ;    0.2759337  
FuelProd;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  ;    0.0499983  
Electricity;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  ;    0.0326578  
Buildings_constr;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  ;    0.0011063  
Load_Transport;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  ;  - 0.0122427  
Pass_Transport;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  ;    0.0544259  
Livestock;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  ;    0.0010019  
