;Coal;CrudeOil;NaturalGaz;OthFossFuel;OthBiofuel;Diesel;Biodiesel;Gasoline;Ethanol;Electricity;PlantedForest;SugarCane;Soy;RestAgri;Cattle;RestLivestoock;Cement;IronSteel;MiningPellet;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;Textiles;PaperPulp;Ceramics;Construction;OthIndustry;FreightRoad;FreightRail;FreightAir;FreightWater;PassRoad;PassRail;PassAir;PassWater;WaterSewage;Education;Health;Composite;C;G;I;X;Tot_uses;Y;M
Coal;524.7022621;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;502.2551403;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;515.8433621;263.4176165;522.455876;520.0237971;524.7022621;524.7022621;524.7022621;329.3578676;524.7022621;524.7022621;524.7022621;524.7022621;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;329.3578676;325.3739356;329.3578676;423.2691788;541.576801
CrudeOil;1044.000401;1044.000401;1044.000401;1041.057169;1044.000401;1041.057169;1044.000401;1041.057169;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1044.000401;1026.929831;1037.210097;983.9967992;6963.424759
NaturalGaz;452.7387591;102.0376965;1.00E-10;740.6140227;452.7387591;740.6140227;740.6140227;740.6140227;452.7387591;430.6946991;452.7387591;452.7387591;452.7387591;452.7387591;452.7387591;452.7387591;515.7727273;515.7727273;515.7727273;515.7727273;515.7727273;515.7727273;515.7727273;515.7727273;515.7727273;515.7727273;515.7727273;515.7727273;452.7387591;452.7387591;452.7387591;452.7387591;2344.412879;452.7387591;452.7387591;452.7387591;515.7727273;515.7727273;515.7727273;515.7727273;515.7727273;452.7387591;452.7387591;432.2948894;452.7387591;229.7084205;1316.382323
OthFossFuel;1209.603761;1383.630678;1515.83399;1506.757341;1209.603761;1506.757341;1209.603761;1506.757341;1209.603761;758.0562406;1328.334461;1328.334461;1328.334461;1328.334461;1328.334461;1328.334461;340.7649566;1228.729709;575.6094346;1042.798058;893.6350099;1097.761731;1097.761731;1283.436266;1324.72701;762.0025248;675.1284217;675.1284217;1209.603761;1209.603761;1998.23992;1339.602926;1209.603761;1209.603761;1998.23992;1209.603761;1256.949735;1256.94269;1256.94269;1259.359921;1254.57476;1209.603761;1209.603761;1444.474175;1192.836194;1170.569708;4639.821593
OthBiofuel;85.73244925;85.73244925;85.73244925;85.73244925;73.27653881;85.73244925;85.73244925;85.73244925;85.73244925;12.11724945;73.26224162;73.26224162;73.26224162;73.26224162;73.26224162;73.26224162;132.3045335;68.41031778;85.73244925;68.31954334;71.90704575;73.96736543;73.96736543;73.27653881;186.6323656;76.91439679;73.20764278;73.20764278;85.73244925;85.73244925;85.73244925;85.73244925;85.73244925;85.73244925;85.73244925;85.73244925;85.73244925;85.73244925;85.73244925;70.87635547;21.19871539;85.73244925;85.73244925;80.44785494;85.73244925;85.73244925;1.00E-10
Diesel;2318.841368;2332.54717;2332.54717;2332.54717;2318.841368;2332.54717;2332.54717;2332.54717;2318.841368;1934.144896;2332.54717;2332.54717;2332.54717;2332.54717;2332.54717;2332.54717;2332.54717;2332.54717;2332.54717;2332.54717;2332.54717;2332.54717;2332.54717;2332.54717;2332.54717;2332.54717;2332.54717;2332.54717;2332.54717;2332.54717;2318.841368;2291.981132;2332.54717;2318.841368;2318.841368;2291.981132;3291.391509;3291.391509;3291.391509;3291.391509;2318.841368;2318.841368;2318.841368;2332.54717;2312.604321;2350.772145;17944.8556
Biodiesel;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;2473.063973;1881.540939;2473.063973;1238.589542;1.00E-10
Gasoline;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3863.987013;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3886.491462;3863.987013;3886.491462;3886.491462;3863.987013;3863.987013;4007.07478;4770.594778
Ethanol;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4372.54902;4372.54902;4372.54902;4372.54902;4372.54902;4372.54902;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;3897.263092;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4287.623578;4280.630708;4287.623578;4287.623578;4249.722304;4239.317441;4285.439119;5160.075114
Electricity;2904.286374;736.6921396;736.6921396;1505.514251;3654.215659;1505.514251;3992.44186;1505.514251;1.00E-10;1900.404606;1039.717171;2985.819332;2985.819332;2985.819332;2985.819332;2985.819332;1656.331422;866.9126975;2021.910782;1016.662182;1887.956238;2034.548578;2034.548578;2478.490837;1186.935164;2179.217889;3404.217604;3404.217604;2904.286374;2904.286374;2904.286374;2904.286374;2904.286374;3992.44186;2904.286374;2904.286374;3446.346064;3701.237164;3701.237164;3701.237164;4649.517464;2904.286374;2904.286374;3744.186047;2903.986964;3488.960129;39921.57882
