;Coal;CrudeOil;NaturalGaz;OthFossFuel;OthBiofuel;Diesel;Biodiesel;Gasoline;Ethanol;Electricity;PlantedForest;SugarCane;Soy;RestAgri;Cattle;RestLivestoock;Cement;IronSteel;MiningPellet;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;Textiles;PaperPulp;Ceramics;Construction;OthIndustry;FreightRoad;FreightRail;FreightAir;FreightWater;PassRoad;PassRail;PassAir;PassWater;WaterSewage;Education;Health;Composite;C;G;I;X;Tot_uses;Y;M
Coal;12.26614301;0;0;0;0;0;0;0;0;4546.601668;0;0;0;0;0;0;142.8208291;10553.99096;487.3517193;953.8310845;175.3844247;11.75748395;54.51818571;0;87.62741778;63.53467746;47.97240893;123.7806348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17261.43763;2579.752309;14681.68533
CrudeOil;0;0;0;34040.43201;0;45093.11716;0;22766.13782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38132.80513;140032.4921;124847.2815;15185.21062
NaturalGaz;0;10236.10934;1353.799799;2298.287121;0;3044.524535;802.1864818;1537.087465;0;17029.52429;0;0;0;0;0;0;12.08763771;1275.507267;682.0097632;614.9550261;2306.007322;153.4350596;711.4618324;222.9239411;835.1606981;1373.869993;596.1060454;1538.10047;0;0;0;0;1450.11126;0;0;0;3.60564581;20.66079967;20.76936717;118.4011718;484.4216802;0;0;0;48721.114;33852.05268;14869.06132
OthFossFuel;0;48.35902798;12.08152111;1582.508684;0;1832.704426;0;859.3913593;0;5661.557559;0.814966141;1.403258738;3.291088133;7.187699544;2.212396855;1.056702453;3676.600306;235.2905292;734.1577633;1816.674939;2504.494476;77.67513123;360.1712107;56.90052076;421.0740741;503.1973621;195.4017052;504.184544;0;0;491.1964614;738.5511385;0;0;3162.861346;0;21.76564613;124.7198638;125.3752365;431.9962325;6686.828373;0;0;10941.17579;43822.86133;38308.32108;5514.487462
OthBiofuel;0;0;0;0;3647.077388;0;0;0;0;2927.144476;144.0385208;248.0143687;581.6725907;1270.36641;391.0228344;186.7634133;307.6672;3443.24254;0;10.60409;66.12575;387.0234909;1794.586209;61.8016;8354.240597;2370.9987;246.659337;636.441863;0;0;0;0;0;0;0;0;0;0;0;182.47252;6807.487836;0;0;0;34065.45173;34065.45173;0
Diesel;0;1318.901508;0.00224226;653.1032872;0;3.781710857;0.283393023;1.906207624;0;2412.288447;299.6046709;515.8777173;1209.897354;2642.402241;813.3398411;388.4737964;55.36961988;32.64008557;366.11302;9.536980907;16.79357632;39.31331524;182.2916051;2.134957971;160.7748942;22.18936073;41.74970862;107.7245348;27364.71039;900.6943548;0;178.3232835;7919.743245;0;0;60.12393519;0.195008695;1.117424117;1.123295911;3.867452477;0;0;0;646.3489326;48372.7414;41989.72313;6383.018272
Biodiesel;0;0;0;0;0;0;0;0;0;0;21.11315767;36.35393117;85.2615332;186.2102315;57.31610343;27.37576984;3.901900164;1.891757911;25.8000047;0;1.183444249;2.770411492;12.84609946;0.150450606;11.32981566;1.563685474;3.243888606;8.370031857;1928.392649;63.47198082;0;0;558.104743;0;0;0;0.013742274;0.078744939;0.079158725;0.272539589;0;0;0;0;3037.095776;3037.095776;0
Gasoline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2790.597909;0;0;0;0;0;0;0;20464.38467;0;0;469.301417;23724.28399;21464.01361;2260.270381
Ethanol;0;0;0;0;0;0;0;0;0;0;0.650047365;1.119291464;2.625094542;5.733177017;1.764690179;0.842865256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1694.038085;0;0;0;0;0;0;0;13706.30814;0;0;1105.636298;16518.71769;15228.46569;1290.252001
Electricity;0;836.7280282;56.74577628;143.2064021;40.749074;154.2856139;11.56182165;77.76914329;546.9887133;7922.669833;108.8821197;187.4799187;439.7000489;960.2999716;295.5833954;141.178875;566.2145629;1975.104296;1014.567063;2144.149174;1796.478266;368.4092665;1708.274057;518.5380704;1726.570643;313.731298;1013.295948;2614.553209;0;0;0;0;0;163.6410252;0;0;276.9379202;1586.888782;1595.227499;7281.092284;10432.5322;0;0;17.47329896;49037.5076;44541.95246;4495.55514
PlantedForest;2.813856291;1.815873141;0.145773249;1.61036052;115464.4293;0;0;0;0;0.017312;1278.870238;521.027176;1201.809254;2497.536426;1951.277832;4064.147333;36.05746903;1904.84641;46.48466273;14.90017817;520.4054892;527.9834094;1863.423844;224.5975621;78165;117.6534605;1685.777382;11973.65315;4.720890181;0.126427349;9.00E-05;0.171194688;0.148958263;0.004672101;0.00032686;0.00011905;0.134788934;20.4299884;0.050696202;37597.88203;0;0;3040.642549;4253.251627;268983.8481;257595.4245;11388.42366
SugarCane;0;0;0;0;5.803196046;0;0;0;293752.4892;0;32.03776126;1263.729643;2774.28373;4791.742426;1041.47855;1112.404478;0;0;6.763988023;0;38670.02565;10.75344467;274697.0503;51.71098092;0;0;23.08838267;3808.387344;0;0;0;0;0;0;0;0;0;0;0;110598.2096;17650.31834;0;0;0;750290.277;750290.277;0
Soy;0.277357057;14.81777711;1.181135474;9.716724228;0.551986526;0;695.4685245;0;0;0;3.047357423;263.4411743;573.8939174;996.974345;96.60711495;95.99239405;0.836273711;0;10.9569108;8.672681959;434.9904803;363.9577272;29326.70432;16.60595449;8.385084867;0;3.206793865;1755.258909;39.48318237;1.057375594;0;1.41337318;0;0;0;0;0;0;0;4541.482566;71.90924602;0;0;58569.24473;97906.13542;97464.936;441.1994198
RestAgri;0.153265243;2.986993123;0.259599379;1.973409291;15.11038633;0;58.21859968;0;639.7238881;0.361885169;83.42005786;695.0941636;1571.982335;2775.103374;1874.758771;2066.756205;2.43763818;67.1178929;15.90878657;2.232859663;478.9529923;437.072183;43231.73543;2870.506268;364.1872557;5.715458252;91.855915;898.9980198;7.964478835;0.213291965;0.001880374;0.33112763;3.113781591;0.097664286;0.006832599;0.00248859;35.20194661;469.1766078;417.8590031;5834.098014;76325.81095;63.15232099;410.4900864;39906.19162;181726.3357;172097.2503;9629.085403
Cattle;0;0;0.000256957;0;0.192218985;0;0.004326403;0;0.04753985;0.004324256;1.061185231;6.729498939;17.69297678;33.21300941;88.37743214;93.27555955;0.000130655;0;0.480494809;0;0.722638446;2957.886482;3249.292909;0.813969226;0;0;1.171895334;2.496390233;0;0;2.25E-05;0.000549958;0.037207356;0.001167015;8.16E-05;2.97E-05;0.033668087;6.507322477;12.37657178;22.30142233;106.7835023;0.104179027;1411.834169;128.8694559;8142.312587;8129.00243;13.31015677
RestLivestoock;0.000200337;0.010703008;0.003695108;0.007018474;27.16312579;0;1.48425293;0;16.30942792;0.047826556;149.9597347;36.62346086;128.1275048;304.2826872;1370.888813;1661.7423;0.047439137;0;7.868578318;0.006264353;19.83730507;18123.11297;21399.83404;10.31747816;0.006056619;0;18.42427208;18.67590595;0.028519044;0.000763752;0.000248509;0.007103459;0.411515759;0.012907261;0.000902993;0.000328891;0.372371223;131.3885375;99.27555313;2378.842209;30513.95702;8.547621667;930.75385;1210.43669;78568.81721;77083.00973;1485.807479
Cement;0.105061165;138.2754175;98.51753453;3.947687021;2.432048158;0;0.001419764;0;0.015600804;1472.435522;13.42663209;37.66674458;90.10213517;165.6028552;240.3102723;270.2143673;4244.990735;5.102688459;185.8284303;3.764263425;241.4952769;1.960728596;16.83401121;54.53172887;18.38872771;13382.9625;32002.82924;6919.667617;0.159140064;0.004261835;0.000513938;0.018275972;0.851049118;0.026693299;0.001867465;0.000680174;542.628578;71.71902887;10.45496237;13916.88291;0;0;0;250.6952702;74404.85248;72741.955;1662.897477
