Variable Name;Row Size;Column Size;Type
Population;1;nb_Households;InitVal
Population_ref;1;nb_Households;calib
Consumption_Units;1;nb_Households;InitVal
GDP_ref;1;1;calib
Consumption_Units_ref;1;nb_Households;calib
Labour_force_ref;1;nb_Households;calib
Labour_force;1;nb_Households;InitVal
Demo_ratio_change;1;nb_Households;calib
Unemployed;1;nb_Households;InitVal
u;1;nb_Households;calib
u_tot;1;1;calib
u_tot_ref;1;1;calib
u_ref;1;nb_Households;calib
H_disposable_income;1;nb_Households;calib
NetCompWages_byAgent;1;nb_InstitAgents;InitVal
GOS_byAgent;1;nb_InstitAgents;InitVal
Gov_social_transfers;1;nb_Households;InitVal
Corp_social_transfers;1;nb_Households;InitVal
Other_Transfers;1;nb_InstitAgents;InitVal
ClimPolicyCompens;1;nb_InstitAgents;InitVal
interest_rate;1;nb_InstitAgents;calib
NetFinancialDebt;1;nb_InstitAgents;InitVal
Income_Tax;1;nb_Households;InitVal
Gov_Direct_Tax;1;nb_Households;InitVal
Corp_Direct_Tax;1;nb_Households;InitVal
Property_income;1;nb_InstitAgents;InitVal
Gov_SocioBenef;1;nb_Households;calib
Corp_SocioBenef;1;nb_Households;calib
Household_saving_rate;1;nb_Households;calib
Household_savings;1;nb_Households;calib
NetLending;1;nb_InstitAgents;InitVal
GFCF_byAgent;1;nb_DomesticAgents;InitVal
GFCF_byAgent_ref;1;nb_DomesticAgents;calib
H_Invest_propensity;1;nb_Households;calib
NetFinancialDebt_ref;1;nb_InstitAgents;calib
time_period;1;1;Param
NetLending_ref;1;nb_InstitAgents;calib
Consumption_budget;1;nb_Households;calib
Budget_Shares;nb_Commodities;nb_Households;calib
C_value;nb_Commodities;nb_Households;InitVal
C;nb_Commodities;nb_Households;calib
pC;nb_Commodities;nb_Households;InitVal
Trade_margins_rates;1;nb_Commodities;calib
SpeMarg_rates_C;nb_Households;nb_Commodities;calib
Energy_Tax_rate_FC;1;nb_Commodities;calib
OtherIndirTax_rate;1;nb_Commodities;calib
Carbon_Tax_rate_C;nb_Commodities;nb_Households;calib
Emission_Coef_C;nb_Commodities;1;calib
VA_Tax_rate;1;nb_Commodities;calib
Cons_Tax_rate;1;nb_Commodities;calib
p;1;nb_Commodities;calib
Y;nb_Sectors;1;calib
M;nb_Sectors;1;calib
pY;nb_Sectors;1;InitVal
pM;nb_Sectors;1;InitVal
Y_value;1;nb_Commodities;InitVal
M_value;1;nb_Commodities;InitVal
Transp_margins;1;nb_Commodities;InitVal
Transp_margins_rates;1;nb_Commodities;calib
alpha;nb_Commodities;nb_Sectors;calib
G;nb_Commodities;nb_Government;calib
G_ref;nb_Commodities;nb_Government;calib
I;nb_Commodities;nb_Sectors;calib
X;nb_Commodities;1;calib
IC;nb_Commodities;nb_Sectors;calib
G_value;nb_Commodities;nb_Government;InitVal
pG;nb_Commodities;nb_Government;InitVal
I_value;nb_Commodities;nb_Sectors;InitVal
pI;nb_Commodities;1;InitVal
Trade_margins;1;nb_Commodities;InitVal
IC_value;nb_Commodities;nb_Sectors;InitVal
pIC;nb_Commodities;nb_Sectors;InitVal
SpeMarg_rates_IC;nb_Sectors;nb_Commodities;calib
Energy_Tax_rate_IC;1;nb_Commodities;calib
Carbon_Tax_rate_IC;nb_Commodities;nb_Sectors;calib
Emission_Coef_IC;nb_Commodities;nb_Sectors;calib
X_value;nb_Commodities;1;InitVal
pX;nb_Commodities;1;InitVal
SpeMarg_rates_X;1;nb_Commodities;calib
Energy_Tax_FC;1;nb_Commodities;InitVal
OtherIndirTax;1;nb_Commodities;InitVal
VA_Tax;1;nb_Commodities;InitVal
Cons_Tax;1;nb_Commodities;InitVal
Energy_Tax_IC;1;nb_Commodities;InitVal
Carbon_Tax_IC;nb_Commodities;nb_Sectors;InitVal
Carbon_Tax_C;nb_Commodities;nb_Households;InitVal
Corp_disposable_income;1;nb_Corporations;calib
Corporate_Tax;1;nb_Corporations;InitVal
Corporations_savings;1;nb_Corporations;calib
Corp_invest_propensity;1;nb_Corporations;calib
Production_Tax;1;nb_Sectors;InitVal
Labour_Tax;1;nb_Sectors;InitVal
Labour_Corp_Tax;1;nb_Sectors;InitVal
ClimPolCompensbySect;1;nb_Sectors;InitVal
G_disposable_income;1;nb_Government;calib
Income_Tax_rate;1;nb_Households;calib
CPI;1;1;calib
Gov_Direct_Tax_rate;1;nb_Households;calib
Corp_Direct_Tax_rate;1;nb_Households;calib
pC_ref;nb_Commodities;nb_Households;calib
C_ref;nb_Commodities;nb_Households;calib
Corporate_Tax_rate;1;nb_Corporations;calib
Production_Tax_rate;1;nb_Sectors;calib
Labour_Tax_rate;1;nb_Sectors;calib
Labour_Corp_Tax_rate;1;nb_Sectors;calib
w;1;nb_Sectors;calib
lambda;1;nb_Sectors;calib
Labour;1;nb_Sectors;InitVal
Labour_income;1;nb_Sectors;InitVal
NetWage_variation;1;1;Param
Carbon_Tax_rate;1;1;Param
CarbonTax_Diff_IC;nb_Commodities;nb_Sectors;Param
CarbonTax_Diff_C;nb_Commodities;nb_Households;Param
ClimPolicyCompens_ref;1;nb_InstitAgents;calib
ClimPolCompensbySect_ref;1;nb_Sectors;calib
Government_savings;1;nb_Government;calib
G_Consumption_budget;1;nb_Government;calib
G_Consumption_budget_ref;1;nb_Government;calib
GDP;1;1;calib
BudgetShare_GConsump;nb_Commodities;nb_Government;calib
G_invest_propensity;1;nb_Government;calib
Government_closure;1;nb_Government;calib
Gov_SocioBenef_param;1;nb_Households;calib
Corp_SocioBenef_param;1;nb_Households;calib
Gov_Direct_Tax_ref;1;nb_Households;calib
Corp_Direct_Tax_ref;1;nb_Households;calib
Gov_SocioBenef_ref;1;nb_Households;calib
Corp_SocioBenef_ref;1;nb_Households;calib
Income_Tax_rate_ref;1;nb_Households;calib
Corporate_Tax_rate_ref;1;nb_Corporations;calib
Production_Tax_rate_ref;1;nb_Sectors;calib
BudgetShare_GConsump_ref;nb_Commodities;nb_Government;calib
Energy_Tax_rate_IC_ref;1;nb_Commodities;calib
Energy_Tax_rate_FC_ref;1;nb_Commodities;calib
Carbon_Tax_rate_ref;1;1;calib
G_invest_propensity_ref;1;nb_Government;calib
GrossOpSurplus;1;nb_Sectors;calib
Capital_income;1;nb_Sectors;InitVal
Profit_margin;1;nb_Sectors;InitVal
SpeMarg_IC;nb_Sectors;nb_Commodities;InitVal
SpeMarg_C;nb_Households;nb_Commodities;InitVal
SpeMarg_X;1;nb_Commodities;InitVal
Capital_consumption;1;nb_Sectors;calib
Capital_consumption_ref;1;nb_Sectors;calib
phi_IC;nb_Sectors;nb_Sectors;Param
phi_K;1;nb_Sectors;Param
phi_L;1;nb_Sectors;Param
Mu;1;1;Param
Y_ref;nb_Sectors;1;calib
kappa;1;nb_Sectors;calib
aIC;nb_Commodities;nb_Sectors;calib
aL;1;nb_Sectors;calib
pL;1;nb_Sectors;calib
aK;1;nb_Sectors;calib
pK;1;nb_Sectors;calib
ConstrainedShare_IC;nb_Commodities;nb_Sectors;Param
ConstrainedShare_Labour;1;nb_Sectors;Param
ConstrainedShare_Capital;1;nb_Sectors;Param
alpha_ref;nb_Commodities;nb_Sectors;calib
lambda_ref;1;nb_Sectors;calib
kappa_ref;1;nb_Sectors;calib
sigma;1;nb_Commodities;Param
w_ref;1;nb_Sectors;calib
markup_rate;1;nb_Sectors;calib
markup_rate_ref;1;nb_Sectors;calib
Trade_margins_rates_ref;1;nb_Commodities;calib
Transp_margins_rates_ref;1;nb_Commodities;calib
Betta;nb_Commodities;nb_Sectors;calib
Betta_ref;nb_Commodities;nb_Sectors;calib
Gamma;1;nb_Sectors;Param
pBetta;1;nb_Sectors;Param
SpeMarg_rates_X_ref;1;nb_Commodities;calib
SpeMarg_rates_C_ref;nb_Households;nb_Commodities;calib
SpeMarg_rates_IC_ref;nb_Sectors;nb_Commodities;calib
delta_M_parameter;1;nb_Sectors;Param
M_ref;nb_Sectors;1;calib
pM_ref;nb_Sectors;1;calib
pY_ref;nb_Sectors;1;calib
sigma_M;1;nb_Commodities;Param
delta_X_parameter;1;nb_Commodities;Param
X_ref;nb_Commodities;1;calib
pX_ref;nb_Commodities;1;calib
sigma_X;1;nb_Commodities;Param
delta_M_parameter_ref;1;nb_Sectors;calib
delta_X_parameter_ref;1;nb_Commodities;calib
delta_pM;nb_Commodities;1;calib
sigma_omegaU;1;1;Param
sigma_omegaU_sect;1;nb_Sectors;Param
Coef_real_wage;1;1;Param
Distribution_Shares;nb_IncomeSources;nb_InstitAgents;calib
Distribution_Shares_ref;nb_IncomeSources;nb_InstitAgents;calib
LabourByWorker_coef;1;1;calib
delta_interest_rate;1;1;Param
interest_rate_ref;1;nb_InstitAgents;calib
Other_Transfers_ref;1;1;calib
CO2Emis_IC;nb_Commodities;nb_Sectors;InitVal
CO2Emis_C;nb_Commodities;1;InitVal
SpeMarg_I;1;nb_Commodities;InitVal
SpeMarg_rates_I;1;nb_Commodities;calib
SpeMarg_rates_I_ref;1;nb_Commodities;calib
SpeMarg_G;1;nb_Commodities;InitVal
SpeMarg_rates_G;1;nb_Commodities;calib
SpeMarg_rates_G_ref;1;nb_Commodities;calib
ConstrainedShare_C;nb_Commodities;nb_Households;Param
sigma_pC;nb_Commodities;nb_Households;Param
sigma_ConsoBudget;1;nb_Households;Param
CPI_ref;1;1;calib
Consumption_budget_ref;1;nb_Households;calib
Budget_Shares_ref;nb_Commodities;nb_Households;calib
Unemployed_ref;1;nb_Households;calib
Property_income_ref;1;nb_InstitAgents;calib
CO2Emis_IC_ref;nb_Commodities;nb_Sectors;calib
CO2Emis_C_ref;nb_Commodities;nb_Households;calib
