Variable Name;Row Size;Column Size;Type
Population;1;nb_Households;ref
GDP;1;1;ref
Consumption_Units;1;nb_Households;ref
Labour_force;1;nb_Households;ref
u_tot;1;1;ref
u;1;nb_Households;ref
GFCF_byAgent;1;nb_DomesticAgents;ref
NetFinancialDebt;1;nb_InstitAgents;ref
NetLending;1;nb_InstitAgents;ref
G;nb_Commodities;nb_Government;ref
pC;nb_Commodities;nb_Households;ref
C;nb_Commodities;nb_Households;ref
ClimPolicyCompens;1;nb_InstitAgents;ref
ClimPolCompensbySect;1;nb_Sectors;ref
G_Consumption_budget;1;nb_Government;ref
Gov_SocioBenef;1;nb_Households;ref
Corp_SocioBenef;1;nb_Households;ref
Gov_Direct_Tax;1;nb_Households;ref
Corp_Direct_Tax;1;nb_Households;ref
Income_Tax_rate;1;nb_Households;ref
Corporate_Tax_rate;1;nb_Corporations;ref
Production_Tax_rate;1;nb_Sectors;ref
BudgetShare_GConsump;nb_Commodities;nb_Government;ref
Energy_Tax_rate_IC;1;nb_Commodities;ref
Energy_Tax_rate_FC;1;nb_Commodities;ref
Carbon_Tax_rate;1;1;ref
G_invest_propensity;1;nb_Government;ref
Capital_consumption;1;nb_Sectors;ref
Y;nb_Sectors;1;ref
alpha;nb_Commodities;nb_Sectors;ref
lambda;1;nb_Sectors;ref
kappa;1;nb_Sectors;ref
w;1;nb_Sectors;ref
markup_rate;1;nb_Sectors;ref
Trade_margins_rates;1;nb_Commodities;ref
Transp_margins_rates;1;nb_Commodities;ref
Betta;nb_Commodities;nb_Sectors;ref
SpeMarg_rates_X;1;nb_Commodities;ref
SpeMarg_rates_C;nb_Households;nb_Commodities;ref
SpeMarg_rates_IC;nb_Sectors;nb_Commodities;ref
M;nb_Sectors;1;ref
pM;nb_Sectors;1;ref
pY;nb_Sectors;1;ref
X;nb_Commodities;1;ref
pX;nb_Commodities;1;ref
delta_M_parameter;1;nb_Sectors;ref
delta_X_parameter;1;nb_Commodities;ref
Distribution_Shares;nb_IncomeSources;nb_InstitAgents;ref
interest_rate;1;nb_InstitAgents;ref
Other_Transfers;1;1;ref
SpeMarg_rates_I;1;nb_Commodities;ref
SpeMarg_rates_G;1;nb_Commodities;ref
CPI;1;1;ref
Consumption_budget;1;nb_Households;ref
Budget_Shares;nb_Commodities;nb_Households;ref
Unemployed;1;nb_Households;ref
Property_income;1;nb_InstitAgents;ref
CO2Emis_IC;nb_Commodities;nb_Sectors;ref
CO2Emis_C;nb_Commodities;nb_Households;ref
