;Corporations;Government;Households;RestOfWorld
Trade_Balance;0.000;0.000;0.000;54372224.787
GOS_byAgent;449229699.635;92211298.043;209212513.006;0.000
NetCompWages_byAgent;0.000;0.000;890989561.480;0.000
InsuranceContrib_byAgent;0.000;401787035.117;0.000;0.000
Production_Tax_byAgent;0.000;59988880.189;0.000;0.000
Energ_Tax_byAgent;0.000;22414971.648;0.000;0.000
Carbon_Tax_byAgent;0.000;0.000;0.000;0.000
OtherIndirTax_byAgent;0.000;41044554.202;0.000;0.000
VA_Tax_byAgent;0.000;161749077.665;0.000;0.000
Property_income;-27709000.000;-24675000.000;81974000.000;-29590000.000
Unemployment_transfers;0.000;-40211649.136;40211649.136;0.000
Pensions;0.000;-331399905.308;331399905.308;0.000
Other_social_transfers;0.000;-133230445.556;133230445.556;0.000
ClimPolicyCompens;0.000;0.000;0.000;0.000
Other_Transfers;-70427492.146;67136735.984;15884960.950;-12594204.787
Income_Tax;0.000;225918000.000;-225918000.000;0.000
Corporate_Tax;-59783000.000;59783000.000;0.000;0.000
Other_Direct_Tax;0.000;22659000.000;-22659000.000;0.000
Disposable_Income;291310207.489;625175552.847;1454326035.436;12188020.000
FC_byAgent;0.000;604411966.534;1267957488.833;0.000
GFCF_byAgent;300679537.489;80534466.314;129416356.603;0.000
Tot_FC_byAgent;300679537.489;684946432.847;1397373845.436;0.000
NetLending;-9369330.000;-59770880.000;56952190.000;12188020.000
NetFinancialDebt;1960059000.000;1757823000.000;-3638693000.000;-79189000.000
Thousand of euros;0.000;0.000;0.000;0.000
