Aggregation_type;-;-;-;-;-;AGG_EnComp;AGG_4SecB
Row;Crude_oil;Commodities;EnerSect;HybridCommod;PrimEnerSect;AllEnergy;PrimEnergy
Row;Natural_gas;Commodities;EnerSect;HybridCommod;PrimEnerSect;AllEnergy;PrimEnergy
Row;Coal;Commodities;EnerSect;HybridCommod;PrimEnerSect;AllEnergy;PrimEnergy
Row;AllFuels;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy;FinEnHTr
Row;Electricity;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy;FinEnHRes
Row;HeatGeoSol_Th;Commodities;EnerSect;HybridCommod;FinEnerSect;AllEnergy;FinEnHRes
Row;Heavy_Industry;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;AllComp
Row;Buildings_constr;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;AllComp
Row;Work_constr;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;AllComp
Row;Automobile;Commodities;NonEnerSect;HybridCommod;-;AllComp;AllComp
Row;OthTranspEquip;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;AllComp
Row;Load_PipeTransp;Commodities;NonEnerSect;HybridCommod;-;AllComp;AllComp
Row;PassTransp;Commodities;NonEnerSect;HybridCommod;-;AllComp;AllComp
Row;AirTransp;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;AllComp
Row;AgriFood_Indus;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;AllComp
Row;PropertyBus;Commodities;NonEnerSect;HybridCommod;-;AllComp;AllComp
Row;Comp;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;AllComp
Row;Labour_income;OthPart_IOT;Value_Added;-;-;-;-
Row;Labour_Tax;OthPart_IOT;Value_Added;-;-;-;-
Row;Capital_income;OthPart_IOT;Value_Added;-;-;-;-
Row;Production_Tax;OthPart_IOT;Value_Added;-;-;-;-
Row;Profit_margin;OthPart_IOT;Value_Added;-;-;-;-
Row;M_value;OthPart_IOT;-;-;-;-;-
Row;Trade_margins;OthPart_IOT;Margins;-;-;-;-
Row;Transp_margins;OthPart_IOT;Margins;-;-;-;-
Row;SpeMarg_Crude_oil;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_Natural_gas;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_Coal;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_AllFuels;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_Electricity;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_HeatGeoSol_Th;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_Heavy_Industry;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_Buildings_constr;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_Work_constr;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_Automobile;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_OthTranspEquip;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_Load_PipeTransp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_PassTransp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_AirTransp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_AgriFood_Indus;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_PropertyBus;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_Comp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-
Row;SpeMarg_H1;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-;-
Row;SpeMarg_H2;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-;-
Row;SpeMarg_H3;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-;-
Row;SpeMarg_H4;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-;-
Row;SpeMarg_H5;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-;-
Row;SpeMarg_H6;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-;-
Row;SpeMarg_H7;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-;-
Row;SpeMarg_H8;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-;-
Row;SpeMarg_H9;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-;-
Row;SpeMarg_H10;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-;-
