;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;AgriFood_Indus;PropertyBus;Comp;C;G;I;X
Crude_oil;0;0;0;0.985616162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.430677328
Natural_gas;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0.082906669;0;0;0
Coal;0;0;0.893805465;0;0.825404885;1;0.465558875;0;0.236320096;0.285340035;0;0;0.887011097;0.219237714;0.708391374;0.493756974;0;0;0.397945973
AllFuels;0;0;0;0;0.385873535;0.294945676;0.435569925;0.400839919;0.409352463;0.460347059;0.379646375;0.379646375;0.413236913;0.371638845;0.371001061;0.247126086;0;0;0.181585981
Electricity;0.083282889;0.057895691;0.083380777;0.091830757;0;0.057895691;0.066317339;0.085664201;0.085664201;0.076481434;0.073020629;0.073020629;0.064359424;0.073347917;0.056466686;5.9E-05;0;0;0
HeatGeoSol_Th;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heavy_Industry;0;0.703542794;0.585062253;0.877544984;0.703542794;0.703542794;0.630896664;0.285257041;0.313963122;0.40853582;0.360998848;0.360998848;0.668692134;0.359205113;0.541052347;0.297671084;0.561596339;0.254163136;0.104708491
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Automobile;0;0.668302189;0.838431602;0.866251387;0.668302189;0.668302189;0.594446732;0.517531259;0.517531259;0.643190807;0.473238599;0.473238599;0.595613019;0.866549824;0.588573556;0.513839243;0;0.829693871;0
Load_PipeTransp;0;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0;0.025347734
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.025347734;0;0;0
AgriFood_Indus;0;0.358718271;0.295733114;0.295047025;0.358718271;0.358718271;0.254766344;0.374279318;0.222261296;0.198415834;0.123023603;0.123023603;0.159377592;0.248661873;0.210949221;0.185852622;0.187179005;0.414654099;0
PropertyBus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comp;0.240766799;0.121097645;0.159649637;0.146368005;0.121080858;0.121084595;0.155160862;0.205000577;0.205002794;0.31808723;0.051915834;0.051915834;0.125652849;0.000241172;0.116203228;0.111163526;0.004153444;0.173951044;0.095169195
