;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;0;0;0;0;0;0;0;0;0;0
Natural_gas;0.089021662;0.08190352;0.082149552;0.089199943;0.090107162;0.093191281;0.101604179;0.107784157;0.123377788;0.141660757
Crude_coal;0.099690164;0.10894379;0.265760973;0.101661402;0.070783403;0.134966753;0.045608125;0.053992491;0.038173773;0.080419126
Coke;0;0;0;0;0;0;0;0;0;0
Gasoline;0.059532106;0.074261025;0.077161699;0.091256901;0.096894692;0.111667612;0.107265124;0.109963038;0.135152476;0.136845328
LPG;0.082106541;0.104548317;0.110695929;0.105122983;0.106999924;0.098642173;0.101257285;0.091521752;0.099692696;0.0994124
Jetfuel;0;0;0;0;0;0;0;0;0;0
Road_diesel;0.048965948;0.06108068;0.079086263;0.093533027;0.098244781;0.113223541;0.120086194;0.123106582;0.130519084;0.1321539
Heating_oil;0.065642046;0.084636721;0.106682668;0.106979237;0.099659271;0.087683509;0.10070723;0.114994138;0.104098209;0.128916972
Other_fuels;0.065642046;0.084636721;0.106682668;0.106979237;0.099659271;0.087683509;0.10070723;0.114994138;0.104098209;0.128916972
Electricity;0.07775414;0.089797199;0.085842678;0.091201111;0.095629403;0.099525265;0.108259227;0.107835823;0.114254783;0.129900371
HeatGeoSol_Th;0.113141952;0.107745903;0.096021658;0.097048275;0.096027426;0.108585229;0.074378741;0.07402058;0.079687615;0.153342622
Steel_Iron;0.023986703;0.038805051;0.073724785;0.055512243;0.111376143;0.125454034;0.118000543;0.134440191;0.166126744;0.152573564
NonFerrousMetals;0.026998012;0.036806699;0.091217693;0.060031588;0.096189977;0.10391759;0.106622555;0.153219219;0.154971402;0.170025266
Cement;0.023986703;0.038805051;0.073724785;0.055512243;0.111376143;0.125454034;0.118000543;0.134440191;0.166126744;0.152573564
OthMin;0.023986703;0.038805051;0.073724785;0.055512243;0.111376143;0.125454034;0.118000543;0.134440191;0.166126744;0.152573564
Construction;0.02110757926038;0.056198202134928;0.065251882009887;0.062345885751021;0.102866540332405;0.127632318702166;0.115043246155587;0.125204193088509;0.168343977058308;0.15600617550681
CivilEngineering;0.02110757926038;0.056198202134928;0.065251882009887;0.062345885751021;0.102866540332405;0.127632318702166;0.115043246155587;0.125204193088509;0.168343977058308;0.15600617550681
ChemicalPharma;0.070145606;0.080117505;0.088542337;0.095009782;0.096116522;0.087586616;0.096620322;0.118801783;0.116813674;0.150245853
Paper;0.059875772;0.063303306;0.058349339;0.074308294;0.079508152;0.0929343;0.097206646;0.113412017;0.139671603;0.221430571
Mining;0.023986703;0.038805051;0.073724785;0.055512243;0.111376143;0.125454034;0.118000543;0.134440191;0.166126744;0.152573564
Automobile;0.014043781072561;0.03363502916026;0.060675445189;0.074387969970022;0.079214312327977;0.084254257799445;0.11518366846996;0.143826903831939;0.173847762043175;0.22093087013566
OthTranspEquip;0.040533243538753;0.056015073507613;0.057176641267738;0.086092603859753;0.093070293858423;0.128969243366095;0.122000001170342;0.123090870301902;0.12211503167114;0.170936997458242
OthEquip;0.052316442264202;0.058978848230725;0.066215234746997;0.077806777486046;0.083187401419827;0.095779462356748;0.106211812500048;0.123723750079472;0.1390601957443;0.196720075171637
Electronics;0.052316442264202;0.058978848230725;0.066215234746997;0.077806777486046;0.083187401419827;0.095779462356748;0.106211812500048;0.123723750079472;0.1390601957443;0.196720075171637
Food_industry;0.069220155;0.077617362;0.08438331;0.091609119;0.098019396;0.102967107;0.108808764;0.116097503;0.118557139;0.132720145
OthManuf;0.052316442264202;0.058978848230725;0.066215234746997;0.077806777486046;0.083187401419827;0.095779462356748;0.106211812500048;0.123723750079472;0.1390601957443;0.196720075171637
LandTransp;0.103593288293746;0.069562692376496;0.065879974701942;0.074618747513774;0.069232195088734;0.077859186460136;0.103117033504657;0.114085049392409;0.12554503793127;0.196506794736836
NavalTransp;0.199502257544173;0.038384088507284;0.075978341733051;0.118074339688711;0.03111410693527;0.02483516506664;0.189310828232138;0.105126980912308;0.112287999977359;0.105385891403066
AirTransp;0.124101982810998;0.047175054654847;0.046078774468195;0.050620029181214;0.033564013600999;0.050363395398082;0.081159157222085;0.110214610610839;0.153207971400044;0.303515010652698
Agri_Forestry;0.063541556;0.0739803;0.085450806;0.089724967;0.095608746;0.104519242;0.104519446;0.114472317;0.123960325;0.144222295
Fishing;0.050587124;0.061559029;0.066533422;0.082152609;0.08805722;0.093814063;0.102017002;0.133774525;0.129473625;0.192031379
Property_business;0.065708979174975;0.068135662051033;0.076477919566823;0.087501665159844;0.093249986166795;0.102062728637107;0.109662505365093;0.118262086447839;0.128835885901717;0.150102581528774
Comp;0.052316442264202;0.058978848230725;0.066215234746997;0.077806777486046;0.083187401419827;0.095779462356748;0.106211812500048;0.123723750079472;0.1390601957443;0.196720075171637
