Aggregation_type;-;-;-;-;-;AGG_4SecB
Row;Crude_oil;Commodities;EnerSect;HybridCommod;PrimEnerSect;PrimEnergy
Row;Natural_gas;Commodities;EnerSect;HybridCommod;PrimEnerSect;FinEnHRes
Row;Crude_coal;Commodities;EnerSect;HybridCommod;PrimEnerSect;PrimEnergy
Row;Coke;Commodities;EnerSect;HybridCommod;PrimEnerSect;PrimEnergy
Row;Gasoline;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHTr
Row;LPG;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHTr
Row;Jetfuel;Commodities;EnerSect;HybridCommod;PrimEnerSect;FinEnHRes
Row;Road_diesel;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHTr
Row;Heating_oil;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHRes
Row;Other_fuels;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHRes
Row;Electricity;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHRes
Row;HeatGeoSol_Th;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHRes
Row;Steel_Iron;Commodities;NonEnerSect;HybridCommod;-;AllComp
Row;NonFerrousMetals;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Cement;Commodities;NonEnerSect;HybridCommod;-;AllComp
Row;OthMin;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Construction;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;ChemicalPharma;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Paper;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Mining;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Automobile;Commodities;NonEnerSect;HybridCommod;-;AllComp
Row;OthTranspEquip;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;LandTransp;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;NavalTransp;Commodities;NonEnerSect;HybridCommod;-;AllComp
Row;AirTransp;Commodities;NonEnerSect;HybridCommod;-;AllComp
Row;Agri_Forestry;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Fishing;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Food_industry;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Property_business;Commodities;NonEnerSect;HybridCommod;-;AllComp
Row;Comp;Commodities;NonEnerSect;NonHybridCommod;-;AllComp
Row;Labour_income;OthPart_IOT;Value_Added;-;-;-
Row;Labour_Tax;OthPart_IOT;Value_Added;-;-;-
Row;Capital_income;OthPart_IOT;Value_Added;-;-;-
Row;Production_Tax;OthPart_IOT;Value_Added;-;-;-
Row;Profit_margin;OthPart_IOT;Value_Added;-;-;-
Row;M_value;OthPart_IOT;-;-;-;-
Row;Trade_margins;OthPart_IOT;Margins;-;-;-
Row;Transp_margins;OthPart_IOT;Margins;-;-;-
Row;SpeMarg_Crude_oil;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Natural_gas;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Crude_coal;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Coke;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Gasoline;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_LPG;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Jetfuel;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Road_diesel;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Heating_oil;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Other_fuels;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Electricity;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_HeatGeoSol_Th;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Steel_Iron;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_NonFerrousMetals;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Cement;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_OthMin;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Construction;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_ChemicalPharma;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Paper;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Mining;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Automobile;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_OthTranspEquip;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_LandTransp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_NavalTransp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_AirTransp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Agri_Forestry;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Fishing;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Food_industry;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Property_business;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Comp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_H1;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-
Row;SpeMarg_H2;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-
Row;SpeMarg_H3;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-
Row;SpeMarg_H4;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-
Row;SpeMarg_H5;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-
Row;SpeMarg_H6;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-
Row;SpeMarg_H7;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-
Row;SpeMarg_H8;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-
Row;SpeMarg_H9;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-
Row;SpeMarg_H10;OthPart_IOT;SpeMarg;SpeMarg_FC;SpeMarg_C;-
Row;SpeMarg_G;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-
Row;SpeMarg_I;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-
Row;SpeMarg_X;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-
Row;VA_Tax;OthPart_IOT;Taxes;-;-;-
Row;Energy_Tax_IC;OthPart_IOT;Taxes;-;-;-
Row;Energy_Tax_FC;OthPart_IOT;Taxes;-;-;-
Row;ClimPolCompensbySect;OthPart_IOT;Taxes;-;-;-
Row;OtherIndirTax;OthPart_IOT;Taxes;-;-;-
Column;Crude_oil;Sectors;NonSupplierSect;-;-;-
Column;Natural_gas;Sectors;NonSupplierSect;-;-;-
Column;Crude_coal;Sectors;-;-;-;-
Column;Coke;Sectors;-;-;-;-
Column;Gasoline;Sectors;-;-;-;-
Column;LPG;Sectors;-;-;-;-
Column;Jetfuel;Sectors;-;-;-;-
Column;Road_diesel;Sectors;-;-;-;-
Column;Heating_oil;Sectors;-;-;-;-
Column;Other_fuels;Sectors;-;-;-;-
Column;Electricity;Sectors;-;-;-;-
Column;HeatGeoSol_Th;Sectors;-;-;-;-
Column;Steel_Iron;Sectors;-;-;-;-
Column;NonFerrousMetals;Sectors;-;-;-;-
Column;Cement;Sectors;-;-;-;-
Column;OthMin;Sectors;-;-;-;-
Column;Construction;Sectors;-;-;-;-
Column;ChemicalPharma;Sectors;-;-;-;-
Column;Paper;Sectors;-;-;-;-
Column;Mining;Sectors;-;-;-;-
Column;Automobile;Sectors;-;-;-;-
Column;OthTranspEquip;Sectors;-;-;-;-
Column;LandTransp;Sectors;-;-;-;-
Column;NavalTransp;Sectors;-;-;-;-
Column;AirTransp;Sectors;-;-;-;-
Column;Agri_Forestry;Sectors;-;-;-;-
Column;Fishing;Sectors;-;-;-;-
Column;Food_industry;Sectors;-;-;-;-
Column;Property_business;Sectors;-;-;-;-
Column;Comp;Sectors;-;-;-;-
Column;H1;FC;C;-;-;-
Column;H2;FC;C;-;-;-
Column;H3;FC;C;-;-;-
Column;H4;FC;C;-;-;-
Column;H5;FC;C;-;-;-
