Emission CO2;Crude_oil;Natural_gas;Crude_coal;Coke;Gasoline;LPG;Jetfuel;Road_diesel;Heating_oil;Other_fuels;Electricity;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Construction;ChemicalPharma;Paper;Mining;Automobile;OthTranspEquip;LandTransp;NavalTransp;AirTransp;Agri_Forestry;Fishing;Food_industry;Property_business;Comp;C;X
Crude_oil;0;0;0;0;3.229094649;0;1.557507847;7.20894992;0.929093747;1.000774291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.170244807
Natural_gas;0.077347499;0;0.000142061;0.000364603;1.853604879;0.100988457;0.059104674;0.852053113;0.109813111;0.419497419;1.329251878;7.784189768;0.477124707;0.426737731;1.867119895;1.342658509;0.773088986;5.976879828;1.813088147;0.114410235;0.410675393;0.396055783;0.146866087;0;0.028583929;0.386661264;0.000671145;6.291459843;1.865902937;16.00810523;23.04334852;6.005851394
Crude_coal;0;0;0.734043059;15.89737668;0;0;0;0;0;0;6.894600273;1.780278842;9.251849955;0.000190679;0.588775166;0.433156045;0.000539953;1.443465687;0.070002432;0;0;0;0;0;0;0;0;0.990189594;0.001665575;0.228006322;0.148345646;0.381581636
Coke;0;0;0;0;0;0;0;0;0;0;0;0;8.558760004;0;0;0.123771235;0.450853021;0.067954428;0;0;0.061751133;0.008969086;0;0;0;0;0;0.151621632;0.000692232;0.960399423;0;0.366558024
Gasoline;0;0;0;0;0;0;0;0;0;0;0;0;0.042145041;0.024132406;0.004031188;0.018538050;0.000471855;1.781303003;0.000022525;0.025131099;0.009856592;0.000909896;1.459879232;1.020474298;0.190648078;0.048825601;0.000290756;0.003058457;0.000448308;1.280783968;14.53280668;17.60140798
LPG;0;0;0;0;0;0;0;0;0;0;0;0;0.014896319;0.010760917;0.006820992;0.083709830;0.012215477;1.009804463;0.021104258;0.052734225;0.038571683;0.002297802;0.075127691;0.012733556;0.010703726;0.665406233;0;0.272376435;0.003145574;1.249146193;2.457797384;2.826851526
Jetfuel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001430960;0;0;0;0;0;0;0;24.71998146;0;0;0;0.004896827;0.853246098;0;14.90414827
Road_diesel;0;0;0;0;0;0;0;0;0;0;0;0;2.711226382;1.715961297;0.162013671;0.359768586;1.761969532;0.634903279;0.025059234;0.845197847;0.393428268;0.242564970;28.11137339;6.24532901;3.803512887;7.515470676;0.349105051;0.585403672;0.074243204;19.80380782;30.760965;8.27452315
Heating_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.560655202;11.06194748;0
Other_fuels;0;0;0;0;0;0;0;0;0;0;0.717441972;1.934343809;0.017428932;0.011690661;0.629144962;1.267349715;0.000005983;2.672891832;0.109221931;0.008818514;0.001473588;0.001571369;0;4.898199999;0.019621457;0.056158021;0;0.371991297;0.000094743;0.070746680;0.546052306;31.85766171
Electricity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HeatGeoSol_Th;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mining;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthTranspEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_Forestry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fishing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MtCO2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
