IC prices CO2;Crude_oil;Natural_gas;Crude_coal;Coke;Gasoline;LPG;Jetfuel;Road_diesel;Heating_oil;Other_fuels;Electricity;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Construction;ChemicalPharma;Paper;Mining;Automobile;OthTranspEquip;LandTransp;NavalTransp;AirTransp;Agri_Forestry;Fishing;Food_industry;Property_business;Comp;C;G;I;X;Tot_uses;Y;M
Crude_oil;449.55885;449.55885;449.55885;449.55885;449.54095;449.54095;449.54095;449.54095;449.54095;449.54095;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;449.55885;472.0255;448.61751;411.12316;449.39641
Natural_gas;370.30222;494.65293;370.30222;370.30222;370.30222;370.30222;370.30222;370.30222;370.30222;370.30222;370.30222;370.30222;370.30222;370.30222;370.30222;370.30222;468.4694;370.30222;370.30222;459.74532;459.74532;459.74532;459.74532;494.65293;459.74532;536.73432;536.73432;459.74532;459.74532;459.74532;958.52509;737.09343;737.09343;227.33854;471.00829;10652.362;252.31424
Crude_coal;165.34598;165.34598;214.73135;214.73135;165.34598;165.34598;165.34598;165.34598;165.34598;165.34598;129.58858;150.14057;174.55393;150.14057;150.14057;150.14057;98.21105;150.14057;150.14057;165.34598;165.34598;165.34598;165.34598;165.34598;165.34598;165.34598;165.34598;150.14057;98.21105;143.57084;435.85548;400.71118;400.71118;197.79797;155.08777;183.13439;151.02456
Coke;487.56807;487.56807;487.56807;487.56807;487.56807;487.56807;487.56807;487.56807;487.56807;487.56807;487.56807;487.56807;487.50979;487.56807;487.56807;487.50979;487.50979;487.50979;487.56807;487.56807;487.50979;487.50979;487.56807;487.56807;487.56807;487.56807;487.56807;487.50979;487.50979;487.50979;487.56807;487.56807;487.56807;487.94622;457.24683;476.07186;353.74854
Gasoline;1126.6989;1126.6989;1126.6989;1126.6989;1126.6989;1126.6989;1126.6989;1126.6989;1126.6989;1126.6989;1126.6989;1126.6989;1473.8989;1473.8989;1473.8989;1473.8989;1473.8989;1473.8989;1473.8989;1473.8989;1473.8989;1473.8989;1473.8989;1473.8989;1473.8989;1473.8989;670.97038;1473.8989;1473.8989;1473.8989;1864.2246;1953.6877;1953.6877;694.46409;594.6868;585.99089;670.00728
LPG;916.10987;916.10987;916.10987;916.10987;916.10987;916.10987;916.10987;916.10987;916.10987;916.10987;916.10987;916.10987;1121.7658;1121.7658;1121.7658;1121.7658;1121.7658;1121.7658;1121.7658;1121.7658;1121.7658;1121.7658;955.18408;955.18408;955.18408;1121.7658;916.10987;1121.7658;1121.7658;1121.7658;1688.3468;1727.8293;1727.8293;490.52634;638.44671;1192.1397;364.2383
Jetfuel;528.19176;528.19176;528.19176;528.19176;528.19176;528.19176;528.19176;528.19176;528.19176;528.19176;528.19176;528.19176;528.19176;528.19176;528.19176;528.19176;527.57095;528.19176;528.19176;528.19176;528.19176;528.19176;528.19176;528.19176;527.57095;528.19176;528.19176;528.19176;527.57095;527.57095;528.19176;528.19176;528.19176;527.56268;521.59102;454.8414;570.09259
Road_diesel;1218.6379;1218.6379;1218.6379;1218.6379;1218.6379;1218.6379;1218.6379;1218.6379;1218.6379;1218.6379;1218.6379;1218.6379;1372.2909;1372.2909;1372.2909;1372.2909;1372.2909;1372.2909;1372.2909;1372.2909;1372.2909;1372.2909;1326.4779;1326.4779;1326.4779;807.26473;715.63887;1372.2909;1372.2909;1372.2909;1808.6897;1845.3367;1845.3367;663.04678;773.29596;961.43399;554.12817
Heating_oil;750.9012;750.9012;750.9012;750.9012;750.9012;750.9012;750.9012;750.9012;750.9012;750.9012;697.02492;697.02492;697.02492;697.02492;697.02492;697.02492;697.02492;697.02492;697.02492;697.02492;697.02492;697.02492;697.02492;697.02492;697.02492;706.12138;697.02492;697.02492;697.02492;697.02492;1089.017;1018.9918;1018.9918;698.88235;630.54991;703.14074;554.09394
Other_fuels;394.9859;394.9859;394.9859;394.9859;394.9859;394.9859;394.9859;394.9859;394.9859;394.9859;354.72203;441.89352;442.25893;490.08802;494.52677;351.62641;448.1716;420.53872;344.29303;344.29303;344.29303;344.29303;344.29303;344.29303;344.29303;352.42139;394.9859;346.15235;448.1716;448.1716;2692.3031;3100.9526;3100.9526;389.54141;337.25259;378.24799;252.49259
Electricity;675.88409;675.88409;675.88409;675.88409;675.88409;675.88409;675.88409;675.88409;675.88409;675.88409;919.92782;675.88409;586.83427;586.83427;586.83427;586.83427;971.42629;586.83427;586.83427;848.1252;675.88409;675.88409;675.88409;919.92782;675.88409;1009.8209;1009.8209;675.88409;969.68942;1012.2931;2105.7042;1815.602;1815.602;607.21561;872.34114;869.16636;1008.5722
HeatGeoSol_Th;1100.4979;1100.4979;1100.4979;1100.4979;1100.4979;1100.4979;1100.4979;1100.4979;1100.4979;1100.4979;1100.4979;1100.4979;1100.4979;1100.4979;1100.4979;1100.4979;1103.7729;1100.4979;1100.4979;1100.4979;1100.4979;1100.4979;1100.4979;1100.4979;1100.4979;1103.7729;1100.4979;1103.7729;1103.7729;1103.7729;1243.839;1339.2349;1339.2349;1093.3546;1080.0901;1080.0901;1027.4916
Steel_Iron;610.25527;912.36723;912.36723;912.36723;912.36723;912.36723;912.36723;912.36723;912.36723;912.36723;912.36723;912.36723;90.05735;912.36723;912.36723;912.36723;912.36723;912.36723;912.36723;912.36723;912.36723;912.36723;912.36723;912.36723;912.36723;912.36723;610.25527;912.36723;610.25527;912.36723;914.89221;742.79563;914.89221;616.68624;568.93224;517.08243;690.64125
NonFerrousMetals;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1077.932;1159.5457;1159.5457;1159.5457;1077.3923;1012.139;1017.9192;1000
