IC_Q;Crude_oil;Natural_gas;Crude_coal;Coke;Gasoline;LPG;Jetfuel;Road_diesel;Heating_oil;Other_fuels;Electricity;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Construction;CivilEngineering;ChemicalPharma;Paper;Mining;Automobile;OthTranspEquip;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;Agri_Forestry;Fishing;Property_business;Comp;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;0;11373.271;0;4470.347;20691.073;2666.6777;6733.1873;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45934.556;934.81443;44999.742
Natural_gas;32.92439;0;0.06047;0.1552;789.02111;42.9876;25.15899;362.69213;46.74398;178.56682;565.82059;3313.484;203.09693;181.64879;794.77403;571.52737;329.07959;98.033481;2544.1692;771.77442;48.70083;174.81156;168.58845;145.9448;64.713188;2678.0759;531.95394;62.51626;11.06512;12.16728;164.5895;0.28569;794.25601;5973.4999;9808.8264;0;0;5319.473;36811.186919;774.07221;36037.115
Crude_coal;0;0;170.35896;3689.5118;1.05084;0.00069;0.0004;1.96589;0.25337;10.30131;1606.1307;449.39809;2006.6718;0.04813;148.62527;109.34214;0.12766;0.8210163;364.3759;17.6708;0.00001;0.46017;1.00829;1.2222668;0.5419637;249.95484;4.455038;0;0;0;2.00441;0;0.3938;50.027205;37.27048;0;0;0;8923.9932398;1129.2502;7794.7431
Coke;0;0;0.0000007;0;0.00412;0;0;0.00777;0.001;9.7611;0.00001;0.0000001;1910.1233;0.32517;17.19166;27.62296;100.62028;3.0836528;15.1659;0.00055;0.0000000172;13.78147;2.0017;4.5907081;2.0355597;33.83855;16.732663;0;0;0;0.0164;0;0.15449;187.89703;0.86964;0;0;33.236;2379.0616844172;2012.9343;366.1273
Gasoline;7.68605;4.8307;0.25827;3.28768;0;0;0;0;0;0;5.20186;3.11359;15.94966;9.13283;1.52559;7.01567;0.17857;6.9733887;674.12862;0.00852;9.51079;3.7302;0.34435;10.381452;4.6032255;1.15746;37.839334;552.48678;386.19534;72.15018;18.4779;0.11004;0.16966;424.91133;6030.6;0;0;3333.449;11625.4080402;10422.149;1203.2591
LPG;0.17206;0.11981;0.0004;0.08675;0;0;0;0;0;0;0.56339;0.06222;5.77474;4.1716;2.64424;32.45115;4.73548;6.9667449;391.46316;8.18133;20.44307;14.95279;0.89077;10.371561;4.5988398;105.59009;37.803283;29.12418;4.93632;4.14943;257.95294;0.02577;1.21942;424.5065;952.79548;0;0;1160.218;3486.9715187;1154.9164;2332.0551
Jetfuel;0;0.02729;0.00149;0;0;0;0;0;0;0;0.01735;0.00021;0;0;0;0;0.49309;4.2299811;0.06569;1.04472;0.00004;0;0;6.2972747;2.7922661;0.74975;22.952925;0;0.55249;8433.6521;9.95118;0.12858;1.68739;257.74655;85.00753;0;0;1996.731;10824.1288969;4555.1573;6268.9716
Road_diesel;118.57049;93.79094;4.55841;36.6727;0;0;0;0;0;0;167.91733;216.44988;900.47408;569.91872;53.80927;119.4892;585.19934;94.627456;210.86913;8.32287;280.71383;130.66853;80.56261;140.87417;62.464827;194.42892;513.47201;9336.573;2074.2484;1263.253;2496.0979;115.94755;24.65824;5765.9597;16402.8;0;0;2233.429;44296.821503;23835.742;20461.079
Heating_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31.348421;0;0;0;0;0;46.66915;20.693505;0;170.1043;0;0;0;0;0;0;1910.1616;3673.982;0;0;0;5852.958976;3002.3702;2850.5888
Other_fuels;0;1224.4561;0.0000042;130.88621;0;0;0;0;0;0;232.40357;654.90475;5.67807;3.80497;204.83049;408.62758;0.00194;0.3303254;828.77553;35.19865;2.84192;0.47489;0.5064;0.4917633;0.2180521;119.89565;1.7924272;0;1578.5292;6.32335;18.09789;0.36058;0.03075;20.127802;179.6992;0;0;11527.404;17186.6920642;11583.949;5602.7431
Electricity;25.36197;842.3532;3.49915;0.17811;148.02038;7.88242;4.61328;72.8136;9.38426;37.64632;0;538.28372;161.97061;714.95715;446.71902;261.55197;637.33225;218.13472;2260.6437;603.68861;125.87508;443.14742;154.28197;324.74241;143.99359;2002.5496;1183.653;834.32115;0;0;650.81588;8.08455;372.20374;13291.66;13477.078;0;0;6580.764;46588.20483;45527.221;1060.9843
HeatGeoSol_Th;3.96084;54.09032;0.48184;0.25867;32.71948;1.77035;1.03612;15.36231;1.9799;7.45803;72.26467;193.68226;1.94784;0.96457;1.51032;1.10189;24.01556;13.058235;192.03942;5.83058;2.35329;6.35824;6.51415;19.440109;8.6199125;14.4087;70.857217;0.0000000126;0;0;9.71948;0;26.87308;795.68088;1433.3281;0;0;0;3019.6863635126;3019.6863;0
Steel_Iron;0;1.662104;14.985409;0.3271953;2.2920293;2.4229712;0.2543267;66.887326;4.6427325;7.0028017;16.638268;0.3809478;948.52779;645.20007;15.85138;222.32044;3986.9489;399.04897;214.52195;13.754231;7.9679865;1658.084;454.4437;2019.9775;317.52639;9.1691416;4976.8792;7.6676927;5.4476202;0.373658;10.970348;0;0;1275.7038;137.12319;0;66.700926;19223.587;36735.2919955;18890.096;17845.197
NonFerrousMetals;0;2.5259022;22.773351;0.4972393;3.4832008;3.6821934;0.3865007;101.64878;7.0555685;10.64217;25.285204;0.5789271;6352.4659;980.51166;11.531549;349.94352;1218.022;515.16704;326.00937;20.902328;12.108963;2519.7931;690.61886;2607.7647;409.92245;13.93436;6425.0865;11.652606;8.2787577;0.5678487;16.671657;0;0;7737.5308;235.02657;0;114.50495;12115.379;42871.9535264;24214.075;18657.878
Cement;0;2.115135;0.1706734;0.0158995;0.1113772;0.1177401;0.0123586;3.2502736;0.2256055;0.340289;21.173274;0.4847808;32.884735;7.3483811;908.24474;480.15159;1903.3268;456.22302;77.861145;14.146493;30.62311;96.952198;21.739005;78.781863;60.59591;30.504111;320.18936;12.96497;1.4927956;0.3060408;30.757893;2.3983208;11.647761;139.96489;336.38804;0;0;405.45712;5488.967699;4971.2167;517.75104
OthMin;0;14.511284;1.1709372;0.1090815;0.7641243;0.8077781;0.0847883;22.299118;1.5478095;2.3346171;145.26326;3.3259305;225.61195;50.41496;374.84163;2223.7025;13058.134;1866.0152;534.18113;97.054691;210.09564;665.15891;149.14456;322.22871;247.84565;209.27923;1309.6187;88.948629;10.241607;2.0996506;211.02035;16.454134;79.911669;3497.499;2238.2858;0;0;5315.3874;33195.3944291;22947.835;10247.56
Construction;0.5745591;176.73199;0.8001725;2.7184957;47.655066;6.9240364;11.744916;403.91816;27.957308;30.718773;983.51124;26.870137;121.01943;27.042849;14.41396;100.6894;39953.393;2876.1606;231.38894;69.21692;78.54276;309.9128;538.22497;897.4255;130.6086;198.75772;885.67275;91.622304;131.81805;85.759834;305.90812;9.7390975;4462.1634;15301.564;12240.795;0;217927;0;298708.9648582;298708.97;0
CivilEngineering;11.20373;94.687916;0.4763312;3.8604378;24.866299;4.2127586;0.8609739;184.97731;17.405347;37.344876;1003.7994;59.044405;41.056769;52.628197;5.5251728;25.504974;120.05446;4358.722;102.35696;32.734996;21.596696;22.697879;38.048024;73.619567;28.959242;71.246534;219.94164;106.34381;170.22825;44.976614;2.2742557;0;43.181052;4194.2544;0;0;27808.36;0;39027.051277;39027.051;0
ChemicalPharma;0;209.99343;2.5357375;3.4274178;24.009334;25.380969;2.6641084;700.65429;48.633286;73.355347;2102.1109;48.129686;95.834081;472.50286;38.813524;356.72123;2264.3798;240.50347;18783.344;782.54131;94.439659;923.37358;455.50364;1053.6779;179.05551;1062.7629;9655.5704;38.848283;60.377022;18.545747;5109.2138;251.04801;28.016526;11711.035;24124.673;19544.857;0;86436.495;187023.0277577;91391.43;95631.598
Paper;0;2.1587797;0.0907434;0.1547013;1.0836949;1.1456056;0.1202483;31.625012;2.1951314;3.3109963;21.610173;0.494784;3.4294996;16.908895;24.680081;226.82581;443.04486;94.94822;1260.4714;2951.577;22.20423;108.15163;73.939383;234.70403;133.84899;1486.3003;2784.3944;30.970442;48.236414;1.7897872;140.87665;4.8762575;178.02702;9974.8411;3423.5127;0;0;8626.0918;32358.6407692;18740.442;13618.199
Mining;0;0.1968372;10.960259;0.0351078;0.2459332;0.2599832;0.0272891;7.1769664;0.4981622;0.751396;1.9704119;0.0451143;414.22518;2042.3066;118.34373;1087.6549;1529.4081;243.62441;1069.0722;105.39888;115.31266;33.519388;44.66177;40.221649;16.872488;617.7827;341.71373;1.6988581;1.4548866;4.4869559;104.82549;34.151504;0.8255082;637.63064;38.177601;0;0;852.64249;9518.1797791;5875.0431;3643.1369
Automobile;0;1.5199256;0.151603;0.103389;0.7242483;0.7656241;0.0803636;21.135435;1.4670368;2.2127848;15.215011;0.3483611;2.6844258;13.235363;3.5592502;32.711797;122.50901;11.979953;41.531356;10.24247;6.9001915;7945.4727;189.23296;383.32458;15.059284;48.375229;328.77652;257.46605;68.141867;48.944112;150.28977;1.7849257;10.5421;5139.7196;45839.257;0;20125.202;51340.952;132181.6182965;65261.784;66919.835
OthTranspEquip;0;0.0849287;0.0048961;0.003339;0.0233901;0.0247264;0.0025954;0.6825839;0.047379;0.0714635;0.8501677;0.0194653;3.823834;18.853131;0.260552;2.3946402;6.204982;0.6807161;2.4009592;1.3505993;0;259.36871;29992.591;17.312715;2.0341345;7.4508586;693.65398;15.365989;920.23977;932.58734;0;0;0.7044482;11337.544;3923.0686;124.10058;6623.3838;66811.758;121698.9482742;81008.015;40690.932
OthEquip;0;56.911513;3.9811013;3.648085;23.498467;3.9194876;0.8136139;172.10013;16.193675;34.745115;519.30285;35.488229;343.14604;439.85822;60.205775;277.91832;6688.4501;1615.4581;564.69923;269.31836;321.21062;5250.0428;2617.3089;6667.7313;1750.5442;590.14936;6548.6383;246.08217;59.654867;43.42904;1331.2027;60.337131;69.55235;9569.5224;9250.4575;0;15506.66;35777.308;106789.4880498;58100.511;48688.977
Electronics;0;20.671992;1.1427029;1.2651463;8.1492065;1.3980279;0.2821592;61.385775;5.7760635;12.39311;246.97796;12.890404;98.493841;126.25332;21.743688;100.37192;1652.7613;335.25246;136.48106;87.145191;15.951967;1752.9506;4282.8251;2941.7464;3051.0672;66.178169;1565.2098;18.704475;27.195987;4.9663308;0;0;31.425674;10335.746;16276.264;193.55049;7461.4888;24726.025;75682.1313201;25762.269;49919.862
Food_industry;0;2.7865833;0.3264088;0.2127187;1.4901115;1.5752405;0.1653448;43.485299;3.0183687;4.5527148;27.894717;0.6386742;12.33609;60.822181;4.4381675;40.789612;338.79407;71.891804;1785.6717;231.02605;75.254842;106.01237;2.9094487;85.692399;15.12572;21157.486;2425.3216;17.094048;78.879117;156.47139;4723.1456;51.539058;127.47183;26719.442;86390.131;160.74755;0;29139.032;174063.6718285;134451.07;39612.604
OthManuf;0;56.966592;10.251871;11.471715;73.892935;12.493619;2.5584785;548.58023;51.61838;110.75229;581.97406;35.522575;883.64718;1132.6941;159.9803;738.49156;16175.447;3651.6897;3988.0394;1821.5234;239.4919;9521.2916;5764.9615;7517.4633;2191.7809;4182.2937;35135.287;724.138;172.094;1049.644;1401.5887;86.52529;434.28515;35927.694;90383.994;1957.5966;20679.026;51122.425;298539.1760255;211770.44;86768.73
LandTransp;0;5.2975515;0.248722;0.6798176;4.7621764;5.034236;0.5284176;138.97259;9.6462605;14.549804;53.030426;1.2141784;7.6135471;37.538032;10.03414;92.220191;343.90172;37.992516;278.74997;42.981187;20.303819;53.685529;34.638011;66.041221;46.182953;251.89878;283.0023;17596.752;79.552387;81.663217;97.924658;8.3335299;122.03296;40627.443;28073.374;5233.689;0;2084.0099;95845.522748;92958.646;2886.8761
