Aggregation_type;-;-;-;-;-;AGG_4SecB;AGG_18TME;AGG_19TME;AGG_22TME
Row;Crude_oil;Commodities;EnerSect;HybridCommod;PrimEnerSect;PrimEnergy;Oil;Oil;Oil
Row;Natural_gas;Commodities;EnerSect;HybridCommod;PrimEnerSect;FinEnHRes;Natural_gas;Natural_gas;Natural_gas
Row;Crude_coal;Commodities;EnerSect;HybridCommod;PrimEnerSect;FinEnHRes;Coal_lignite;Coal_lignite;Coal_lignite
Row;Coke;Commodities;EnerSect;HybridCommod;PrimEnerSect;FinEnHRes;Coal_lignite;Coal_lignite;Coal_lignite
Row;Gasoline;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHTr;Oil;Oil;Oil
Row;LPG;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHTr;Oil;Oil;Oil
Row;Jetfuel;Commodities;EnerSect;HybridCommod;PrimEnerSect;FinEnHTr;Oil;Oil;Oil
Row;Road_diesel;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHTr;Oil;Oil;Oil
Row;Heating_oil;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHRes;Oil;Oil;Oil
Row;Other_fuels;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHRes;Oil;Oil;Oil
Row;Electricity;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHRes;Elec_heating;Elec_heating;Elec_heating
Row;HeatGeoSol_Th;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHRes;Elec_heating;Elec_heating;Elec_heating
Row;Steel_Iron;Commodities;NonEnerSect;HybridCommod;-;AllComp;Steel_Iron;Steel_Iron;Steel_Iron
Row;NonFerrousMetals;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;NonFerrousMetals;NonFerrousMetals;NonFerrousMetals
Row;Cement;Commodities;NonEnerSect;HybridCommod;-;AllComp;Cement;Cement;Cement
Row;OthMin;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;OthMin;OthMin;OthMin
Row;Construction;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Construction;Construction;Construction
Row;ChemicalPharma;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;ChemicalPharma;ChemicalPharma;ChemicalPharma
Row;Paper;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Paper;Paper;Paper
Row;Mining;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Compo;Compo;Compo
Row;Automobile;Commodities;NonEnerSect;HybridCommod;-;AllComp;Auto_transport;Auto_transport;Auto_transport
Row;OthTranspEquip;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Auto_transport;Auto_transport;Auto_transport
Row;OthEquip;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Compo;ManufacturedGoods;OthEquip
Row;Electronics;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Compo;ManufacturedGoods;Electronics
Row;Food_industry;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Food_industry;Food_industry;Food_industry
Row;OthManuf;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Compo;ManufacturedGoods;OthManuf
Row;LandTransp;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;LandTransp;LandTransp;LandTransp
Row;NavalTransp;Commodities;NonEnerSect;HybridCommod;-;AllComp;NavalTransp;NavalTransp;NavalTransp
