Households_Gourps;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
GOS_byAgent;0.04748474;0.050086766;0.055215601;0.070718719;0.079271134;0.094210585;0.108295911;0.127575888;0.143579497;0.223561158
NetCompWages_byAgent;0.011057843;0.03078151;0.041572821;0.060028787;0.073716944;0.095076311;0.11188802;0.134773564;0.152364852;0.288739347
Property_income;0.031953534;0.042898061;0.049788607;0.067569444;0.069454569;0.119024421;0.12922947;0.137920302;0.132338297;0.219823295
Unemployment_transfers;0.072388645;0.107540863;0.117323365;0.103985795;0.105966354;0.086576754;0.091957837;0.092686659;0.100650803;0.120922925
Pensions;0.020000267;0.057545678;0.083496531;0.091745714;0.098371382;0.097667161;0.104983195;0.112091714;0.14479833;0.189300028
Other_social_transfers;0.212096341;0.207119101;0.14212029;0.10315289;0.082741773;0.071336201;0.06062821;0.053832456;0.037994159;0.028978579
ClimPolicyCompens;0;0;0;0;0;0;0;0;0;0
Other_Transfers;0.047415353;0.06473866;0.074592354;0.091037253;0.09723429;0.095683177;0.101044919;0.114204583;0.137031194;0.177018217
Income_Tax;0.001411513;0.005112974;0.006891775;0.011835967;0.018865246;0.039661324;0.05993595;0.101404498;0.162541116;0.592339638
Other_Direct_Tax;0.034557036;0.043427613;0.04790429;0.070169706;0.083598947;0.098911731;0.112031993;0.125765707;0.15489533;0.228737647
FC_byAgent;0.060803823;0.066836043;0.073982302;0.083376016;0.089164061;0.098280201;0.106271413;0.11840595;0.131443904;0.171436286
GFCF_byAgent;0.04099381;0.049368091;0.025174263;0.027263125;0.060493496;0.098520695;0.091823474;0.180102794;0.198998423;0.227261828
NetFinancialDebt;0.031953534;0.042898061;0.049788607;0.067569444;0.069454569;0.119024421;0.12922947;0.137920302;0.132338297;0.219823295
