Emissions;Crude_oil;Natural_gas;Coking_coal;Bituminous_coal;Coke;Other_coal;Gasoline;LPG;Jetfuel;Fuel;Fuel_oil;Heavy_fuel_oil;Other_fuel_prod;Electricity;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Buildings_constr;Work_constr;ChemicalPharma;Paper;Mining;Automobile;OthTranspEquip;Load_PipeTransp;PassTransp;NavalTransp;AirTransp;Agri_Forestry;Fishing;Food_industry;Property_business;Comp;C;X
Crude_oil;0;0;0;0;0;0;4.820369767;0.194282304;1.88422281;8.700705497;3.313085905;0.997065198;0.24090816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.170244807
Natural_gas;0.023029723;0;0;0;0.0033774;0.000914177;0.501024989;0.052256544;0.159594404;0.736953134;0.280619662;0.136966677;0.108826745;9.844933016;5.898752691;1.869022502;0.507036303;0.718308375;2.880933955;0.092908312;0.7269967544;1.886653088;2.04789272;0.139993442;0.6769360862;0.4077526808;0.1606465031;0.0419133501;0;0.0033331808;0.492561855;0.002068809;5.567713568;0.7139254553;23.3905165576;33.82068508;6.005851394
Coking_coal;0;0;0;0;10.02426686;2.713316055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.326679068
Bituminous_coal;0;0;0;0;0;0;0;0;0;0;0;0;0;19.30734162;0.043019951;6.297567745;0.003121129;1.195277778;0.408982415;0;0;1.245330384;0.124845151;0;0;0;0;0;0;0;0;0;1.045829146;0;0.545946533;1.622986966;0.048659792
Coke;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.10528697;0;0;0.315891656;0;0.0090442297;0.06556326;0;0;0.0169012605;0.0069391145;0;0;0;0;0;0;0.094095477;0.0009823109;0.1283283254;0;0.366558024
Other_coal;0;0;0;0;1.940514741;0.525248367;0;0;0;0;0;0;0;3.54798673;0;2.619304317;0;0;0;0;0.0059498562;0;0;0;0;0;0;0;0;0;0;0;0;0.0006462251;0.0844223447;0.305818467;0.006242776
Gasoline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.002384119;0.002384119;0.003968136;0.007936272;0.005293465;0.0439837894;0.135305888;0.003955447;0.004247652;0.0063134771;0.0025921109;0.3283420036;0.0856658133;0.0743844614;0.1347052107;0.06055317;0.00781009;0.02221764;0.0047771622;0.6240847304;20.66620107;17.60140798
LPG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016677217;0.025015826;0.023813145;0.042898253;0;0.1116645863;2.093038799;0.038915193;0.036134813;0.0295576292;0.0121354129;0.0108210146;0.0028232483;0.0024514541;0.0044394169;0.739373486;0;0.234740369;0.0121281019;1.5844057299;3.520671521;2.826851526
Jetfuel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0004195277;0;0;0;0;0;0;0;0;9.455035294;0;0;0;4.55656943E-05;0.0059526666;0;14.90414827
Fuel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.073909788;0.073909788;0.123015723;0.246031445;0.164102086;1.3635362831;4.194602208;0.122622344;0.131680982;0.1957233656;0.0803577254;12.1892164534;3.1802179723;2.7614142889;5.0007338454;7.090520382;0.770668906;0.688766485;0.1480962539;19.3471786529;47.06116257;8.27452315
Fuel_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0.38662239;0.004182472;0.038589003;0.038589003;0.128970759;0.063712274;0.085679258;0.7119152464;2.190041666;0.021076214;0.255925461;0.0085380869;0.0035054641;2.5192798215;0.6572907287;0.5707319518;1.033556826;0.980104909;0.126412989;0.111402848;0.0773224612;10.1013457905;18.52910335;0
Heavy_fuel_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;2.660003615;0.001986787;0;0.04268065;0.106354115;0.992636323;0;0.0238355704;0.967393319;0.149376691;0.039121758;0.0025203821;0.0010347879;1.2306425388;0.3210798278;0.2787967466;0.5048819848;0.142262629;0;0.791268844;0.0025888264;0.3382022493;0.611734887;23.83222676
Other_fuel_prod;0;0;0;0;0;0;0;0;0;0;0;0;0;0.301594088;0.505014478;0.032655625;0.436365068;1.634920473;0.047197326;0;0.043719379;7.66460207;0;0;0;0;0;0;0;0;0;0;0.009208543;0.0047484444;0.6203330606;0.851846738;8.025434953
Electricity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HeatGeoSol_Th;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mining;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthTranspEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Load_PipeTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_Forestry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fishing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MtCO2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
