Aggregation_type;-;-;-;-;-;AGG_SNBC2;AGG_MetMin;AGG_IndEner;AGG_MetMinEn;AGG_Ener1;AGG_Ener2;AGG_4Sec;AGG_3Sec;AGG_EnComp
Row;Crude_oil;Commodities;EnerSect;HybridCommod;PrimEnerSect;Crude_oil;Crude_oil;Crude_oil;Crude_oil;Crude_oil;Crude_oil;PrimEnergy;PrimEnergy;AllEnergy
Row;Natural_gas;Commodities;EnerSect;HybridCommod;PrimEnerSect;Natural_gas;Natural_gas;Natural_gas;Natural_gas;Natural_gas;Natural_gas;PrimEnergy;PrimEnergy;AllEnergy
Row;Coking_coal;Commodities;EnerSect;HybridCommod;PrimEnerSect;Coal;Coking_coal;Coal;Coal;Coal;Coal;PrimEnergy;PrimEnergy;AllEnergy
Row;Bituminous_coal;Commodities;EnerSect;HybridCommod;FinEnerSect;Coal;Bituminous_coal;Coal;Coal;Coal;Coal;PrimEnergy;PrimEnergy;AllEnergy
Row;Coke;Commodities;EnerSect;HybridCommod;PrimEnerSect;Coal;Coke;Coal;Coal;Coal;Coal;PrimEnergy;PrimEnergy;AllEnergy
Row;Other_coal;Commodities;EnerSect;HybridCommod;FinEnerSect;Coal;Other_coal;Coal;Coal;Coal;Coal;PrimEnergy;PrimEnergy;AllEnergy
Row;Gasoline;Commodities;EnerSect;HybridCommod;FinEnerSect;AllFuels;Gasoline;FuelProd;FuelProd;Gasoline;FuelProd;FinEnergy;FinEnergy;AllEnergy
Row;LPG;Commodities;EnerSect;HybridCommod;FinEnerSect;AllFuels;LPG;FuelProd;FuelProd;OthFuelProd;FuelProd;FinEnergy;FinEnergy;AllEnergy
Row;Jetfuel;Commodities;EnerSect;HybridCommod;PrimEnerSect;AllFuels;Jetfuel;FuelProd;FuelProd;OthFuelProd;FuelProd;FinEnergy;FinEnergy;AllEnergy
Row;Fuel;Commodities;EnerSect;HybridCommod;FinEnerSect;AllFuels;Fuel;FuelProd;FuelProd;Fuel;FuelProd;FinEnergy;FinEnergy;AllEnergy
Row;Fuel_oil;Commodities;EnerSect;HybridCommod;FinEnerSect;AllFuels;Fuel_oil;FuelProd;FuelProd;OthFuelProd;FuelProd;FinEnergy;FinEnergy;AllEnergy
Row;Heavy_fuel_oil;Commodities;EnerSect;HybridCommod;FinEnerSect;AllFuels;Heavy_fuel_oil;FuelProd;FuelProd;OthFuelProd;FuelProd;FinEnergy;FinEnergy;AllEnergy
Row;Other_fuel_prod;Commodities;EnerSect;HybridCommod;FinEnerSect;AllFuels;Other_fuel_prod;FuelProd;FuelProd;OthFuelProd;FuelProd;FinEnergy;FinEnergy;AllEnergy
Row;Electricity;Commodities;EnerSect;HybridCommod;FinEnerSect;Electricity;Electricity;Electricity;Electricity;Electricity;Electricity;FinEnergy;FinEnergy;AllEnergy
Row;HeatGeoSol_Th;Commodities;EnerSect;HybridCommod;FinEnerSect;HeatGeoSol_Th;HeatGeoSol_Th;HeatGeoSol_Th;HeatGeoSol_Th;HeatGeoSol_Th;HeatGeoSol_Th;FinEnergy;FinEnergy;AllEnergy
Row;Steel_Iron;Commodities;NonEnerSect;HybridCommod;-;Heavy_Industry;Metals;Steel_Iron;Metals;Steel_Iron;Steel_Iron;AllIndus;AllComp;AllComp
Row;NonFerrousMetals;Commodities;NonEnerSect;NonHybridCommod;-;Heavy_Industry;Metals;NonFerrousMetals;Metals;NonFerrousMetals;NonFerrousMetals;AllIndus;AllComp;AllComp
