Variables;Functions ;Data;;Other variables needed for calculation 
;;Initial values (base year data);Exogenous parameters;
Number_People_ref;Calib_VarRef_Const;Population;;
Consumption_Units_ref;Calib_VarRef_Const;Consumption_Units;;
Number_Retired_ref;Calib_VarRef_Const;Number_Retired;;
Labour_force_ref;Calib_VarRef_Const;Labour_force;;
Demo_ratio_change;Demo_ratio_Const_1;Number_Retired;;Number_Retired_ref
;;Labour_force;;Labour_force_ref
Unemployed_ref;Calib_VarRef_Const;Unemployed;;
u;HH_Employment_Const_1;Unemployed;;Labour_force_ref
;;Labour_force;;
u_tot;Unemployment_Const_1;Unemployed;;
;;Labour_force;;
H_disposable_income;H_Income_Const_1;Property_income;;
;;GOS_byAgent;;
;;ClimPolicyCompens;;
;;Other_Transfers;;
;;NetFinancialDebt;;
;;Income_Tax;;
;;Other_Direct_Tax;;
;;Pensions;;
;;Unemployment_transfers;;
;;Other_social_transfers;;
interest_rate;H_PropTranf_Const_1;Property_income;;
;;NetFinancialDebt;;
;Corp_PropTranf_Const_1;Property_income;;
;;Corporations_NetDebt;;
;G_PropTranf_Const_1;Property_income;;
;;NetFinancialDebt;;
Pension_Benefits;Pensions_Const_1;Pensions;;
;;Number_Retired;;
UnemployBenefits;Unemploy_Transf_Const_1;Unemployment_transfers;;
;;Unemployed;;
Other_SocioBenef;OtherSoc_Transf_Const_1;Other_social_transfers;;
;;Population;;
Household_saving_rate;H_Savings_Const_1;H_disposable_income;;Household_savings
Household_savings;H_NetLending_Const_1;NetLending;;
;;GFCF_byAgent;;
H_Invest_propensity;H_Investment_Const_1;GFCF_byAgent;;H_disposable_income
Consumption_budget;ConsumBudget_Const_1;;;H_disposable_income
;;;;Household_saving_rate
Budget_Shares;BudgetShares_Const_1;C_value;;Consumption_budget
C;ConsumExpend_Const_1;C_value;;pC
pC;pC_price_Const_1;Emission_Coef_C;;p
;;pC_NonHybrid;;Transp_margins_rates
;;SpeMarg_rates_C;;Trade_margins_rates
;;;;Energy_Tax_rate_FC
;;;;OtherIndirTax_rate
;;;;Carbon_Tax_rate_C
;;;;VA_Tax_rate
p;Mean_price_Val_1;Y_Hybrid;pY_Hybrid;Y_NonHybrid
;;M_Hybrid;pY_NonHybrid;M_NonHybrid
;;;;
;;pM_NonHybrid;;pM_Hybrid
Y;Y_value_Const_1;;pY_NonHybrid;
;;Y_Hybrid;pY_Hybrid;
;;Y_value;A calculer ;
M;M_value_Const_1;M_Hybrid;pM_NonHybrid;
;;M_value;pM_Hybrid;
;;;;
Transp_margins_rates;Transp_margins_Const_1;Transp_margins;;
;;;;p
;;;;alpha
;;;;Y
;;;;C
;;;;G
;;;;I
;;;;X
alpha;IC_Const_1;IC_Hybrid;;IC_NonHybrid
;;Y_Hybrid;;Y_NonHybrid
G;G_value_Const_1;G_value;;pG
I;I_value_constraint_1;I_value;;pI
Trade_margins_rates;Trade_margins_Const_1;Trade_margins;;p
;;;;alpha
;;;;Y_NonHybrid
;;;;C_NonHybrid
;;;;G
;;;;I
;;;;X_NonHybrid
IC;IC_value_Const_1;IC_value;;pIC_NonHybrid
;;IC_Hybrid;;pIC_Hybrid
pIC;pIC_price_Const_1;;Emission_Coef_IC;p
;;;;Transp_margins_rates
;;;;Trade_margins_rates
;;;;Energy_Tax_rate_IC
;;;;OtherIndirTax_rate
