Variables;Functions 
Population;Total_Population_Const_1
Consumption_Units;Consump_Units_const_1
Retired;Retired_Const_1
Labour_force;Demo_ratio_Const_1
H_disposable_income;H_Income_Const_1
Pensions;Pensions_Const_1
Unemployment_transfers;Unemploy_Transf_Const_1
Other_social_transfers;OtherSoc_Transf_Const_1
Property_income;H_PropTranf_Const_1
;Corp_PropTranf_Const_1
;G_PropTranf_Const_1
;RoW_PropTranf_Const_2
Household_savings;H_Savings_Const_1
Corporations_savings;Corp_savings_Const_1
Government_savings;G_savings_Const_1
GFCF_byAgent;H_Investment_Const_1
;Corp_investment_Const_1
;G_investment_Const_1
NetLending;H_NetLending_Const_1
;Corp_NetLending_Const_1
;G_NetLending_Const_1
;RoW_NetLending_Const_1
NetFinancialDebt;H_NetDebt_Const_1
;Corp_NetDebt_Const_1
;G_NetDebt_Const_1
;RoW_NetDebt_Const_1
Consumption_budget;ConsumBudget_Const_1
C;H_demand_Const_1
Corp_disposable_income;Corp_income_Const_1
G_disposable_income;G_income_Const_1
Income_Tax;Income_Tax_Const_1
Other_Direct_Tax;Other_Direct_Tax_Const_1
Corporate_Tax;Corporate_Tax_Const_1
Production_Tax;Production_Tax_Const_1
Labour_Tax;Labour_Tax_Const_1
Energy_Tax_IC;Energy_Tax_IC_Const_1
Energy_Tax_FC;Energy_Tax_FC_Const_1
OtherIndirTax;OtherIndirTax_Const_1
VA_Tax;VA_Tax_Const_1
Carbon_Tax_IC;Carbon_Tax_IC_Const_1
Carbon_Tax_C;Carbon_Tax_C_Const_1
Pension_Benefits;Pension_Benefits_Const_1
UnemployBenefits;UnemployBenefits_Const_1
Other_SocioBenef;Other_SocioBenef_Const_1
Carbon_Tax_rate_IC;CTax_rate_IC_Const_1
Carbon_Tax_rate_C;CTax_rate_C_Const_1
ClimPolicyCompens;ClimCompensat_Const_1
ClimPolCompensbySect;S_ClimCompensat_Const_1
Labour_Tax_Cut;RevenueRecycling_Const_1
Labour_Tax_rate;Labour_Taxe_rate_Const_1
G_Consumption_budget;G_ConsumpBudget_Const_1
G;G_demand_Const_1
Government_closure;Public_finance_Const_1
Income_Tax_rate;G_closure_Const_1
Other_Direct_Tax_param;
Pension_Benefits_param;
UnemployBenefits_param;
Other_SocioBenef_param;
Corporate_Tax_rate;
Production_Tax_rate;
LabTaxRate_BeforeCut;
BudgetShare_Gconsump;
Energy_Tax_rate_IC;
Energy_Tax_rate_FC;
Carbon_Tax_rate;
G_ConsumpToGDP_ratio;
G_invest_propensity;
Phi;TechnicProgress_Const_1
Theta;DecreasingReturn_Const_1
alpha;Technical_Coef_Val_1
lambda;
kappa;
pY;Production_price_Const_1
markup_rate;Markup_Const_1
Transp_margins_rates;Transp_MargRates_Const_1
Transp_margins;Transp_margins_Const_1
Trade_margins_rates;Trade_MargRates_Const_1
Trade_margins;Trade_margins_Const_1
SpeMarg_rates_IC;SpeMarg_rates_Const_1
SpeMarg_rates_C;
SpeMarg_rates_X;
SpeMarg_rates_I;
SpeMarg_IC;SpeMarg_Const_1
SpeMarg_C;
SpeMarg_X;
SpeMarg_I;
I;Invest_demand_Const_1
pK;Capital_Cost_Const_1
Y;MarketBalance_Const_1
IC;IC_Const_1
M;Imports_Const_1
X;Exports_Const_1
delta_M_parameter;MarketClosure_Const_1
delta_X_parameter;
Capital_consumption;Capital_Consump_Const_1
pM;Import_price_Const_1
p;Mean_price_Val_1
pIC;pIC_price_Const_1
pC;pC_price_Const_1
pG;pG_price_Const_1
pI;pI_price_Const_1
CPI;CPI_Const_1
pX;pX_price_Const_1
Labour;Employment_Const_1
u_tot;LabourByWorker_Const_1
w;Mean_wage_Const_1
NetWage_variation;Wage_Variation_Const_1
u;HH_Unemployment_Const_1
Unemployed;HH_Employment_Const_1
pL;Labour_Cost_Const_1
delta_interest_rate;MacroClosure_Const_1
interest_rate;Interest_rate_Const_1
GDP;GDP_Const_1
GrossOpSurplus;GrossOpSurplus_Const_1
Labour_income;Labour_income_Const_1
Profit_margin;Profit_income_Const_1
Capital_income;Capital_income_Const_1
Other_Transfers;TotalOtherTransf_Const_1
Distribution_Shares;DistributShares_Const_1
NetCompWages_byAgent;IncomeDistrib_Const_1
GOS_byAgent;
Other_Transfers;
