IC prices CO2,Crude,Natur,Coal ,FuelP,Elect,HeatG,Steel,NonFe,Cemen,OthMi,OthIn,Agric,Compo,C,G,I,X,
Crude,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Natur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Coal ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FuelP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Elect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HeatG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NonFe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OthMi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OthIn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Agric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Compo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,
w,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,,,,,
pL,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,,,,,
pK,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
pY,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
pM,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
p,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,,,,,,,,,,,
Units,0.01 €/tep, €/tons,,,,,,,,,,,,,,,,,
