IC_value,Crude,Natur,Coal ,FuelP,Elect,HeatG,Steel,NonFe,Cemen,OthMi,OthIn,Agric,Compo,C,G,I,X,Uses,
Crude,0,0,0,29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2,
Natur,0,0,0,0.3,1.4,0.8,0.3,0.1,0.1,0.4,1.8,0.1,4.3,10.4,0,0,0.5,20.5,
Coal ,0,0,0.9,0,0.8,0,1.4,0,0.1,0,0.1,0,0,0.1,0,0,0.1,3.5,
FuelP,0,0,0,0,0.5,0.1,0,0.1,0.4,0.3,17,2.4,11.3,41.9,0,0,13.8,87.8,
Elect,0,0,0,0.2,0,0.1,0.4,0.3,0.2,0.2,3.4,0.3,12.8,19.7,0,0,2.2,39.8,
HeatG,0,0,0,0,0,0,0,0,0,0,0.2,0,1.4,0.1,0,0,0,1.7,
Steel,0,0,0,0,0,0,0.9,0.6,0,0.2,2.4,0,11.3,0.2,0,0.1,12.5,28.2,
NonFe,0,0,0,0.1,0,0,5.7,1,0,0.3,3.6,0,16.9,0.3,0,0.1,7.8,35.8,
Cemen,0,0,0,0,0,0,0,0,0.9,0.5,0.5,0,2.4,0.4,0,0,0.3,5,
OthMi,0,0,0,0,0.2,0,0.3,0.1,0.4,2.7,4.3,0.3,20.1,3.6,0,0,4.5,36.4,
OthIn,0,0.7,0,0.6,2.6,0.1,0.6,3.1,0.2,2,118,13.8,122,249,29.1,70.2,204.4,816.2,
Agric,0,0,0,0,0,0,0,0,0,0,35,13.8,5.6,32.4,0,1.3,13.4,101.4,
Compo,0.2,2.4,0.1,4,8.4,0.2,2.5,12.7,0.7,6.8,183.8,10.4,1053.2,733.3,492.6,305,200.6,3016.9,
Labour_income,0,1.3,0,0.3,4.4,0.1,1.3,1.3,0.2,3,62.5,11.3,654.7,,,,,,
Labour_Tax,0,0.6,0,0.1,1.9,0,0.6,0.6,0.1,1.3,27.5,5,287.6,,,,,,
Capital_income,0.1,1.3,0,0.2,4.7,0.1,0.6,0.7,0.2,0.6,27.2,11.1,222.6,,,,,,
Production_Tax,0,0.3,0,0.2,1,0,0.2,0.4,0.2,0.2,5.8,-6.4,55.5,,,,,,
Profit_margin,0.1,1.2,0,0.6,4.3,0.1,0.4,0.2,0.1,0.9,6.6,5.9,328.3,,,,,,
M_value,28.8,9.8,2.2,16.1,1,0,11,12.4,0.3,6.4,170.1,9.6,245.2,,,,,,
Trade_margins,0,0,0.2,5.4,0,0,1.4,1.7,0.8,8.4,135.9,21.7,-175.4,,,,,,
Transp_margins,0,0.3,0,1,0.9,0,0.4,0.5,0.1,1.6,-16.1,1.8,9.3,,,,,,
SpeMarg_Crude_oil,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_Natural_gas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_Coal,0,0,0.1,0,0,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_FuelProd,0,-0.1,0,0,-0.1,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_Electricty,0,-0.5,-0.4,-0.4,0,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_HeatGeoSol_Th,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_Steel_Iron,0,-0.1,0.4,0,-0.2,0,-5,0,0,0,0,0,0,,,,,,
SpeMarg_NonFerrousMetals,0,0,0,0,-0.2,0,0.2,0,0,0,0,0,0,,,,,,
SpeMarg_Cement,0,0,0,-0.1,-0.1,0,0,0,-1.2,0,0,0,0,,,,,,
SpeMarg_OthMin,0,-0.1,0,-0.1,-0.1,0,0.1,0,0.1,0,0,0,0,,,,,,
SpeMarg_OthIndus,0,-0.3,0,0.8,-1.5,0,0.8,0,0.1,0,0,0,0,,,,,,
SpeMarg_Agriculture,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_Composite,0,-0.3,0,1.8,1.1,0,3.7,0,0.7,0,0,0,0,,,,,,
SpeMarg_C,0,2.3,0,0.3,2.2,0,0,0,0.1,0,0,0,0,,,,,,
SpeMarg_G,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_I,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_X,0,-0.6,0,-2,-1.1,0,0.1,0,0.1,0,0,0,0,,,,,,
VA_Tax,0,2,0,5.9,6.8,0,0,0,0,0.7,32,1.8,86.3,,,,,,
Energy_Tax_IC,0,0.3,0,6.9,0,0,0,0,0,0,0,0,0,,,,,,
Energy_Tax_FC,0,0,0,16.4,0,0,0,0,0,0,0,0,0,,,,,,
ClimPolCompensbySect,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
OtherIndirTax,0,0.2,0,0.5,0.8,0,0,0,0,0,-5.2,-1.3,41.5,,,,,,
Carbon_Tax,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Supply,29.2,20.5,3.5,87.8,39.8,1.7,28.2,35.8,5,36.4,816.2,101.4,3016.9,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Units,1000000k€,,,,,,,,,,,,,,,,,,
