IC_value,Crude,Natur,Coal ,FuelP,Elect,HeatG,Steel,NonFe,Cemen,OthMi,OthIn,Agric,Compo,C,G,I,X,Uses,
Crude,0,0,0,40.9,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,
Natur,0,0,0,0.4,1.9,1.2,0.4,0.1,0.1,0.6,2.5,0.1,6,14.6,0,0,0.7,28.6,
Coal ,0,0,1.2,0,1.1,0,2,0,0.1,0.1,0.2,0,0.1,0.2,0,0,0.1,4.9,
FuelP,0,0,0,0,0.7,0.1,0.1,0.2,0.6,0.4,23.8,3.3,15.8,58.7,0,0,19.4,122.9,
Elect,0,0,0,0.2,0,0.1,0.6,0.4,0.2,0.3,4.8,0.4,17.9,27.6,0,0,3.1,55.7,
HeatG,0,0,0,0,0,0,0,0,0,0,0.3,0,2,0.1,0,0,0,2.3,
Steel,0,0,0,0,0,0,1.2,0.9,0,0.3,3.3,0,15.8,0.2,0,0.1,17.5,39.5,
NonFe,0,0,0,0.1,0,0,8,1.3,0,0.4,5,0,23.7,0.4,0,0.1,10.9,50.1,
Cemen,0,0,0,0,0,0,0,0,1.2,0.7,0.7,0,3.3,0.6,0,0,0.4,7,
OthMi,0,0.1,0,0,0.2,0,0.4,0.1,0.6,3.7,6,0.4,28.2,5,0,0,6.3,51,
OthIn,0,1,0,0.8,3.6,0.1,0.8,4.3,0.3,2.8,165.1,19.3,170.7,348.4,40.7,98.3,286.1,1142.2,
Agric,0,0,0,0,0,0,0,0,0,0,48.9,19.3,7.8,45.3,0,1.9,18.7,142,
Compo,0.3,3.3,0.2,5.6,11.7,0.2,3.5,17.8,1,9.5,257.2,14.6,1473.9,1026.2,689.3,426.8,280.7,4222,
Labour_income,0,1.8,0,0.4,6.2,0.1,1.9,1.8,0.3,4.2,87.5,15.9,916.2,,,,,,
Labour_Tax,0,0.8,0,0.2,2.7,0.1,0.8,0.8,0.1,1.8,38.4,7,402.5,,,,,,
Capital_income,0.2,1.9,0,0.3,6.6,0.1,0.9,1,0.3,0.9,38,15.5,311.5,,,,,,
Production_Tax,0,0.4,0,0.2,1.4,0,0.3,0.5,0.3,0.3,8.1,-9,77.6,,,,,,
Profit_margin,0.1,1.7,0,0.9,6.1,0.1,0.6,0.3,0.1,1.3,9.3,8.2,459.4,,,,,,
M_value,40.2,13.7,3,22.5,1.4,0,15.4,17.4,0.4,8.9,238,13.4,343.1,,,,,,
Trade_margins,0,0,0.3,7.5,0,0,2,2.3,1.1,11.7,190.1,30.4,-245.4,,,,,,
Transp_margins,0,0.4,0,1.4,1.3,0,0.6,0.7,0.2,2.3,-22.5,2.5,13,,,,,,
SpeMarg_Crude_oil,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_Natural_gas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_Coal,0,0,0.1,0,0,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_FuelProd,0,-0.1,0,0,-0.1,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_Electricty,0,-0.6,-0.6,-0.5,0,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_HeatGeoSol_Th,0,-0.4,0,-0.1,-0.1,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_Steel_Iron,0,-0.1,0.5,0,-0.3,0,-7,0,0,0,0,0,0,,,,,,
SpeMarg_NonFerrousMetals,0,0,0,0,-0.2,0,0.3,0,0,0,0,0,0,,,,,,
SpeMarg_Cement,0,0,0,-0.2,-0.1,0,0,0,-1.7,0,0,0,0,,,,,,
SpeMarg_OthMin,0,-0.2,0,-0.1,-0.2,0,0.1,0,0.2,0,0,0,0,,,,,,
SpeMarg_OthIndus,0,-0.4,0,1.1,-2.1,0,1.1,0,0.2,0,0,0,0,,,,,,
SpeMarg_Agriculture,0,0,0,-0.4,0,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_Composite,0,-0.5,0,2.6,1.6,0,5.2,0,1,0,0,0,0,,,,,,
SpeMarg_C,0,3.2,0,0.4,3.1,0,0,0,0.1,0,0,0,0,,,,,,
SpeMarg_G,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_I,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_X,0,-0.8,0,-2.7,-1.5,0,0.2,0,0.1,0,0,0,0,,,,,,
VA_Tax,0,2.8,0,8.2,9.5,0,0.1,0,0.1,0.9,44.8,2.5,120.8,,,,,,
Energy_Tax_IC,0,0.4,0,9.7,0,0,0,0,0,0,0,0,0,,,,,,
Energy_Tax_FC,0,0,0,22.9,0,0,0,0,0,0,0,0,0,,,,,,
ClimPolCompensbySect,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
OtherIndirTax,0,0.3,0,0.6,1.1,0,0,0,0,0.1,-7.3,-1.9,58.1,,,,,,
Carbon_Tax,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Supply,40.9,28.6,4.9,122.9,55.7,2.3,39.5,50.1,7,51,1142.2,142,4222,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Units,1000000k€,,,,,,,,,,,,,,,,,,
