Emission CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;CO2Emis_C;CO2Emis_X
Crude;0;0;0;20.2;0;0;0;0;0;0;0;0;0;0;0;0;0.2
Natur;0;0;0;2;9.8;5.9;10;0.1;0.7;0.7;0.2;0;6.1;0.7;23.8;33.8;6
Coal ;0;0;15.2;0;22.9;0;24.4;0;0;0;0;0;1.1;0;0.8;1.9;0.7
AllFu;0;0;0;0;3.3;0.5;22.3;0.3;2.3;0.2;16.3;4.2;11.8;0.2;52.5;91.2;75.5
Elect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HeatG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heavy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Build;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Autom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Load_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prope;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthSe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2Emis_Sec;0;0;15.2;22.1;36;6.5;56.7;0.3;3;0.9;16.4;4.3;19;1;77.1;;
Tot_CO2Emis_IC;258.6;;;;;;;;;;;;;;;;
Tot_CO2Emis_C;127;;;;;;;;;;;;;;;;
DOM_CO2;385.6;;;;;;;;;;;;;;;;
Units;1 MtCO2;;;;;;;;;;;;;;;;
