Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;17.073837;5.2153061;-0.9181090;-31.15035;-0.9402624;-16.268083;-3.4820181;0.1510033;0.0715276;-0.2744418;11.67908;1.2130969;-0.4536932;1.4794459;0.0799446
Real Households consumption_Households;Nan;-21.381205;-93.930731;-0.8942899;-0.1807171;1175.5117;8.4401491;Nan;6.0009678;6.2461841;-14.655405;4.7389789;6.4845779;4.5305306;5.8427121
Exports in volume;46.975264;52.237824;-41.844907;-34.528683;39.731279;Nan;3.3652976;Nan;Nan;0.5408408;0;Nan;0.4709296;Nan;-0.3060339
Imports in volume;-10.587548;-10.568073;-34.732519;-19.550552;55.771393;-100;1.5378011;-46.167979;-46.560433;4.1180712;1.8014231;4.7389789;4.4826864;-47.688208;4.9106862
Trade balance ;-51.298065;-44.816576;-39.035723;-13.047553;-22.700026;Nan;-15.44557;Nan;Nan;37.618696;-12.847795;4.7389789;-80.685875;Nan;131.71356
Energy Cost share variation;251.68335;381.60196;-0.1983749;-8.1707425;-46.899821;-9.4014853;-42.569157;-40.454729;-34.65434;-53.978111;66.640459;-24.186435;-23.508904;-46.681504;-52.97406
 Energy/Labour cost variation;307.64329;401.69042;-2.0959768;-37.403298;-47.921101;-24.892942;-45.083031;-40.940291;-35.239881;-54.543598;84.134172;-24.078331;-24.444568;-46.409346;-53.39919
Labour;-58.78921;-96.343813;-3.4144035;-19.416418;10.464612;45.029913;8.1058646;7.8137378;7.0297992;4.731997;2.0384565;4.982852;5.3748486;4.758352;4.9335843
Unitary Labour Cost variation;1.0023226;1.0023226;1.0023226;1.0023226;1.0023226;1.0023226;0.9361801;0.9743992;0.9763430;0.9661643;1.0689808;1.0689808;0.7790700;0.9640868;0.9929542
Net nominal wages;0.8341994;0.8341994;0.8341994;0.8341994;0.8341994;0.8341994;0.8341994;0.8341994;0.8341994;0.8341994;0.8341994;0.8341994;0.8341994;0.8341994;0.8341994
Net real wages (Consumer Price Index);1.7789813;1.7789813;1.7789813;1.7789813;1.7789813;1.7789813;1.7789813;1.7789813;1.7789813;1.7789813;1.7789813;1.7789813;1.7789813;1.7789813;1.7789813
Purchasing power of wages_Households;1.8138372;2.7057381;1.0000569;1.2295986;1.0017771;1.2016173;1.0308112;1.0068286;1.0076248;1.0099558;0.8112693;0.9956286;1.0122219;0.9936471;1.0061204
Carbon Taxe rate;0 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;No recycling revenues;;;;;;;;;;;;;;
