IC_value;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;Uses;
Crude;0;0;0;-51.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.3;-51.3;
Natur;-97.8;0;-94.7;-87.7;-71.7;-79.1;-42.1;-65.2;-64.9;-76;-74.9;-46.1;-57.3;-73.3;-69.3;-70.7;0;0;-44.2;-67.7;
Coal ;0;0;-5.9;0;-38.7; 1675.9;-33;0;-9.6;-38.2;0;0; 90.3;-31.3;-33.8;-93.9;0;0;-41.4;-27.2;
AllFu;0;0;0;0; 37.8; 73;-80.6;-34.4;-34.4;-55.7; 105.8;-47.6;-31.6;-50.1;-84.3;-18.7;0;0;-56.3;-33.3;
Elect; 103.8;-81.5; 390.5; 416;0; 625.5; 18.3;-9.8;-9.8;-38.3;-83.4; 294; 47.5;-31.4;-1.5; 0.5;0;0; 40.7;7.3;
HeatG;0;0;0;0;0;0;%i*50210864;0;-24.8;0;0;0;-46.2;-42.8;-51.5; 970.4;0;0;0;26.1;
Heavy;0;-96.2;-5.7;-21.3; 14.6; 41.6; 5.7; 5.4; 4.6; 2.4;-0.3; 2.6; 3.6; 2.5; 2.6; 6.1; 5.6; 5.3; 1.1;3.3;
Build;0;0;0;0;0;0;0; 7.8;0;0;0;0;0; 4.8;0;0;0; 7.8;0;7.8;
Work_;-58.8;-96.1;-3.5;-19.5; 17.2; 44.9; 8; 7.7; 7; 4.7; 2; 4.9; 5.5; 4.7; 4.9; 6.1;0; 7.7;0;7;
Autom;0;-96.1;-3.7;-19.7; 16.9; 44.6; 7.8; 7.5; 6.7; 4.4; 1.7; 4.7; 5.3; 4.5; 4.6; 6.1;0; 7.5; 0.4;4.4;
Load_;0;-95.2; 19.8;0; 45.6; 80; 32.9; 32.9; 31.9; 29; 25.9; 29.5; 25.6; 28.4; 29.5; 6.1; 5.6;0; 20.9;25.8;
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 6.1;0;0;0;6.1;
Agri_;0;-96.1;-3.9;-19.9; 16.7; 44.2; 7.6; 7.3; 6.5; 4.2; 1.5; 4.4; 5.1; 4.3; 4.4; 6.1; 5.6; 7.3; 0.1;4.9;
Prope;0;-96.1;-2.1;-18.4; 18.9; 46.9; 9.5; 9.2; 8.4; 6.1; 3.4; 6.3; 6.6; 6.1; 6.3; 6.1; 5.6; 9.3;0;6.2;
OthSe;-58.8;-96.1;-3.4;-19.4; 17.4; 45.1; 8.2; 7.9; 7.1; 4.8; 2.1; 5.1; 5.6; 4.9; 5; 6.1; 5.6; 7.9;-0.1;5.1;
Labour_income;-58.4;-96.3;-2.6;-18.7; 11.4; 46.2; 9; 8.7; 7.9; 5.6; 2.9; 5.9; 6.3; 5.6; 5.8;;;;;;
Labour_Tax;-58.4;-96.3;-2.6;-18.7; 11.4; 46.2; 9; 8.7; 7.9; 5.6; 2.9; 5.9; 6.3; 5.6; 5.8;;;;;;
Capital_income;-57.5;-96.1;-0.5;-17; 17.3; 49.5; 11.4; 11.1; 10.3; 8; 5.2; 8.2; 8.8; 8; 8.2;;;;;;
Production_Tax;-51.8;-96.2;-4.5;-44.6; 9.2; 21.2; 4.2; 7.8; 7; 4.3; 13.7; 6; 5; 6.2; 4.9;;;;;;
Profit_margin;-51.8;-96.2;-4.5;-44.6; 9.2; 21.2; 4.2; 7.8; 7; 4.3; 13.7; 6; 5; 6.2; 4.9;;;;;;
M_value;-51.3;-44.8;-39.1;-50.2; 115.5;0; 1.5;0;0; 4.1; 1.8; 4.7; 4.5;0; 4.9;;;;;;
Trade_margins;-51.3;0;-27.3;-46.4;0;0; 3.2;0;0; 4.2;0;0; 4.9;0; 2.5;;;;;;
Transp_margins;-51.3;-67.7;-27.3;-46.4; 12.7; 21.2; 3.2;0;0; 4.2; 2;0; 4.9;0; 4.9;;;;;;
SpeMarg_Crude_oil;0;-98;0;0; 103.9;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Natural_gas;0;0;0;0;-81.5;0;0;0;0;-96.1;-95.7;0;0;-96.1;0;;;;;;
SpeMarg_Coal;0;-95.1;-5.9;0; 390.6;0;0;0;0;-3.7; 7.4;0;0;-2.1;0;;;;;;
SpeMarg_AllFuels;-51.3;-88.7;0;0; 416.1;0;0;0;0;-19.7;-10.4;0;0;-18.4;0;;;;;;
SpeMarg_Electricity;0;-74;-38.7; 13.6;0;0;0;0;0; 17; 30.5;0;0; 18.9;0;;;;;;
SpeMarg_HeatGeoSol_Th;0;-80.8; 1676; 46.8; 625.7;0;0;0;0; 44.6; 61.3;0;0; 46.9;0;;;;;;
SpeMarg_Heavy_Industry;0;-46.7;-33;-82.8; 18.3;0;0;0;0; 7.8; 19.1;0;0; 9.5;0;;;;;;
SpeMarg_Buildings_constr;0;-67.2;0;-40.3;-9.8;0;0;0;0; 7.5; 19.1;0;0; 9.2;0;;;;;;
SpeMarg_Work_constr;0;-67.2;-9.6;-40.3;-9.8;-25;0;0;0; 6.7; 18.2;0;0; 8.4;0;;;;;;
SpeMarg_Automobile;0;-77.5;-38.2;-59.1;-38.3;0;0;0;0; 4.4; 15.6;0;0; 6.1;0;;;;;;
SpeMarg_Load_PipeTransp;0;-76.6;0; 87.7;-83.4;0;0;0;0; 1.7;0;0;0; 3.4;0;;;;;;
SpeMarg_PassTransp;0;-49.6;0;-52.2; 294.1;0;0;0;0; 4.7;0;0;0;0;0;;;;;;
SpeMarg_Agri_Food_industry;0;-60.1; 90.3;-39.5; 47.5;-46.3;0;0;0; 5.3; 12.5;0;0; 6.6;0;;;;;;
SpeMarg_Property_business;0;-75;-31.3;-54.6;-31.4;-42.9;0;0;0; 4.5; 15;0;0;-100;0;;;;;;
