IC_Q;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;FC_Q;C;G;I;X
Crude;0;0;0;-12.4;0;0;0;0;0;0;0;0;0;0;0;Crude;0;0;0; 47
Natur;-94.4;0;-86.6;-69.2;-28.9;-47.6; 45.4;-10.4;-10.4;-38.7;-36.1; 37.5; 9;-31.9;-21.8;Natur;-21.4;0;0; 52.2
Coal ;0;0;-6.7;0;-39.2; 1661.3;-33.5;0;-10.4;-38.7;0;0; 88.7;-31.9;-34.4;Coal ;-93.9;0;0;-41.8
AllFu;0;0;0;0; 70.3; 120.1;-74.2;-10.4;-10.4;-38.7; 181.6;-28.4;-9.2;-31.9;-78.7;AllFu;-0.9;0;0;-34.5
Elect; 102.5;-81.6; 387.4; 412.7;0; 620.9; 17.5;-10.4;-10.4;-38.7;-83.5; 291.5; 46.6;-31.9;-2.1;Elect;-0.2;0;0; 39.7
HeatG;0;0;0;0;0;0;%i*87786.9;0;-10.4;0;0;0;-35.8;-31.9;-42.1;HeatG; 1175.5;0;0;0
Heavy;0;-96.1;-3.6;-19.6; 17.1; 44.8; 8.1; 7.8; 7; 4.7; 2; 4.9; 5.9; 4.8; 4.8;Heavy; 8.4; 7.9; 7.7; 3.4
Build;0;0;0;0;0;0;0; 7.7;0;0;0;0;0; 4.6;0;Build;0;0; 7.7;0
Work_;-58.9;-96.1;-3.6;-19.6; 17.1; 44.8; 8; 7.7; 6.9; 4.6; 1.9; 4.8; 5.4; 4.6; 4.8;Work_; 6;0; 7.7;0
Autom;0;-96.1;-3.6;-19.6; 17.1; 44.8; 8; 7.7; 6.9; 4.6; 1.9; 4.8; 5.5; 4.7; 4.8;Autom; 6.2;0; 7.7; 0.5
Load_;0;-96.1;-3.6;-19.6; 17.1; 44.8; 7; 6.9; 6.1; 3.8; 1.3; 4.2; 1; 3.3; 4.2;Load_;-14.7;-15.1;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PassT; 4.7;0;0;0
Agri_;0;-96.1;-3.6;-19.6; 17.1; 44.8; 8; 7.7; 6.9; 4.6; 1.9; 4.8; 5.5; 4.7; 4.8;Agri_; 6.5; 6; 7.7; 0.5
Prope;0;-96.1;-3.6;-19.6; 17.1; 44.8; 7.9; 7.6; 6.8; 4.5; 1.9; 4.8; 5.1; 4.6; 4.7;Prope; 4.5; 4; 7.7;0
OthSe;-58.9;-96.1;-3.6;-19.6; 17.1; 44.8; 8; 7.7; 6.9; 4.6; 1.9; 4.8; 5.4; 4.6; 4.8;OthSe; 5.8; 5.3; 7.7;-0.3
OthQ;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;;;;;
Y;-58.9;-96.3;-3.6;-19.6;10.3;44.8;8;7.7;6.9;4.6;1.8;4.7;5.4;4.6;4.8;;;;;
M;-10.6;-10.6;-34.7;-19.6;55.8;-100;1.5;-46.2;-46.6;4.1;1.8;4.7;4.5;-47.7;4.9;;;;;
Labour;-58.8;-96.3;-3.4;-19.4;10.5;45;8.1;7.8;7;4.7;2;5;5.4;4.8;4.9;;;;;
Capital_consumption;-57.6;-96.1;-0.6;-17.1;17.1;49.2;11.3;11;10.1;7.8;5;8;8.6;7.8;8;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 ktoe / ktons;;;;;;;;;;;;;;;;;;;
