CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;17.931505;-58.857807;-45.500125;-10.587548;Nan;Nan;Nan;46.975264;11.4495;0.4900438;0.0625370
Natural_gas;10.031768;-96.349899;-38.26087;-10.568073;-21.381205;Nan;Nan;52.237824;0.4743466;1275.6348;74.33961
Coal;-0.8208672;-3.5751748;-6.6808264;-34.732519;-93.930731;Nan;Nan;-41.844907;-0.1451138;-36.368157;-16.512649
AllFuels;-31.024326;-19.550554;-38.154927;-19.550552;-0.8942899;Nan;Nan;-34.528683;-6.7527906;-15.371655;-13.241944
Electricity;3.348436;10.280738;38.371117;55.771393;-0.1807171;Nan;Nan;39.731279;-4.2973335;47.50467;87.324091
HeatGeoSol_Th;-14.858988;44.788504;38.371117;-100;1175.5117;Nan;Nan;Nan;-5.4118081;Nan;Nan
Heavy_Industry;-3.3451999;7.8765314;0;1.6751812;8.3203189;7.8942608;7.7694454;3.2264769;-2.7855667;-2.7858439;-2.9038228
Buildings_constr;0.1917031;7.7692598;0;-46.11537;Nan;Nan;7.7694454;Nan;-0.1159546;Nan;Nan
Work_constr;0.1129350;6.9904087;0;-46.504796;5.9349997;Nan;7.7694454;Nan;-0.2378930;Nan;Nan
Automobile;-0.2214161;4.5007649;0;4.1161754;6.1908963;Nan;7.7694454;0.4358848;-0.3944265;-1.8765774;-2.3547791
Load_PipeTransp;11.708778;1.8043619;0;1.8043619;-14.594257;-14.930185;Nan;0;6.2903012;-5.4273201;-10.178124
PassTransp;1.3533028;4.5645229;0;4.5645229;4.5645229;Nan;Nan;Nan;-2.1593992;-1.335233;-1.3018285
Agri_Food_industry;-0.3653174;5.3099717;0;4.5457342;6.3823002;5.9638649;7.7694454;0.3787748;-0.6147203;-2.5509492;-1.2163506
Property_business;1.5282384;4.5759607;0;-47.71202;4.4582864;4.0474189;7.7694454;Nan;-0.0934590;Nan;Nan
OthSectors;0.1312154;4.7615614;0;4.9947399;5.770635;5.3546056;7.7694454;-0.3711749;-0.7043669;-2.2900065;-0.4271519
