IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;-44.4;-44.4;-44.4;-44.4;-44.4;-44.4;-44.4;-44.4;-44.4;-44.4;-44.4;-44.4;-44.4;-44.4;-44.4;-44.4;-44.4;-44.4;-44.4;
Natur;-60.1;-60.9;-60.1;-60.1;-60.1;-60.1;-60.1;-61.1;-60.7;-60.7;-60.7;-60.7;-60.7;-60.7;-60.7;-62.6;-62.4;-62.4;-63.3;
Coal ;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;
AllFu;-25.4;-25.4;-25.4;-25.4;-19.1;-21.3;-24.7;-26.7;-26.7;-27.6;-26.8;-26.8;-24.6;-26.7;-26.1;-17.9;-17.8;-17.8;-33.2;
Elect;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.8;
HeatG;-14.7;-14.7;-14.7;-14.7;-14.7;-14.7;-14.7;-14.7;-14.7;-14.7;-14.7;-14.7;-14.7;-14.7;-14.7;-14.7;-14.7;-14.7;-14.9;
Heavy;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;
Build;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;
Work_;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;
Autom;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;
Load_;24.2;24.2;24.2;24.2;24.2;24.2;24.2;24.2;24.2;24.2;24.2;24.2;24.2;24.2;24.2;24.2;24.2;24.2;20.8;
PassT;2.7;2.7;2.7;2.7;2.7;2.7;2.7;2.7;2.7;2.7;2.7;2.7;2.7;2.7;2.7;1.4;1.4;1.4;1.3;
Agri_;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;
Prope;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;
OthSe;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;
;;;;;;;;;;;;;;;;;;;;
w;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;;;;;
pL;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;;;;;
pK;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;;;;;
pY;17.9;10;-0.8;-31;3.3;-14.9;-3.3;0.2;0.1;-0.2;11.7;1.4;-0.4;1.5;0.1;;;;;
pM;-45.5;-38.3;-6.7;-38.2;38.4;38.4;0;0;0;0;0;0;0;0;0;;;;;
p;-44.4;-63.3;0.9;-33.2;4.8;-14.9;-2.1;0.2;0.1;-0.1;11.4;1.3;-0.3;1.5;0.1;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
