Macro results;in %
Carbon Tax rate;0 euro/tCO2
Labour Tax cut;No recycling revenues
Real GDP (Laspeyres);5.2174756
Households consumption in GDP;2.9040405
Public consumption in GDP;1.4364332
Investment in GDP;1.5109119
Exports in GDP;-0.0436103
Imports in GDP;0.5902998
Imports/Domestic production ratio;148.26166
Imports of Non Energy goods in volume;4.0752296
Exports of Non Energy goods in volume;0.4386592
Total Employment;5.1222184
Unemployment rate (% points);-0.0073914
Net-of-tax wages;0.8386187
Labour Intensity (Laspeyres);0.1491722
Labour tax rate (% points);-4.392e-24
Energy Input Price (Laspeyres);-28.190301
Energy Intensity (Laspeyres);-3.713052
Energy cost share for non-energetic sector;-33.211502
Production Price (Laspeyres);-0.0143096
Production Price Energy goods (Laspeyres);-12.269724
Production Price Non Energy goods (Laspeyres);0.2603231
Consumption Price for HH of Non Energy goods (Laspeyres);0.3386581
Real Households consumption (Laspeyres);5.1548649
 Energy in Households consumption;-0.1729965
 Non Energy goods in Households consumption;5.3278614
Public Deficits; 5.2764342
Country Deficits /GDP;-9.6006412
Total Emissions;-16.81706
Total Taxes;2.9577819
Households Energy Bills;-18.960872
Firms Energy Bills;-35.443167
Households Energy Conso;-4.4990585
Firms Energy Conso;-12.524395
;
Most sensitif import Elasticity for NonEner;1.990099
 Most sensitif export Elasticity for NonEner ;3.4158416
 Global mean wage/Unemployment Elasticity;-0.1
