Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0;0;10.4;0.1;41.9;19.7;0.1;43.4;0;12.6;60;0.6;15.5;152.5;202.1;532.4
Households consumption Nominal 1;0;3.1;0;34.1;20.6;0.8;46;0;13.4;63.6;0.7;16.5;161.7;214.3;564.6
HPrice Index (Paasche);-0.0000314;0.3735489;1.008725;0.820527;1.0464761;0.8530860;0.9790781;7.571e-09;1.0011238;0.9987114;1.2417672;1.0142451;0.9969145;1.0152766;1.0026796
Households consumption Real 1 (G€);0;8.2;0;41.5;19.7;0.9;47;0;13.4;63.7;0.6;16.2;162.2;211.1;563.1
Government consumption Nominal 0;0;0;0;0;0;0;25.9;0;0;0;2.8;0;0.2;14.5;478.2
Government consumption Nominal 1;0;0;0;0;0;0;27.3;0;0;0;3;0;0.2;15.3;505.2
G Price Index (Paasche);0.5559762;0.3758603;1.0087256;0.8216373;1.046255;0.8529671;0.9790781;1.0019083;1.0011238;0.9987129;1.2417672;1.0142451;0.9969145;1.0152766;1.0026796
Government consumption Real 1 (G€);0;0;0;0;0;0;27.9;0;0;0;2.4;0;0.2;15.1;503.8
Investment Nominal 0;0;0;0;0;0;0;0.2;44.2;125.6;20;0;0;1.3;6.8;178.7
Investment Nominal 1;0;0;0;0;0;0;0.2;47.7;135.5;21.5;0;0;1.4;7.4;193.1
I Price Index (Paasche);0.0000099;0.0000016;-0.0000033;-0.0000077;-0.0000062;-0.0000019;0.9790781;1.0019083;1.0011238;0.9987177;-0.0000002;9.674e-09;0.9969145;1.0152766;1.0026796
Investment Real 1 (G€);0;0;0;0;0;0;0.2;47.6;135.3;21.5;0;0;1.5;7.3;192.6
Exports Nominal 0;0;0.5;0.1;13.8;2.2;0;106.6;0;0;39.3;0.7;0;38.3;0;262.1
Exports Nominal 1;0;0.3;0;6;3.3;0;107.8;0;0;39.4;0.8;0;38.3;0;261.9
X Price Index (Paasche);0.5557357;0.3672672;1.0087674;0.6676093;1.0475574;0;0.9790027;0;0;0.9987275;1.2078904;0;0.9969254;0;1.0027276
Exports Real 1 (G€);0;0.8;0;9.1;3.1;0;110.1;0;0;39.5;0.7;0;38.4;0;261.2
Imports Nominal 0;28.8;9.8;2.2;16.1;1;0;103.9;0;0;43.7;1.6;0.4;36.3;0;272.4
Imports Nominal 1;14;5.4;1.3;8;2.2;0;105.7;0;0;45.5;1.6;0.4;37.9;0;286.1
M Price Index (Paasche);0.5449987;0.6173913;0.9331917;0.6184507;1.3837112;0;1;1;1;1;1;1;1;1;1
Imports Real 1 (G€);25.7;8.8;1.4;12.9;1.6;0;105.7;0;0;45.5;1.6;0.4;37.9;0;286.1
