Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0;50.3
GOS_byAgent;432.2;61.5;163.5;0
NetCompWages_byAgent;0;0;783.6;0
InsuranceContrib_byAgent;0;344.2;0;0
Production_Tax_byAgent;0;60.2;0;0
Energ_Tax_byAgent;0;21.7;0;0
Carbon_Tax_byAgent;0;0;0;0
OtherIndirTax_byAgent;0;38.7;0;0
VA_Tax_byAgent;0;141.2;0;0
Property_income;-27.4;-26.3;76.5;-22.8
Unemployment_transfers;0;-40.8;40.8;0
Pensions;0;-298.6;298.6;0
Other_social_transfers;0;-97.4;97.4;0
ClimPolicyCompens;0;0;0;0
Other_Transfers;-95.6;61.4;26.3;8
Income_Tax;0;145.5;-145.5;0
Corporate_Tax;-39;39;0;0
Other_Direct_Tax;0;21.4;-21.4;0
Disposable_Income;270.2;471.8;1319.8;35.5
FC_byAgent;0;551;1139.3;0
GFCF_byAgent;235.3;65.3;106.2;0
Tot_FC_byAgent;235.3;616.4;1245.5;0
NetLending;34.8;-144.6;77.6;35.5
NetFinancialDebt;2132.9;1708;-3583.9;-257
;;;;
Units;1000000 k€;;;
