CompT_BY;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;235.66746;939;277.07343;44652.019;0;0;0;28;19.304992;55.944364;0.9830629
Natural_gas;224727.37;34.591574;222.34074;37811.819;12130.426;0;0;3336.2683;0.0313731;1.1700479;0.5426630
Coal;334.09453;3268.1342;167.46336;7890.7522;29.411357;0;0;103.5648;77.229931;1.239176;0.5548244
AllFuels;640.39567;39587.305;373.69061;35435.7;31170.628;0;0;16932;54.3923;0.8602841;0.4410175
Electricity;1048.2626;44416.142;905.09015;1659.8686;14252.823;0;0;5279.7936;4.8243674;0.1146029;0.0339674
HeatGeoSol_Th;751.76096;3404.6831;922.06836;2.220e-16;1233.607;0;0;0;65.534624;0;0
Heavy_Industry;1023.437;175205.83;1000;121365.27;32861.065;19669.411;129.08604;92149.586;5.2323365;1.347645;0.6727805
Buildings_constr;1052.359;50037.274;1000;3.019e-16;0;0;48211.787;0;0.1969809;0;0
Work_constr;1052.5159;215273.72;1000;2.936e-16;12028.714;0;141152.82;0;0.5230268;0;0
Automobile;21923.375;2951.912;21043.918;2413.3272;2427.8886;0;564.77819;1687.9076;0.4853446;1.4755082;0.7173267
Load_PipeTransp;213.20301;360432.82;176.45045;10317.554;4637.4909;20294.931;0;8120.7155;17.628032;0.0368242;0.0234434
PassTransp;95.384825;184205.07;87.518192;5272.9544;189478.02;0;0;0;8.8340295;0.0262646;0.0255925
Agri_Food_industry;1058.3515;200065.06;1000;41739.981;110690.32;152.95756;1149.9829;30971.031;2.8106388;0.4078689;0.1998493
Property_business;82.760698;3881783;78.108601;2.573e-16;2654970.5;191146.79;105923.48;0;0.1522859;0;0
OthSectors;1055.0293;2619057.4;1000;322339.57;548105.61;493959.75;216508.77;310526.12;0.8418362;0.2275891;0.1159916
