CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;1.669499;0.9074978;25.275989;0.9074978;Nan;Nan;Nan;0;0.0755387;23.217857;0.3316427
Natural_gas;1.4634772;1.5701464;13.480885;1.5701464;0;Nan;Nan;0;0.0001796;11.289158;5.2880066
Coal;-0.5784338;2.1900952;-1.7380509;2.1900952;0;Nan;Nan;0;-0.4314235;-1.2037756;-0.5593807
AllFuels;13.405658;0.9080555;21.506585;0.9080555;0;Nan;Nan;0;4.5696499;4.9378323;4.3122438
Electricity;1.7997256;1.5896648;11.43334;1.5896648;0;Nan;Nan;0;0.2012956;1.7493901;8.9926319
HeatGeoSol_Th;3.4740689;1.8430599;11.43334;-49.07847;0;Nan;Nan;Nan;0.5034923;Nan;Nan
Heavy_Industry;1.5310943;2.6375422;0;4.2090197;4.58059;3.9343204;3.0549388;3.3394087;0.1411470;0.0283260;0.0379589
Buildings_constr;1.6301609;3.0549735;0;-39.651507;Nan;Nan;3.0549388;Nan;0.0158986;-99.997418;-99.997418
Work_constr;1.6675293;3.0869438;0;-40.32343;3.7945458;Nan;3.0549388;Nan;0.0328118;-99.999416;-99.999416
Automobile;1.4072326;3.2884401;0;4.7419486;4.7017804;Nan;3.0549388;3.4722288;0.0177306;-0.2116896;-0.2847004
Load_PipeTransp;4.2182558;2.3412317;0;6.6582466;-0.3917415;-1.0072839;Nan;-0.9754998;1.4569012;-0.7991544;-0.0291123
PassTransp;2.8786762;2.3612918;0;5.307942;2.4432937;Nan;Nan;Nan;0.4676790;-7.216e-13;-7.772e-13
Agri_Food_industry;1.6563891;3.2474565;0;4.9576361;4.0900611;3.4468228;3.0549388;2.8626432;0.1475127;-0.3393353;-0.1401175
Property_business;1.5939609;3.6160567;0;-43.493262;3.8623953;3.2205639;3.0549388;Nan;0.0038752;-99.999972;-99.999972
OthSectors;1.7300751;2.9980424;0;4.7799858;3.952792;3.310402;3.0549388;2.6963492;0.0206632;-0.2380234;-0.0538344
