Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0;0;9;0;40.3;28.6;1.1;47.8;0;13.9;66;0.7;17.1;167.9;222.6;586.3
Households consumption Nominal 1;0;9.7;0;43.7;29.2;1.1;50.4;0;14.7;69.7;0.8;18;177.2;234.9;618.7
HPrice Index (Paasche);-0.0013769;1.0763293;0.9879238;1.0851688;1.0206654;1.0343929;1.0089571;-4.516e-09;1.016598;1.0077893;1.0593231;1.0300072;1.0137119;1.0159339;1.0150505
Households consumption Real 1 (G€);0;9;0;40.3;28.6;1.1;49.9;0;14.4;69.2;0.7;17.5;174.8;231.2;609.5
Government consumption Nominal 0;0;0;0;0;0;0;28.6;0;0;0;3.1;0;0.2;16;528.4
Government consumption Nominal 1;0;0;0;0;0;0;30;0;0;0;3.3;0;0.2;16.8;554.1
G Price Index (Paasche);1.2483996;1.0760552;0.9879229;1.0846263;1.0205947;1.0344176;1.0089571;1.0162312;1.016598;1.00778;1.0593231;1.0300072;1.0137119;1.0159339;1.0150505
Government consumption Real 1 (G€);0;0;0;0;0;0;29.7;0;0;0;3.1;0;0.2;16.5;545.9
Investment Nominal 0;0;0;0;0;0;0;0.2;57.4;163;25.2;0;0;1.7;8.9;231.6
Investment Nominal 1;0;0;0;0;0;0;0.2;60.1;170.8;26.2;0;0;1.8;9.3;242.3
I Price Index (Paasche);-0.0001370;0.0000762;0.0000292;0.0001107;0.0000726;-0.0000509;1.0089571;1.0162312;1.016598;1.007752;0.0000011;0.0000006;1.0137119;1.0159339;1.0150505
Investment Real 1 (G€);0;0;0;0;0;0;0.2;59.1;168;26;0;0;1.8;9.2;238.7
Exports Nominal 0;0;0.7;0;8.6;3.8;0;120.3;0;0;44.7;1;0;44.6;0;306.5
Exports Nominal 1;0;0.7;0;10;3.9;0;125.4;0;0;46.6;1.1;0;46.5;0;319.6
X Price Index (Paasche);1.2486117;1.0770741;0.9878661;1.161852;1.0210085;0;1.008989;0;0;1.0076938;1.0529548;0;1.0136656;0;1.015307
Exports Real 1 (G€);0;0.7;0;8.6;3.8;0;124.3;0;0;46.3;1;0;45.9;0;314.8
Imports Nominal 0;12.4;8.4;1.3;13.2;1.5;0;121.4;0;0;50.8;1.8;0.5;41.7;0;322.3
Imports Nominal 1;15.6;9.7;1.3;16.2;1.7;0;126.5;0;0;53.2;1.9;0.5;43.8;0;337.7
M Price Index (Paasche);1.2527599;1.1348089;0.9826195;1.2150658;1.1143334;1.1143334;1;1;1;1;1;1;1;1;1
Imports Real 1 (G€);12.5;8.5;1.4;13.4;1.5;0;126.5;0;0;53.2;1.9;0.5;43.8;0;337.7
