IC_value;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;Uses;
Crude;-100;-100;-100;26;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100.1;-100;-100; 24.9;26;
Natur;8.3;-100;9.7;8.3;9;9.3;10.2;10.7;10.7;10.9;9.9;9.9;10.9;11.3;10.6; 7.6;-100;-100; 7.7;8.9;
Coal ;-100;-100;1;-100;0.4;0.6;1.4;-100;1.8;2;-100;-100;2;2.4;1.8;-1.2;-100;-100;-1.2;1;
AllFu;-100;-100;-100;-100;10.8;12.2;14.8;16.3;16.3;17;15.6;15.6;15.5;16.9;15.9; 8.5;-100;-100; 16.2;11.6;
Elect;3;3.6;4.3;3;-100;3.9;4.7;5.2;5.2;5.4;4.4;4.5;5.4;5.8;5.1; 2.1;-100;-100; 2.1;3.4;
HeatG;-100;-100;-100;-100;-100;-100;6.2;-100;6.6;-100;-100;-100;6.8;7.2;6.5; 3.4;-100;-100;0;5.3;
Heavy;-100;2.5;3.1;1.8;2.5;2.8;3.6;4;4;4.2;3.3;3.3;4.2;4.5;3.9; 5.5; 4.9; 4; 4.3;4.2;
Build;-100;-100;-100;-100;-100;-100;-100;4.7;-100;-100;-100;-100;-100;5.3;-100;-100;-100; 4.7;0;4.7;
Work_;2.6;3.3;3.9;2.6;3.3;3.5;4.3;4.8;4.8;5;4;4.1;5;5.3;4.7; 5.5;-100; 4.8;0;4.8;
Autom;-100.1;2.4;3;1.7;2.4;2.6;3.4;3.9;3.9;4.1;3.1;3.2;4.1;4.4;3.8; 5.5;-100; 3.9; 4.3;4.7;
Load_;-100;7.6;8.3;6.9;7.6;7.9;8.7;9.2;9.2;9.4;8.4;8.4;9.4;9.8;9.1; 5.5; 4.9;-100; 4.3;8.4;
PassT;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100; 5.5;-100;-100;0;5.5;
Agri_;-100;3;3.6;2.3;3;3.2;4;4.5;4.5;4.7;3.7;3.8;4.7;5;4.4; 5.5; 4.9; 4.5; 4.3;5;
Prope;-100;3.2;3.8;2.5;3.2;3.5;4.3;4.7;4.7;4.9;4;4;4.9;5.3;4.6; 5.5; 4.9; 4.7;0;5.3;
OthSe;2.4;3.1;3.7;2.4;3.1;3.4;4.2;4.6;4.6;4.8;3.9;3.9;4.8;5.2;4.5; 5.5; 4.9; 4.6; 4.3;4.8;
Labour_income; 2.9; 3.5; 4.2; 2.9; 3.6; 3.8; 4.6; 5.1; 5.1; 5.3; 4.3; 4.4; 5.3; 5.6; 5;;;;;;
Labour_Tax; 2.9; 3.5; 4.2; 2.9; 3.6; 3.8; 4.6; 5.1; 5.1; 5.3; 4.3; 4.4; 5.3; 5.6; 5;;;;;;
Capital_income; 2.5; 3.1; 3.8; 2.5; 3.1; 3.4; 4.2; 4.6; 4.7; 4.9; 3.9; 3.9; 4.8; 5.2; 4.6;;;;;;
Production_Tax; 2.6; 3.1; 1.6; 14.4; 3.4; 5.4; 4.2; 4.7; 4.8; 4.7; 6.7; 5.3; 5; 5.3; 4.8;;;;;;
Profit_margin; 2.6; 3.1; 1.6; 14.4; 3.4; 5.4; 4.2; 4.7; 4.8; 4.7; 6.7; 5.3; 5; 5.3; 4.8;;;;;;
M_value; 26.4; 15.3; 0.4; 22.6; 13.2;0; 4.2; 4.7; 4.7; 4.7; 6.7; 5.3; 5; 4.1; 4.8;;;;;;
Trade_margins; 26;-1484.5; 1; 17.2; 22720.9;-74.1; 4.2; 112.2; 257.7; 4.7;-7065; 532.3; 5; 7.1; 4.9;;;;;;
Transp_margins; 26; 9.4; 1; 17.2; 3.7; 5.4; 4.2;-1323.8; 822.3; 4.7; 4.9; 668.4; 5;-106.9; 4.8;;;;;;
SpeMarg_Crude_oil;0; 8.7;0;0; 3;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Natural_gas;0;0;0;0; 3.7;0;0;0;0; 2.4; 5.7;0;0; 3.2;0;;;;;;
SpeMarg_Coal;0; 10.1; 1;0; 4.3;0;0;0;0; 3; 6.4;0;0; 3.8;0;;;;;;
SpeMarg_AllFuels; 26; 8.7;0;0; 3;0;0;0;0; 1.7; 5;0;0; 2.5;0;;;;;;
SpeMarg_Electricity;0; 9.4; 0.4; 18;0;0;0;0;0; 2.4; 5.8;0;0; 3.2;0;;;;;;
SpeMarg_HeatGeoSol_Th;0; 9.7; 0.6; 18.3; 4;0;0;0;0; 2.6; 6;0;0; 3.5;0;;;;;;
