IC_Q;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;FC_Q;C;G;I;X
Crude;0;0;0;45563;0;0;0;0;0;0;0;0;0;0;0;Crude;0;0;0;28
Natur;0.5;0;0.2;260.2;2991.7;1322;6248.6;35.6;278.6;177.4;43.9;24.7;2825.5;208;7962.7;Natur;12130.4;0;0;3336.3
Coal ;0;0;3292.5;0;3237.8;191.3;3637.5;0;3.1;2.3;0;0;537.9;0.3;123.4;Coal ;29.4;0;0;103.6
AllFu;0;0;0;0;1744.3;358.6;1773.8;71.7;650.7;47.6;14342.2;952;3384.5;53.7;3541.3;AllFu;31170.6;0;0;16932
Elect;52.9;3;23.7;1350.7;0;1262.9;6121.9;16.9;374.7;234.4;130.6;809.5;2469.6;279.8;13412.7;Elect;14252.8;0;0;5279.8
HeatG;0;0;0;0;0;0;843;0;51.6;0;0;0;166.6;38.5;1071.4;HeatG;1233.6;0;0;0
Heavy;0;750.8;51.6;960;3623.3;62.6;43163.2;2729.7;18526.3;5177.6;157.1;39.8;9704.3;295.2;66520.5;Heavy;32861.1;19669.4;129.1;92149.6
Build;0;0;0;0;0;0;0;1822.5;0;0;0;0;0;3;0;Build;0;0;48211.8;0
Work_;0.6;529.5;3.5;450.2;1420.6;29.3;624.9;14692.5;19240.6;302.5;74.4;18.9;507.6;4508.5;19688.8;Work_;12028.7;0;141152.8;0
Autom;0;0.2;0;1;1;0;5.1;0.3;4.9;370.8;10;2.5;9.5;0.5;278.7;Autom;2427.9;0;564.8;1687.9
Load_;0;92.1;5.4;807.7;444.7;7.7;2736.7;330.4;1427.9;301.5;82387.5;20884;1970.1;705.5;225596.1;Load_;4637.5;20294.9;0;8120.7
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PassT;189478;0;0;0
Agri_;0;11.6;0.6;43.9;56.2;1;2332;52.8;602.3;104.5;14;3.6;63147.7;130.1;32340.5;Agri_;110690.3;153;1150;30971
Prope;0;1069;55.4;2465.9;2868.1;59.1;25035.6;14507;7199.5;2212.8;10270.7;2603.5;6654;129605.9;725135.7;Prope;2654970.5;191146.8;105923.5;0
OthSe;83.6;2503.5;120.6;8079.7;13462.7;226.8;62341.7;13947.9;72636.1;36617.6;17995.1;4561.5;41654.3;43751.3;1054314.2;OthSe;548105.6;493959.7;216508.8;310526.1
OthQ;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;;;;;
Y;939;34.6;3268.1;39587.3;44416.1;3404.7;175205.8;50037.3;215273.7;2951.9;360432.8;184205.1;200065.1;3881783;2619057.4;;;;;
M;44652;37811.8;7890.8;35435.7;1659.9;0;121365.3;0;0;2413.3;10317.6;5273;41740;0;322339.6;;;;;
Labour;0.1;3.9;0.4;2.7;84.8;2.3;355.7;181.2;2813.5;78.1;86.3;96.5;800.8;497.3;21047;;;;;
Capital_consumption;51.6;1860.7;12.2;523.2;8980.3;159.8;8959.3;1620.8;6973.4;2944.7;7705.1;1953.1;18146.3;63125.3;208660.2;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;1 ktoe / ktons;;;;;;;;;;;;;;;;;;;
