IC_value;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;Uses;
Crude;0;0;0;15.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.9;
Natur;0;0;0;0.1;1.1;0.5;2.3;0;0.1;0.1;0;0;1.3;0.1;3.7;9.7;0;0;0.7;19.8;
Coal ;0;0;0.8;0;0.5;0;1.1;0;0;0;0;0;0.1;0;0;0;0;0;0;2.6;
AllFu;0;0;0;0;0.8;0.2;1.4;0.1;0.7;0.1;15.5;1;2.7;0.1;3.5;43.7;0;0;10;79.7;
Elect;0;0;0;1.1;0;1.1;4.5;0;0.5;0.2;0.1;0.7;2.3;0.3;16.9;29.2;0;0;3.9;60.9;
HeatG;0;0;0;0;0;0;0.7;0;0;0;0;0;0.1;0;0.9;1.1;0;0;0;2.9;
Heavy;0;1;0.1;1.3;4.9;0.1;58.6;3.7;25.2;7.1;0.2;0.1;13.2;0.4;90.6;50.4;30;0.2;125.4;412.3;
Build;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;60.1;0;62.1;
Work_;0;0.6;0;0.5;1.6;0;0.7;16.3;21.3;0.3;0.1;0;0.6;5;21.8;14.7;0;170.8;0;254.2;
Autom;0;0;0;0;0;0;0.1;0;0.1;10.1;0.3;0.1;0.3;0;7.6;69.7;0;26.2;46.6;161.1;
Load_;0;0;0;0.1;0.1;0;0.3;0;0.2;0;9.9;2.5;0.2;0.1;27.3;0.8;3.3;0;1.1;45.9;
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;18;
Agri_;0;0;0;0.1;0.1;0;3.5;0.1;0.9;0.2;0;0;94.9;0.2;48.5;177.2;0.2;1.8;46.5;374.2;
Prope;0;0.1;0;0.2;0.2;0;2.2;1.3;0.6;0.2;0.9;0.2;0.6;11.3;62.8;234.9;16.8;9.3;0;341.5;
OthSe;0.1;2.6;0.1;8.3;13.9;0.2;65.2;14.6;76.3;38.5;18.8;4.8;43.8;46.2;1106.6;618.7;554.1;242.3;319.6;3174.8;
Labour_income;0;0.2;0;0.2;5.4;0.1;18.9;7.1;61.3;5.6;18.9;4.8;28.6;12.2;727.6;;;;;;
Labour_Tax;0;0.1;0;0.1;2.4;0.1;8.5;3.2;27.6;2.5;8.5;2.2;12.9;5.5;328.1;;;;;;
Capital_income;0.1;1.8;0;0.5;8.8;0.2;8.9;1.6;6.9;2.9;7.6;1.9;18.1;63.1;207.3;;;;;;
Production_Tax;0;0.3;0;0.1;1.4;0;2.4;0.5;2.4;0.6;1;0.2;-5;21.9;34.2;;;;;;
Profit_margin;0;1.3;0;0.5;7;0.2;7.6;4.5;13.1;-0.7;0.2;0;7.4;171.8;207.9;;;;;;
M_value;15.6;9.7;1.3;16.2;1.7;0;126.5;0;0;53.2;1.9;0.5;43.8;0;337.7;;;;;;
Trade_margins;0;0;0.1;4.7;0;0;79;0;0;26.8;0;0;90.4;0;-201;;;;;;
Transp_margins;0;0.3;0;0.9;1.5;0;11.1;0;0;1;-34.2;0;9.2;0;10.1;;;;;;
SpeMarg_Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Natural_gas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Coal;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_AllFuels;0;0;0;0;-0.4;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Electricity;0;-0.4;-0.3;-0.7;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_HeatGeoSol_Th;0;-0.2;0;-0.1;-0.4;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Heavy_Industry;0;-0.8;0.2;-0.1;-2.5;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Work_constr;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Automobile;0;0;0;0;-0.1;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Load_PipeTransp;0;0;0;2.9;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_PassTransp;0;0;0;0.2;-0.2;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Agri_Food_industry;0;-0.1;0;-0.3;-0.6;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Comp;0;-0.3;0;0.3;1.5;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_C;0;2.1;0;0.3;3.3;-0.1;0;0;0;-6.5;0;0;0;0;0;;;;;;
SpeMarg_G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_I;0;0;0;0;0;0;0;0;0;7.4;0;0;0;0;0;;;;;;
SpeMarg_X;0;-0.8;0;-1.4;-1.9;0;0;0;0;0;0;0;0;0;0;;;;;;
VA_Tax;0;1.8;0;6;10;0.2;7.9;6.7;15.7;12.6;1.1;0.3;9.6;3.2;87;;;;;;
