IC_value;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;Uses;
Crude;0;0;0;15.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.7;
Natur;0;0;0;0.1;1.6;0.7;3.6;0;0.2;0.1;0;0;1.9;0.1;5.3;12.6;0;0;0.7;27.2;
Coal ;0;0;2;0;1.7;0.1;2.6;0;0;0;0;0;0.3;0;0.1;0;0;0;0;6.8;
AllFu;0;0;0;0;1.2;0.3;1.9;0.1;0.8;0.1;18.9;1.2;3.6;0.1;4.3;51.5;0;0;10;93.9;
Elect;0;0;0;1;0;1;4.3;0;0.4;0.2;0.1;0.6;2.1;0.3;16;27.8;0;0;3.9;57.8;
HeatG;0;0;0;0;0;0;0.7;0;0;0;0;0;0.1;0;0.8;1;0;0;0;2.7;
Heavy;0;1;0.1;1.2;4.6;0.1;58.4;3.7;25.2;7;0.2;0.1;13.2;0.4;90.3;50;30;0.2;125.4;411;
Build;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;60.1;0;62.1;
Work_;0;0.5;0;0.5;1.5;0;0.7;16.3;21.3;0.3;0.1;0;0.6;5;21.7;14.6;0;170.8;0;253.9;
Autom;0;0;0;0;0;0;0.1;0;0.1;10.1;0.3;0.1;0.3;0;7.6;69.2;0;26.2;46.6;160.5;
Load_;0;0;0;0.1;0.1;0;0.3;0;0.2;0;9.9;2.5;0.2;0.1;27.3;0.7;3.3;0;1.1;45.8;
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.9;0;0;0;17.9;
Agri_;0;0;0;0.1;0.1;0;3.5;0.1;0.9;0.2;0;0;94.4;0.2;48.3;175.9;0.2;1.8;46.5;372.2;
Prope;0;0.1;0;0.2;0.2;0;2.2;1.3;0.6;0.2;0.9;0.2;0.6;11.2;62.6;233.2;16.8;9.3;0;339.6;
OthSe;0.1;2.5;0.1;8;13.3;0.2;65;14.7;76.2;38.4;18.7;4.7;43.6;45.9;1103.1;614.3;554.2;242.3;319.6;3164.8;
Labour_income;0;0.2;0;0.2;5.1;0.1;18.8;7.1;61.2;5.6;18.8;4.8;28.5;12.1;725.4;;;;;;
Labour_Tax;0;0.1;0;0.1;2.1;0.1;7.8;3;25.6;2.3;7.9;2;11.9;5;302.7;;;;;;
Capital_income;0;1.7;0;0.5;8.4;0.1;8.8;1.6;6.9;2.9;7.6;1.9;18;62.7;206.7;;;;;;
