Macro results;in %
Carbon Tax rate;100 euro/tCO2
Labour Tax cut;Labour tax reduction
Real GDP (Laspeyres);0.0559267
Households consumption in GDP;-0.3734657
Public consumption in GDP;0.0007622
Investment in GDP;0.0000343
Exports in GDP;0.1228052
Imports in GDP;-0.3057906
Imports/Domestic production ratio;0.0160621
Imports of Non Energy goods in volume;-0.7964615
Exports of Non Energy goods in volume;0.6037079
Total Employment;0.2685930
Unemployment rate (% points);-0.0024252
Net-of-tax wages;0.0434871
Labour Intensity (Laspeyres);0
Labour tax rate (% points);-0.0333546
Energy Input Price (Laspeyres);28.656975
Energy Intensity (Laspeyres);-2.5473894
Energy cost share for non-energetic sector;20.793347
Production Price (Laspeyres);-0.5553193
Production Price Energy goods (Laspeyres);6.0638228
Production Price Non Energy goods (Laspeyres);-0.6992180
Real Households consumption (Laspeyres);-0.6858767
 Energy in Households consumption;-0.329921
 Non Energy goods in Households consumption;-0.3559557
Public Deficits;-6.0665585
Total Emissions;-6.4666873
;
Most sensitif import Elasticity for NonEner;1.990099
 Most sensitif export Elasticity for NonEner ;3.4158416
 Global mean wage/Unemployment Elasticity;0
