Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;-0.6936254;-0.5679677;178.44733;1.7096985;5.2342802;17.073461;1.9130598;-0.9523409;-1.0744697;-0.7454584;4.2859953;1.1778956;0.2536844;-0.4551236;-1.085909
Real Households consumption_Households;Nan;-4.995991;-4.995991;-4.995991;-4.995991;-4.995991;-1.9854647;Nan;0.1549177;-0.5102729;-8.1298279;-2.1194587;-1.1211949;-0.4634563;0.0546785
Exports in volume;0;0;0;0;0;Nan;-1.6159559;Nan;Nan;1.3894665;0;Nan;-0.2529635;Nan;1.363025
Imports in volume;-8.9793405;-5.5198636;-10.046681;-4.2091681;-4.984521;-52.322898;0.6909504;-41.259952;-41.880027;-0.4685991;-0.5327891;-2.1194587;-0.3238155;-45.215161;-1.4040415
Trade balance ;-8.9851715;-5.9559599;-12.246578;-12.616152;12.770391;-5.4182263;146.81785;0.0605705;0.1289915;-10.730301;-9.5057196;-2.1194587;4.4167045;0.7515978;-32.547146
Energy Cost share variation;0.6479105;0.2612245;19.18942;1.6002344;104.82841;7.6197591;39.199584;22.484481;18.251574;15.225621;17.739162;12.561279;26.284595;11.721128;11.808969
 Energy/Labour cost variation;2.2570517;1.9930777;239.54093;5.7227505;120.52549;28.902651;45.137338;24.11854;19.681409;17.006724;25.619861;16.516126;29.527533;13.779914;13.147818
Labour;-8.9793405;-5.5198636;-10.046681;-4.2091681;-4.984521;-5.5086116;-2.5750748;-0.0096971;0.0567429;0.7779249;-0.5327891;-2.1194587;-0.8251356;-0.3057803;0.4382188
Unitary Labour Cost variation;-2.2563341;-2.2563341;-2.2563341;-2.2563341;-2.2563341;-2.2563341;-2.2563341;-2.2563341;-2.2563341;-2.2563341;-2.2563341;-2.2563341;-2.2563341;-2.2563341;-2.2563341
Net nominal wages;0.0434871;0.0434871;0.0434871;0.0434871;0.0434871;0.0434871;0.0434871;0.0434871;0.0434871;0.0434871;0.0434871;0.0434871;0.0434871;0.0434871;0.0434871
Net real wages (Consumer Price Index);-0.6791061;-0.6791061;-0.6791061;-0.6791061;-0.6791061;-0.6791061;-0.6791061;-0.6791061;-0.6791061;-0.6791061;-0.6791061;-0.6791061;-0.6791061;-0.6791061;-0.6791061
Purchasing power of wages_Households;1.0005341;0.7354950;0.2791821;0.8026487;0.9530239;0.8557438;0.9896398;1.0100127;1.0112509;1.0045346;0.9276010;0.9882869;0.9983662;1.0050073;1.0102388
Carbon Taxe rate;100 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;Labour tax reduction;;;;;;;;;;;;;;
