IC_value;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;Uses;
Crude;-100;-100;-100;-1.1;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;0;-1.1;
Natur;42.3;-100;40.7;49.8;48.6;47.8;52.1;37.3;44.5;45.5;43.6;41.3;42.5;44;45; 29.2;-100;-100;-0.3;36.5;
Coal ;-100;-100;203.5;-100;322.9;268;208.6;-100;223.3;183.9;-100;-100;270.1;222.2;265.9; 240.4;-100;-100; 81.3;230.8;
AllFu;-100;-100;-100;-100;50.4;37.8;29;23.3;23.4;20.1;22.3;20.3;30.8;22.9;26.1; 18.4;-100;-100; 1.1;18.4;
Elect;-9.3;-5.8;-10.3;-4.5;-100;-5.8;-2.9;-0.3;-0.2;0.5;-0.8;-2.4;-1.1;-0.6;0.2;-0.3;-100;-100; 5.1;-0.2;
HeatG;-100;-100;-100;-100;-100;-100;8.2;-100;11.2;-100;-100;-100;10.2;10.8;11.6; 11.1;-100;-100;0;10.5;
Heavy;-100;-4.5;-9.1;-3.2;-3.9;-4.5;-1.5;1.1;1.1;1.9;0.6;-1.1;0.3;0.8;1.5;-0.9;-0.8;-1;-0.5;-0.2;
Build;-100;-100;-100;-100;-100;-100;-100;-1;-100;-100;-100;-100;-100;-1.3;-100;-100;-100;-1;0;-1;
Work_;-10;-6.5;-11;-5.2;-6;-6.5;-3.6;-1.1;-1;-0.3;-1.6;-3.2;-1.9;-1.4;-0.6;-0.9;-100;-1;0;-1;
Autom;-100;-5.9;-10.4;-4.6;-5.4;-5.9;-3;-0.4;-0.4;0.4;-0.9;-2.5;-1.2;-0.7;0;-0.9;-100;-1; 1;-0.3;
Load_;-100;1.9;-3;3.3;2.5;1.9;5.1;7.8;7.9;8.7;7.3;5.6;7;7.5;8.3;-0.9;-0.8;-100; 7.1;7.1;
PassT;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-0.9;-100;-100;0;-0.9;
Agri_;-100;-5.3;-9.9;-4;-4.8;-5.3;-2.4;0.2;0.3;1;-0.3;-1.9;-0.6;-0.1;0.6;-0.9;-0.8;-1;0;-0.5;
Prope;-100;-5.9;-10.5;-4.6;-5.4;-5.9;-3;-0.5;-0.4;0.3;-1;-2.6;-1.3;-0.8;0;-0.9;-0.8;-1;0;-0.8;
OthSe;-9.9;-6.4;-10.9;-5.1;-5.9;-6.4;-3.5;-1;-0.9;-0.2;-1.5;-3.1;-1.8;-1.3;-0.5;-0.9;-0.8;-1; 0.4;-0.7;
Labour_income;-8.9;-5.5;-10;-4.2;-4.9;-5.5;-2.5;0; 0.1; 0.8;-0.5;-2.1;-0.8;-0.3; 0.5;;;;;;
Labour_Tax;-15.7;-12.5;-16.7;-11.3;-12;-12.5;-9.7;-7.4;-7.3;-6.6;-7.8;-9.3;-8.1;-7.6;-7;;;;;;
Capital_income;-9.8;-6.4;-10.8;-5.1;-5.8;-6.3;-3.4;-0.9;-0.8;-0.1;-1.4;-3;-1.7;-1.2;-0.5;;;;;;
Production_Tax;-9.6;-6.1; 150.5;-2.6;0; 10.6;-0.7;-1;-1;0; 3.7;-1;-0.6;-0.8;-0.7;;;;;;
Profit_margin;-9;-5.5;-10;-4.2;-5;-5.5;-2.6;0; 0.1; 0.8;-0.5;-2.1;-0.8;-0.3; 0.4;;;;;;
M_value;-9;-5.5;-10;-4.2;-5;-5.6; 0.7;-0.1;0;-0.5;-0.5;-2.1;-0.3;-1.3;-1.4;;;;;;
Trade_margins;-9;-96.5; 63;-3.2;-100;-100;-0.1;-101;-100.4;-0.2;-100.1;-100;-0.5;-135;-0.4;;;;;;
Transp_margins;-9;-5.8; 63;-3.2;-0.2; 10.6;-0.1;-104.6;-99.8;-0.2;-0.5;-98.9;-0.5;-643.6;-0.7;;;;;;
SpeMarg_Crude_oil;0;-13.7;0;0;-9.1;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Natural_gas;0;0;0;0;-5.7;0;0;0;0;-5.9;-1.6;0;0;-6;0;;;;;;
SpeMarg_Coal;0;-14.8; 54.9;0;-10.2;0;0;0;0;-10.4;-6.3;0;0;-10.5;0;;;;;;
SpeMarg_AllFuels;-9;-9.2;0;0;-4.4;0;0;0;0;-4.6;-0.2;0;0;-4.6;0;;;;;;
SpeMarg_Electricity;0;-10; 63.6;-8.7;0;0;0;0;0;-5.4;-1;0;0;-5.4;0;;;;;;
SpeMarg_HeatGeoSol_Th;0;-10.5; 62.7;-9.2;-5.7;0;0;0;0;-5.9;-1.6;0;0;-5.9;0;;;;;;
SpeMarg_Heavy_Industry;0;-7.7; 67.8;-6.4;-2.8;0;0;0;0;-3; 1.5;0;0;-3;0;;;;;;
SpeMarg_Buildings_constr;0;-5.2;0;-4;-0.2;0;0;0;0;-0.4; 4.2;0;0;-0.5;0;;;;;;
SpeMarg_Work_constr;0;-5.2; 72.3;-3.9;-0.1; 11.3;0;0;0;-0.3; 4.2;0;0;-0.4;0;;;;;;
SpeMarg_Automobile;0;-4.5; 73.6;-3.2; 0.6;0;0;0;0; 0.4; 5;0;0; 0.3;0;;;;;;
SpeMarg_Load_PipeTransp;0;-5.7;0;-4.5;-0.7;0;0;0;0;-0.9;0;0;0;-1;0;;;;;;
SpeMarg_PassTransp;0;-7.2;0;-6;-2.3;0;0;0;0;-2.5;0;0;0;0;0;;;;;;
SpeMarg_Agri_Food_industry;0;-6; 70.8;-4.7;-1; 10.3;0;0;0;-1.2; 3.3;0;0;-1.3;0;;;;;;
SpeMarg_Property_business;0;-5.5; 71.7;-4.2;-0.5; 10.9;0;0;0;-0.7; 3.9;0;0;-100;0;;;;;;
SpeMarg_Comp;0;-4.8; 73;-3.5; 0.3; 11.7;0;0;0;0; 4.6;0;0;0;0;;;;;;
SpeMarg_C;0;-5.2; 72.2;-4;-0.2; 11.2;0;0;0;-0.9;-4.3;0;0;-100;0;;;;;;
SpeMarg_G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_I;0;0;0;0;0;0;0;0;0;-1;0;0;0;-1;0;;;;;;
SpeMarg_X;0;-0.3; 81.3; 1.1; 5.1;0;0;0;0; 1; 4.2;0;0;0;0;;;;;;
VA_Tax;0; 29.2; 240.4; 18.4;-0.3; 11.1;-0.9;-1;-1;-0.9;-0.8;-0.9;-0.9;-0.9;-0.9;;;;;;
Energy_Tax_IC;0;-6.6;0;-5.9;0;0;0;0;0;0;0;0;0;0;0;;;;;;
Energy_Tax_FC;0;0;0;-5;0;0;0;0;0;0;0;0;0;0;0;;;;;;
ClimPolCompensbySect;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;0;0;;;;;;
OtherIndirTax;-9;-6;-10.1;-5.4;-5.6;-5.5;-1.1;0; 0.1;-0.3;-0.5;-2.1;-0.8;-0.3; 0.1;;;;;;
Carbon_Tax;5.671e+23;3.490e+24;1.979e+24;7.384e+24;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Nan;;;;;;
Supply;-1.1;36.5;230.8;18.4;-0.2;10.5;-0.2;-1;-1;-0.3;7.1;-0.9;-0.5;-0.8;-0.7;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Units;0.01k€;;;;;;;;;;;;;;;;;;;;
