IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;345.6;345.6;345.6;375.7;345.6;345.6;345.6;345.6;345.6;345.6;345.6;345.6;345.6;345.6;345.6;345.6;345.6;345.6;362.9;
Natur;596.2;482.5;596.2;596.2;596.2;596.2;597.4;758.4;683.4;683.4;683.4;683.4;689.5;683.4;683.4;1087;582.4;582.4;221.6;
Coal ;414.1;414.1;880.6;414.1;700.2;710.2;977.4;414.1;938.1;1154.2;414.1;414.1;743;938.1;772.8;958.3;492.5;492.5;549.3;
AllFu;867.5;867.5;867.5;867.5;778.1;859.3;1102.5;1348;1339.4;1506.6;1367.6;1367.6;1086.5;1339.4;1258.2;1747.1;1399.7;1399.7;594.6;
Elect;868;868;868;868;1183.8;868;755.9;1300;1248.1;868;868;868;941.2;1248.1;1295.4;2171.9;1800.4;1800.4;785.5;
HeatG;940.2;940.2;940.2;940.2;940.2;940.2;940.2;940.2;943;940.2;940.2;940.2;943;943;943;1057.3;1138.3;1138.3;933.1;
Heavy;1337.2;1337.2;1337.2;1337.2;1337.2;1337.2;1337.2;1337.2;1337.2;1337.2;1337.2;1337.2;1337.2;1337.2;1337.2;1483.5;1483.5;1483.5;1332.6;
Build;1063.2;1063.2;1063.2;1063.2;1063.2;1063.2;1063.2;1063.2;1063.2;1063.2;1063.2;1063.2;1063.2;1063.2;1063.2;1197.1;1197.1;1197.1;1058.6;
Work_;1063.6;1063.6;1063.6;1063.6;1063.6;1063.6;1063.6;1063.6;1063.6;1063.6;1063.6;1063.6;1063.6;1063.6;1063.6;1161.7;1161.7;1161.7;1058.7;
Autom;26291.7;26291.7;26291.7;26291.7;26291.7;26291.7;26291.7;26291.7;26291.7;26291.7;26291.7;26291.7;26291.7;26291.7;26291.7;27308.3;30254.7;44764.8;26585.1;
Load_;127;127;127;127;127;127;127;127;127;127;127;127;127;127;127;176.5;176.5;176.5;140.4;
PassT;92.6;92.6;92.6;92.6;92.6;92.6;92.6;92.6;92.6;92.6;92.6;92.6;92.6;92.6;92.6;94.1;94.1;94.1;99.1;
Agri_;1459.4;1459.4;1459.4;1459.4;1459.4;1459.4;1459.4;1459.4;1459.4;1459.4;1459.4;1459.4;1459.4;1459.4;1459.4;1541.8;1541.8;1541.8;1464.2;
Prope;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.2;84.2;84.2;84.2;83.2;
OthSe;1009.1;1009.1;1009.1;1009.1;1009.1;1009.1;1009.1;1009.1;1009.1;1009.1;1009.1;1009.1;1009.1;1009.1;1009.1;1075.2;1075.2;1075.2;992.3;
;;;;;;;;;;;;;;;;;;;;
w;91878.6;63840;45599.3;79414.1;63840;63840;53026;39255.1;21698.2;71702.6;219565.8;49752.4;35540.7;24201.7;34449.9;;;;;
pL;130277.9;90521;64656.9;112604.2;90521;90521;75187.5;55661.2;30766.7;101669.7;311330.3;70545.8;50394.5;34316.5;48847.8;;;;;
pK;954.8;954.8;954.8;954.8;954.8;954.8;954.8;954.8;954.8;954.8;954.8;954.8;954.8;954.8;954.8;;;;;
pY;238;226413;932;739.1;1133;921.8;1060.6;1058.6;1058.7;22073.3;231.9;99.4;1079.3;83.2;1061.3;;;;;
pM;347.1;252.3;164.6;454.1;1008.6;1027.5;1000;1000;1000;21043.9;176.5;87.5;1000;78.1;1000;;;;;
p;344.9;459;389.3;604.5;1128.5;921.8;1035;1058.6;1058.7;21609.8;230.3;99.1;1065.4;83.2;1054.6;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;1 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
