Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0;0;9.7;0;43.7;29.2;1.1;50.4;0;14.7;69.7;0.8;18;177.2;234.9;618.7
Households consumption Nominal 1;0;12.5;0;51.7;29.4;1.2;50.2;0;14.6;69.4;0.8;18;176.5;234;616.5
HPrice Index (Paasche);-0.0079220;1.3596136;3.5931185;1.2466401;1.0586796;1.1831969;1.0117751;4.652e-08;0.9894052;0.9960966;1.0808321;1.0134349;1.0026088;0.9891894;0.9902497
Households consumption Real 1 (G€);0;9.2;0;41.5;27.8;1;49.6;0;14.8;69.7;0.7;17.7;176.1;236.6;622.5
Government consumption Nominal 0;0;0;0;0;0;0;30;0;0;0;3.3;0;0.2;16.8;554.1
Government consumption Nominal 1;0;0;0;0;0;0;29.7;0;0;0;3.3;0;0.2;16.7;549.5
G Price Index (Paasche);0.9999057;0.9968569;1.8183742;1.0063616;1.0584829;1.1833241;1.0117751;0.9898806;0.9894052;0.9961012;1.0808321;1.0134349;1.0026088;0.9891894;0.9902497
Government consumption Real 1 (G€);0;0;0;0;0;0;29.4;0;0;0;3;0;0.2;16.8;555
Investment Nominal 0;0;0;0;0;0;0;0.2;60.1;170.8;26.2;0;0;1.8;9.3;242.3
Investment Nominal 1;0;0;0;0;0;0;0.2;63;179.1;27.4;0;0;1.9;9.7;254
I Price Index (Paasche);-3.053e-11;1.002e-10;1.8223894;-9.980e-14;-3.143e-11;-0.0000001;1.0117751;0.9898806;0.9894052;0.9961151;-1.562e-11;1.501e-13;1.0026088;0.9891894;0.9902497
Investment Real 1 (G€);0;0;0;0;0;0;0.2;63.6;181;27.5;0;0;1.9;9.9;256.5
Exports Nominal 0;0;0.7;0;10;3.9;0;125.4;0;0;46.6;1.1;0;46.5;0;319.6
Exports Nominal 1;0;0.7;0.1;10.1;4.1;0;124.7;0;0;47;1.1;0;46.5;0;320.8
X Price Index (Paasche);0.9999056;0.9968178;1.8222738;1.0113582;1.059634;0;1.0118166;0;0;0.9961441;1.0725912;0;1.0026001;0;0.9900860
Exports Real 1 (G€);0;0.7;0;10;3.9;0;123.2;0;0;47.2;1.1;0;46.4;0;324
Imports Nominal 0;15.6;9.7;1.3;16.2;1.7;0;126.5;0;0;53.2;1.9;0.5;43.8;0;337.7
Imports Nominal 1;14.3;9.2;1.2;15.6;1.6;0;128.5;0;0;53.5;2;0.5;44;0;336.7
M Price Index (Paasche);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Imports Real 1 (G€);14.3;9.2;1.2;15.6;1.6;0;128.5;0;0;53.5;2;0.5;44;0;336.7
