Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0;-4.6
GOS_byAgent; 0.3; 0.3; 0.3;0
NetCompWages_byAgent;0;0; 1.8;0
InsuranceContrib_byAgent;0;-5.6;0;0
Production_Tax_byAgent;0; 0.5;0;0
Energ_Tax_byAgent;0;-5;0;0
Carbon_Tax_byAgent;0; 1.349e+25;0;0
OtherIndirTax_byAgent;0; 1.5;0;0
VA_Tax_byAgent;0; 1.9;0;0
Property_income;0;0;0;0
Unemployment_transfers;0;-17.2;-17.2;0
Pensions;0;0;0;0
Other_social_transfers;0;0;0;0
ClimPolicyCompens;0;0;0;0
Other_Transfers; 1.3; 1.3; 1.3; 1.3
Income_Tax;0; 0.5; 0.5;0
Corporate_Tax; 0.3; 0.3;0;0
Other_Direct_Tax;0; 0.6; 0.6;0
Disposable_Income;0; 3.6; 0.5;-6
FC_byAgent;0;-0.8; 0.5;0
GFCF_byAgent; 8.3;-1; 0.5;0
Tot_FC_byAgent; 8.3;-0.8; 0.5;0
NetLending; 206.8;-25.8; 0.5;-6
NetFinancialDebt;0;0;0;0
;;;;
Units;0.01 k€;;;
