IC_Q;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;FC_Q;C;G;I;X
Crude;0;0;0;-8.7;0;0;0;0;0;0;0;0;0;0;0;Crude;0;0;0;0
Natur;-13.2;0;-14;-8.7;-9.2;-9.6;-6.8; 0.6;-0.3;-3.3;-4.5;-6.6;-5.3;-4;-3.5;Natur;-5;0;0;0
Coal ;0;0;-14;0;-9.2;-9.6;-6.8;0;-0.3;-3.3;0;0;-5.3;-4;-3.5;Coal ;-5;0;0;0
AllFu;0;0;0;0;-9.2;-9.6;-6.8; 0.6;-0.3;-3.3;-4.5;-6.6;-5.3;-4;-3.5;AllFu;-5;0;0;0
Elect;-13.2;-9.8;-14;-8.7;0;-9.6;-6.8; 0.6;-0.3;-3.3;-4.5;-6.6;-5.3;-4;-3.5;Elect;-5;0;0;0
HeatG;0;0;0;0;0;0;-6.8;0;-0.3;0;0;0;-5.3;-4;-3.5;HeatG;-5;0;0;0
Heavy;0;-5;-9.5;-3.9;-4.5;-4.9;-1.9; 5.9; 4.9; 1.7; 0.5;-1.7;-0.3; 1; 1.6;Heavy;-1.5;-2; 3.6;-1.7
Build;0;0;0;0;0;0;0; 5.9;0;0;0;0;0; 1;0;Build;0;0; 5.9;0
Work_;-8.7;-5;-9.5;-3.9;-4.5;-4.9;-1.9; 5.9; 4.9; 1.7; 0.5;-1.7;-0.3; 1; 1.6;Work_; 0.7;0; 6;0
Autom;0;-5;-9.5;-3.9;-4.5;-4.9;-1.9; 5.9; 4.9; 1.7; 0.5;-1.7;-0.3; 1; 1.6;Autom;0;0; 5.3; 1.3
Load_;0;-5;-9.5;-3.9;-4.5;-4.9;-1.9; 5.9; 4.9; 1.7; 0.5;-1.7;-0.3; 1; 1.6;Load_;-7.8;-8.2;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PassT;-1.7;0;0;0
Agri_;0;-5;-9.5;-3.9;-4.5;-4.9;-1.9; 5.9; 4.9; 1.7; 0.5;-1.7;-0.3; 1; 1.6;Agri_;-0.6;-1.1; 4.6;-0.3
Prope;0;-5;-9.5;-3.9;-4.5;-4.9;-1.9; 5.9; 4.9; 1.7; 0.5;-1.7;-0.3; 1; 1.6;Prope; 0.7; 0.3; 6;0
OthSe;-8.7;-5;-9.5;-3.9;-4.5;-4.9;-1.9; 5.9; 4.9; 1.7; 0.5;-1.7;-0.3; 1; 1.6;OthSe; 0.6; 0.2; 5.9; 1.4
OthQ;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;;;;;
Y;-8.7;-5;-9.5;-3.9;-4.5;-4.9;-1.9;5.9;4.9;1.7;0.5;-1.7;-0.3;1;1.6;;;;;
M;-8.7;-5;-9.5;-3.9;-4.5;-52;1.6;-37.8;-39.1;0.5;0.5;-1.7;0.4;-44.5;-0.3;;;;;
Labour;-8.7;-5;-9.5;-3.9;-4.5;-4.9;-1.9;5.9;4.9;1.7;0.5;-1.7;-0.3;1;1.6;;;;;
Capital_consumption;-8.7;-5;-9.5;-3.9;-4.5;-4.9;-1.9;5.9;4.9;1.7;0.5;-1.7;-0.3;1;1.6;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 ktoe / ktons;;;;;;;;;;;;;;;;;;;
