Emission CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;CO2Emis_C;CO2Emis_X
Crude;0;0;0;-9.2;0;0;0;0;0;0;0;0;0;0;0;0;0
Natur;-13.8;0;-15.8;-9.2;-10.3;-11;-9.4; 0.3;-0.6;-5.7;-6.1;-8;-7.5;-13;-5.3;-5;0
Coal ;0;0;-15.8;0;-10.3;-11;-9.4;0;-0.6;-5.7;0;0;-7.5;-13;-5.3;-5;0
AllFu;0;0;0;0;-10.3;-11;-9.4; 0.3;-0.6;-5.7;-6.1;-8;-7.5;-13;-5.3;-5;0
Elect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HeatG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heavy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Build;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Autom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Load_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prope;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthSe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2Emis_Sec;-13.8;0;-15.8;-9.2;-10.3;-11;-9.4; 0.3;-0.6;-5.7;-6.1;-8;-7.5;-13;-5.3;;
Tot_CO2Emis_IC;-8.3;;;;;;;;;;;;;;;;
Tot_CO2Emis_C;-5;;;;;;;;;;;;;;;;
DOM_CO2;-7.1;;;;;;;;;;;;;;;;
Units;0.01 MtCO2;;;;;;;;;;;;;;;;
