CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;3.1788523;-9.2440912;0;-9.2440912;Nan;Nan;Nan;0;0.0826418;-3.0744736;-0.0389394
Natural_gas;3.0200444;-6.2294165;0;-6.2294165;-4.995991;Nan;Nan;0;0.0001074;-2.3725574;-1.0609942
Coal;181.45265;-11.336594;0;-11.336594;-4.995991;Nan;Nan;0;14.128201;-63.604524;-45.151742
AllFuels;2.8191196;-4.4879802;0;-4.4879802;-4.995991;Nan;Nan;0;0.4677930;-0.3053183;-0.4561980
Electricity;9.351502;-5.629186;0;-5.629186;-4.995991;Nan;Nan;0;4.9299054;1.3523682;-7.8156875
HeatGeoSol_Th;21.056199;-6.3457615;0;-52.745295;-4.995991;Nan;Nan;Nan;4.1441312;-99.967964;-99.967964
Heavy_Industry;3.8804831;-4.6586222;0;1.8711926;-2.6128996;-0.9224579;4.5612536;-3.1880916;2.091551;1.3793633;0.8432269
Buildings_constr;1.2573743;5.5198395;0;-38.011584;Nan;Nan;5.5207054;Nan;0.0448757;-99.99745;-99.99745
Work_constr;0.4149918;4.6455235;0;-39.214542;-0.8981654;Nan;6.402306;Nan;0.1018634;-99.999419;-99.999419
Automobile;0.6872955;-0.7010365;0;0.4367592;-0.8577444;Nan;6.4475768;-1.2456534;0.0813583;-0.1608785;-0.4084462
Load_PipeTransp;5.5483298;-1.2043245;0;-1.2043245;-8.7826667;-7.1993196;Nan;0;3.2213418;-2.0985858;-5.0948033
PassTransp;2.6282971;-3.1452821;0;-3.1452821;-3.1452821;Nan;Nan;Nan;1.1831574;-2.5609868;-2.4970814
Agri_Food_industry;1.9696038;-2.6037994;0;1.2510674;-2.0546845;-0.3545533;5.1605904;-1.9221604;0.7693544;1.1147591;1.6251764
Property_business;11.71479;-8.4304924;0;-49.679924;-10.920575;-9.3743376;-4.3584179;Nan;0.0034355;-99.999975;-99.999975
OthSectors;0.9146187;-0.3467202;0;1.2035703;-1.3185822;0.3943262;5.9509186;-1.1555849;0.1078727;-0.0967412;0.4653512
