Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Real Households consumption_Households;Nan;-4.995991;-4.995991;-4.995991;-4.995991;-4.995991;-0.1232127;Nan;-0.1232127;-0.1232127;-0.4931394;-0.1232127;-0.1232127;-0.1232127;-0.1595976
Exports in volume;0;0;0;0;0;Nan;-3.331e-14;Nan;Nan;6.661e-14;0;Nan;-1.110e-14;Nan;-0.0505657
Imports in volume;-8.5663496;-4.7474893;-8.3513455;-3.7742426;-4.3101497;-51.829846;0.5419894;-37.792341;-39.173409;0.6511478;0.6330089;-0.1232127;0.1331981;-44.898816;0.8312219
Trade balance ;-8.5719186;-5.1408837;-8.5525677;-9.754967;3.311818;-4.4401099;64.934659;5.9674628;4.7919487;5.2615459;0.9869386;-0.1232127;-2.1475905;1.3333697;15.720968
Energy Cost share variation;-4.7051186;-4.9854884;156.70392;3.0415846;99.902498;21.75754;30.258124;19.937853;14.363887;11.338555;21.904396;11.529171;23.148037;7.1324009;6.6740614
 Energy/Labour cost variation;-2.62792;-2.9144012;162.29944;5.2876426;104.25989;24.411561;33.097437;22.552209;16.856744;13.765467;24.561618;13.960238;25.832367;9.4676289;8.9992986
Labour;-8.5663496;-4.7474893;-8.3513455;-3.7742426;-4.3101497;-4.5314299;0.5419894;5.8930471;4.7163356;0.6511478;0.6330089;-0.1232127;0.1331981;0.2698859;0.8312219
Unitary Labour Cost variation;-2.1332589;-2.1332589;-2.1332589;-2.1332589;-2.1332589;-2.1332589;-2.1332589;-2.1332589;-2.1332589;-2.1332589;-2.1332589;-2.1332589;-2.1332589;-2.1332589;-2.1332589
Net nominal wages;0.1674520;0.1674520;0.1674520;0.1674520;0.1674520;0.1674520;0.1674520;0.1674520;0.1674520;0.1674520;0.1674520;0.1674520;0.1674520;0.1674520;0.1674520
Net real wages (Consumer Price Index);-0.9215034;-0.9215034;-0.9215034;-0.9215034;-0.9215034;-0.9215034;-0.9215034;-0.9215034;-0.9215034;-0.9215034;-0.9215034;-0.9215034;-0.9215034;-0.9215034;-0.9215034
Purchasing power of wages_Households;1.0016745;0.7350298;0.3609892;0.8076451;1.0016745;1.0016745;1.0016745;1.0016745;1.0016745;1.0016745;0.9979645;1.0016745;1.0016745;1.0016745;1.0013096
Carbon Taxe rate;100 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;Labour tax reduction;;;;;;;;;;;;;;
