Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0;55.7
GOS_byAgent;490.3;86;192.2;0
NetCompWages_byAgent;0;0;901.9;0
InsuranceContrib_byAgent;0;376.7;0;0
Production_Tax_byAgent;0;60.4;0;0
Energ_Tax_byAgent;0;20.4;0;0
Carbon_Tax_byAgent;0;30.1;0;0
OtherIndirTax_byAgent;0;41.6;0;0
VA_Tax_byAgent;0;165.6;0;0
Property_income;-28.8;-27.5;80.2;-23.9
Unemployment_transfers;0;-41.3;41.3;0
Pensions;0;-351;351;0
Other_social_transfers;0;-122.2;122.2;0
ClimPolicyCompens;0;0;0;0
Other_Transfers;-110.5;70.9;30.3;9.2
Income_Tax;0;213.1;-213.1;0
Corporate_Tax;-55.4;55.4;0;0
Other_Direct_Tax;0;24.1;-24.1;0
Disposable_Income;295.7;602.2;1482;41
FC_byAgent;0;604.6;1275.6;0
GFCF_byAgent;328.8;82.4;129.6;0
Tot_FC_byAgent;328.8;687;1405.2;0
NetLending;-33;-84.8;76.8;41
NetFinancialDebt;2133.1;1720.4;-3588;-265.6
;;;;
Units;1000000 k€;;;
