IC_Q;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;FC_Q;C;G;I;X
Crude;0;0;0;42035.8;0;0;0;0;0;0;0;0;0;0;0;Crude;0;0;0;28
Natur;0.5;0;0.2;240;2763.2;1221.3;6126.7;36.9;285.8;175.3;43;23.9;2775.5;205.4;7857.3;Natur;11524.4;0;0;3336.3
Coal ;0;0;2929.8;0;2990.6;176.7;3566.6;0;3.1;2.3;0;0;528.4;0.3;121.8;Coal ;27.9;0;0;103.6
AllFu;0;0;0;0;1611.1;331.3;1739.2;74.3;667.4;47;14034.5;924.8;3324.6;53;3494.4;AllFu;29613.3;0;0;16932
Elect;46.4;2.8;21.1;1246.2;0;1166.7;6002.4;17.6;384.3;231.5;127.8;786.4;2425.9;276.2;13235.2;Elect;13540.8;0;0;5279.8
HeatG;0;0;0;0;0;0;826.5;0;52.9;0;0;0;163.7;38;1057.3;HeatG;1172;0;0;0
Heavy;0;726.3;48.4;932.2;3522.2;60.9;44541.7;2978.8;19998.9;5382.7;161.8;40.7;10032.8;306.7;69084.3;Heavy;34324;20450.5;140.9;95226.8
Build;0;0;0;0;0;0;0;1988.9;0;0;0;0;0;3.1;0;Build;0;0;52612.7;0
Work_;0.5;512.3;3.3;437.1;1380.9;28.5;644.8;16033.6;20770;314.5;76.6;19.3;524.8;4684.1;20447.7;Work_;12469.8;0;154037.8;0
Autom;0;0.2;0;1;1;0;5.3;0.3;5.3;385.5;10.3;2.6;9.8;0.5;289.5;Autom;2538.9;0;616.3;1746.5
Load_;0;89.1;5;784.2;432.3;7.5;2824.1;360.5;1541.4;313.4;84850.1;21350.8;2036.8;733;234291;Load_;4596.5;20023.2;0;8041.5
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PassT;193868.4;0;0;0
Agri_;0;11.3;0.5;42.7;54.6;0.9;2406.5;57.6;650.1;108.6;14.4;3.6;65285.2;135.2;33586.9;Agri_;115075.7;158.3;1255;31857.6
Prope;0;1034.2;51.9;2394.4;2788.1;57.5;25835.2;15831.3;7771.8;2300.4;10577.7;2661.7;6879.2;134654.9;753083.8;Prope;2754118.4;197372.7;115592.6;0
OthSe;77.1;2422.1;113;7845.4;13087.2;220.5;64332.8;15221.1;78409.9;38068;18533;4663.5;43064.3;45455.7;1094949.5;OthSe;568861.7;510306.6;236186.4;318737.7
OthQ;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;;;;;
Y;866.4;33.5;3060.8;38439.1;43177.4;3310.3;180801.6;54604.7;232385.6;3068.8;371206.4;188322.4;206837.2;4033005.7;2720000.7;;;;;
M;41197.5;36582.2;7390.2;34407.9;1613.6;0;127159;0;0;2544.2;11074.2;5546;43867.7;0;340554.8;;;;;
Labour;0.1;3.7;0.4;2.6;80.5;2.2;358.3;193;2964.7;79.3;86.7;96.3;808.1;504.4;21336.9;;;;;
Capital_consumption;47.6;1800.2;11.4;508;8729.8;155.3;9245.4;1768.7;7527.8;3061.3;7935.4;1996.8;18760.6;65584.5;216702.4;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;1 ktoe / ktons;;;;;;;;;;;;;;;;;;;
