CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;238.20582;865.24884;347.10648;41144.95;0;0;0;28;19.503276;69.341736;0.9864655
Natural_gas;226963.02;33.35583;252.31424;36461.036;11524.391;0;0;3336.2683;0.0316323;1.3129332;0.5738941
Coal;925.03924;3022.0605;164.55276;7296.619;27.941969;4.558e-15;0;103.5648;91.527168;0.4497440;0.3047708
AllFuels;739.08381;38390.051;454.05869;34364.004;29613.347;0;0;16932;59.875893;0.9047297;0.4601419
Electricity;1124.1485;43090.817;1008.5722;1610.3401;13540.753;0;0;5279.7936;10.284799;0.1185009;0.0353470
HeatGeoSol_Th;911.35912;3296.3187;1027.4916;0;1171.9762;0;0;0;71.058721;0;0
Heavy_Industry;1060.1303;176405.31;1000;128467.55;33860.12;20075.73;138.09506;93601.946;7.4752103;1.3537667;0.6733938
Buildings_constr;1060.6789;54595.387;1000;3.348e-16;0;0;52603.757;0;0.2605072;0;0
Work_constr;1060.0189;232774.89;1000;3.228e-16;12560.461;0;154185.83;0;0.6567031;0;0
Automobile;22095.044;3096.9099;21043.918;2541.2654;2542.0297;0;613.21366;1766.5019;0.5792811;1.4682325;0.7138332
Load_PipeTransp;232.04348;370167.39;176.45045;11043.186;4257.0503;18453.826;0;8041.4979;22.444504;0.0358328;0.0224712
PassTransp;99.44596;185326.7;87.518192;5457.7772;190784.48;0;0;0;10.458493;0.0259173;0.0252625
Agri_Food_industry;1079.841;205848.62;1000;43978.277;114485.2;156.70534;1240.6946;31740.893;3.7330786;0.4070160;0.2001129
Property_business;83.748099;4041213.5;78.108601;2.722e-16;2759102.2;196765.17;115076.08;0;0.1744839;0;0
OthSectors;1063.109;2737296.2;1000;337230.56;572555.91;511114.67;236230.55;322573.64;0.9637029;0.2260536;0.1152264
