IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;0;0;0;8.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Natur;64.6;-0.2;64.6;64.6;64.6;64.6;64.4;44.5;52;52;52;52;51.3;52;52;36.1;-0.2;-0.2;-0.2;
Coal ;80.9;80.9;255.2;80.9;368.5;309.9;233.4;80.9;240.1;196.5;80.9;80.9;292.8;240.1;283.4;258.4;80.9;80.9;81.3;
AllFu;0.9;0.9;0.9;0.9;66.6;53.5;39.4;29.8;29.8;25.4;29.4;29.4;38.9;29.8;32.2;24.7;0.6;0.6;1.1;
Elect;5;5;5;5;5.1;5;5;5.1;5.1;5;5;5;5;5.1;5.1;5.1;5.1;5.1;5.2;
HeatG;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17.2;
Heavy;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;
Build;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;
Work_;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;
Autom;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;
Load_;8.1;8.1;8.1;8.1;8.1;8.1;8.1;8.1;8.1;8.1;8.1;8.1;8.1;8.1;8.1;8.1;8.1;8.1;7.3;
PassT;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.3;
Agri_;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;
Prope;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;
OthSe;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;
;;;;;;;;;;;;;;;;;;;;
w;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;;;;;
pL;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;-2.1;;;;;
pK;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;-0.8;;;;;
pY;-0.6;-0.5;178.5;1.8;5.3;17.2;2;-0.8;-0.9;-0.6;4.4;1.3;0.4;-0.4;-0.9;;;;;
pM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
p;0;-0.2;81.3;1.1;5.2;17.2;1.2;-0.8;-0.9;-0.3;4.3;1.3;0.3;-0.4;-0.8;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
