Variable;Nominal 0 (G€);Nominal 1 (G€);Price Index (Paasche);Real 1 (G€);Real term ratio
GDP;1937.2;2220.6;1.0666545;2081.8;1.0746669
Households consumption;1201.3;1201.3;1.0516411;1142.3;1.0467061
Households consumption - Non-energy goods;1122.3;1122.3;1.0485552;1070.3;1.0503339
Households consumption - Energy goods;79;79;1.0975363;72;0.9955653
Government consumption;576.4;576.4;1.0489757;549.5;1.0533254
Government consumption - Non-energy goods;576.4;576.4;1.0489757;549.5;1.0533254
Government consumption - Energy goods;0;0;1.020755;0;Nan
Investment;488;488;1.0486961;465.3;1.2352573
Investment - Non-energy goods;488;488;1.0486961;465.3;1.2352573
Investment - Energy goods;0;0;1.1089295;0;Nan
Exports;530.3;530.3;1.0401698;509.8;1.09951
Exports - Non-energy goods;517.1;517.1;1.0399213;497.3;1.1125074
Exports - Energy goods;13.1;13.1;1.0500538;12.5;0.7506915
Imports;575.4;575.4;0.9833801;585.1;1.1335027
Imports - Non-energy goods;538.5;538.5;1;538.5;1.1749443
Imports - Energy goods;36.8;36.8;0.7911904;46.6;0.8051196
Net-of-tax wages;-;-;-;for nominal ratio:;1.1158233
Total Employment;-;-;-;Abs ratio:;1.0328586
