IC_Q;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;FC_Q;C;G;I;X
Crude;0;0;0;66967.8;0;0;0;0;0;0;0;0;0;0;0;Crude;0;0;0;52.8
Natur;9.8;0;1.8;841.2;4190.7;2510.9;4277.9;39.5;309.5;288.2;68.4;17.8;2580.5;303.9;10131.6;Natur;14396.4;0;0;2556.5
Coal ;0;0;3528.4;0;5324.3;10.9;5472.4;0;3.4;3.8;0;0;285;0.4;188;Coal ;484.6;0;0;178.1
AllFu;0;0;0;0;1087.8;173;7307.4;85;771.3;82.5;5410.2;1411.5;3959.9;83.8;17649;AllFu;31451.9;0;0;25861.7
Elect;27;17.1;5;272.2;0;181;5381.4;19.5;431.9;395;818.7;213.6;1740.8;424.2;14152.3;Elect;13602.1;0;0;4316.2
HeatG;0;0;0;0;0;0;0;0;59.9;0;0;0;270.4;58.9;1928.6;HeatG;96.8;0;0;0
Heavy;0;598;53.6;458.9;2093.3;44.4;40632.8;2207;15400.2;4893.9;151.7;39.6;9213.5;279.7;61814;Heavy;30369.7;17093.3;144.5;92119.7
Build;0;0;0;0;0;0;0;1475.4;0;0;0;0;0;2.8;0;Build;0;0;39029.8;0
Work_;1.4;421.7;3.6;215.2;820.7;20.8;589.2;11894.2;16014.2;286.3;71.9;18.8;485.9;4281.7;18313.6;Work_;11479;0;114270;0
Autom;0;0.2;0;0.5;0.6;0;4.8;0.2;4.1;350.6;9.7;2.5;9;0.5;259.1;Autom;2251.7;0;457.2;1517.2
Load_;0;73.4;5.6;386.1;256.9;5.4;2608.7;269.7;1198.6;287.9;80195.2;20923.3;1979.4;680.2;211205.3;Load_;5683.3;24791;0;7299.5
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PassT;188237.4;0;0;0
Agri_;0;9.3;0.6;21;32.4;0.7;2198.6;42.8;501.2;98.9;13.5;3.5;60393.6;123.6;30078.7;Agri_;103839.3;140.4;1014;27971.2
Prope;0;851.5;57.5;1178.7;1657;41.9;23613.8;11746.9;5993.7;2094.8;9929.5;2590.6;6378.1;123138.9;674605.8;Prope;2553764.2;183264.7;85750.1;0
OthSe;214.2;1994;125.1;3862.2;7777.7;160.8;58778.5;11290.7;60452.4;34655.3;17392.9;4537.9;39852.3;41545.5;980621.3;OthSe;520848.5;471068.7;174708.5;268641.9
OthQ;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;;;;;
Y;2406.3;636.2;3389.3;58184.8;40430.5;2414.7;165125.4;40508;179188.3;2793.2;348778.8;183466;191441.9;3686657.6;2436549.6;;;;;
M;64614.3;41888.4;12089.9;37150.3;1567.5;0;103919.5;0;0;2074.7;9070.7;4771.4;36287.3;0;272446.3;;;;;
Labour;0.3;23.2;0.5;4.2;81.1;1.7;352.6;154.1;2461.1;77.7;87.6;100.9;808;496.6;20572.2;;;;;
Capital_consumption;128.3;1482.1;12.3;250.1;5188.1;110;8200.7;1273.7;5634.5;2705.6;7230.1;1886.4;16850.4;58192;188416.9;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;1 ktoe / ktons;;;;;;;;;;;;;;;;;;;
